rule,nmstv_mean,tv_mean,n_datasets
random_label,1.0141683782662445,0.5070841891331223,1
real_even_odd,0.3669705305849364,0.1834852652924682,1
teacher_nn,0.6124002489638579,0.30620012448192896,1
