radius,unit_rows,observed_ref_count,pass_count,max_split_logZ_per_P_diff,q05_ess_fraction,mean_elapsed_s,all_observed_pass
0.12,16,16,16,0.00041297740940780944,0.5694185647026248,12.56819000840187,True
0.15,16,16,16,0.0012636846190144605,0.6875391401133283,16.86124075949192,True
0.2,16,16,16,0.0016633770836136513,0.6531179967424204,22.23643834888935,True
0.3,17,17,17,0.0027237405793121877,0.5983019027175507,30.794710033080158,True
0.45,17,17,17,0.003546919680383961,0.7332040978147827,149.7030052717994,True
0.65,17,17,17,0.003733770838980891,0.7614984339190212,350.2223938072429,True
