ref_id,status,family_cluster,selected_ref30,radius_count,radius_min,radius_max,phi_energy_min,phi_energy_max,max_split_logZ_per_P_diff,min_ess_fraction
33,boundary_fail_0p85,0,True,8,0.01,0.85,-0.0634658472767153,0.0,0.0050323403218106,0.7586573117258251
49,boundary_fail_0p85,1,True,8,0.01,0.85,-0.0600036583236676,0.0,0.0054597353463382,0.7592843037199755
27,boundary_fail_0p85,2,True,19,0.01,2.5,-0.1123351211883226,0.0,0.0133517466005368,0.6063173523732883
0,not_diagnosed,,False,19,0.01,2.5,-0.1046500223075301,0.0,0.0052647283927285,0.6788054962782213
4,not_diagnosed,,False,19,0.01,2.5,-0.1121065671904201,0.0,0.0114814688741986,0.5252690565843973
6,not_diagnosed,,False,19,0.01,2.5,-0.1074226302694,0.0,0.0144835208646727,0.5711266908656651
7,not_diagnosed,,False,19,0.01,2.5,-0.1173595619991254,0.0,0.0062559188583312,0.6739229879313892
8,not_diagnosed,,False,19,0.01,2.5,-0.1128331773888299,0.0,0.0129236288859417,0.6716705243266098
9,not_diagnosed,,False,19,0.01,2.5,-0.1096513651774059,0.0,0.01854964389313,0.5770258087292466
10,not_diagnosed,,False,19,0.01,2.5,-0.1107628686139598,0.0,0.0109779297073128,0.6259982722189946
11,not_diagnosed,,False,19,0.01,2.5,-0.1071558704518467,0.0,0.0098973790389991,0.6801925080389187
12,not_diagnosed,,False,19,0.01,2.5,-0.115321062214548,0.0,0.0135057717085341,0.5733298344010616
15,not_diagnosed,,False,19,0.01,2.5,-0.1156533237507575,0.0,0.0091727824744316,0.6071178278669509
18,not_diagnosed,,False,19,0.01,2.5,-0.1114782740776221,0.0,0.0098619509594945,0.6213529939344936
19,not_diagnosed,,False,19,0.01,2.5,-0.1097786015307883,0.0,0.0199211169903806,0.5232004672298199
20,not_diagnosed,,False,19,0.01,2.5,-0.1189343502269227,0.0,0.0083613463125468,0.5617681549867473
21,not_diagnosed,,False,19,0.01,2.5,-0.1156956002261714,0.0,0.0118196138230122,0.6624921466032582
24,not_diagnosed,,False,19,0.01,2.5,-0.116435941396518,0.0,0.0105633699055654,0.5739760017834035
25,not_diagnosed,,False,19,0.01,2.5,-0.1159534824526933,0.0,0.0074834580042343,0.6269324963435743
29,not_diagnosed,,False,16,0.01,1.75,-0.1023685755321448,0.0,0.0057775774159308,0.5697284025757383
34,not_diagnosed,,False,5,0.01,0.08,-0.0035958758577262,0.0,2.8179684386824e-05,0.7124784474563819
35,not_diagnosed,,False,5,0.01,0.08,-0.0017160279196469,0.0,3.855669148708041e-05,0.675358036308946
36,not_diagnosed,,False,5,0.01,0.08,-0.0043180275573099,0.0,5.862913603924985e-05,0.7419445760300243
37,not_diagnosed,,False,5,0.01,0.08,-0.0031231933882012,0.0,0.0001074132263372,0.5305733580102922
39,not_diagnosed,,False,5,0.01,0.08,-0.0032002980502476,0.0,2.7816489401890296e-05,0.8150313454335489
45,not_diagnosed,,False,5,0.01,0.08,-0.0034613549114408,0.0,2.756685023610077e-05,0.8431493564497109
47,not_diagnosed,,False,5,0.01,0.08,-0.0035788581594183,0.0,3.318991644046568e-05,0.7765195409639727
48,not_diagnosed,,False,5,0.01,0.08,-0.0031437185026359,0.0,8.168374709686495e-05,0.8712598679897298
50,not_diagnosed,,False,5,0.01,0.08,-0.0028675347773008,0.0,8.055334114226785e-05,0.547433710447114
51,not_diagnosed,,False,5,0.01,0.08,-0.0030968719099169,0.0,7.390315476273227e-05,0.8309112246211625
53,not_diagnosed,,False,5,0.01,0.08,-0.0034003731539184,0.0,7.973953023780725e-05,0.7937301565298057
54,not_diagnosed,,False,5,0.01,0.08,-0.0044450337204913,0.0,6.271640907262773e-05,0.7587660004565009
56,not_diagnosed,,False,5,0.01,0.08,-0.0036661365091091,0.0,0.000154097399816,0.8487500082462945
26,observed_pass_0p85,0,True,19,0.01,2.5,-0.1165888421639752,0.0,0.0085041181347077,0.6195408643819714
31,observed_pass_0p85,0,True,8,0.01,0.85,-0.0639923871892798,0.0,0.0032089258066856,0.7483963131853835
32,observed_pass_0p85,0,True,8,0.01,0.85,-0.0631595759341041,0.0,0.003777310103013,0.6949040845277171
43,observed_pass_0p85,0,True,8,0.01,0.85,-0.0636759720748294,0.0,0.0013028790916945,0.5271089854091425
44,observed_pass_0p85,0,True,8,0.01,0.85,-0.0649873315844869,0.0,0.0026224221843812,0.7755506247857831
1,observed_pass_0p85,1,True,19,0.01,2.5,-0.1075983140342477,0.0,0.0049823666909019,0.6767252502768363
2,observed_pass_0p85,1,True,19,0.01,2.5,-0.1047260392703936,0.0,0.0075998678454507,0.6109640680600102
3,observed_pass_0p85,1,True,19,0.01,2.5,-0.1172435593548406,0.0,0.0107463481097658,0.5360167987064453
5,observed_pass_0p85,1,True,19,0.01,2.5,-0.1079845030844929,0.0,0.0066571523620753,0.6407095518932908
13,observed_pass_0p85,1,True,19,0.01,2.5,-0.1178507049467198,0.0,0.009058805453941,0.5592934085360816
14,observed_pass_0p85,1,True,19,0.01,2.5,-0.1167054200555925,0.0,0.0052092707062631,0.5280385778454343
16,observed_pass_0p85,1,True,19,0.01,2.5,-0.1134497689690711,0.0,0.012253545523131,0.593792788308561
17,observed_pass_0p85,1,True,19,0.01,2.5,-0.1153495096284514,0.0,0.0053951901199647,0.6020777857043457
