ref_id,status,family_cluster,selected_ref30,radius_count,radius_min,radius_max,phi_energy_min,phi_energy_max,max_split_logZ_per_P_diff,min_ess_fraction
22,observed_pass_0p85,1,True,19,0.01,2.5,-0.118898437416415,0.0,0.0042038644936599,0.6273651173205115
23,observed_pass_0p85,1,True,19,0.01,2.5,-0.1113184271087953,0.0,0.0093342702739787,0.6571405622201103
28,observed_pass_0p85,1,True,19,0.01,2.5,-0.1105099421439551,0.0,0.0079146865062119,0.5501281427277823
30,observed_pass_0p85,1,True,11,0.01,0.85,-0.0613668278902596,0.0,0.0014365467332433,0.5862805573557414
38,observed_pass_0p85,1,True,8,0.01,0.85,-0.0632855148205009,0.0,0.0031226965074845,0.5835318642854476
40,observed_pass_0p85,1,True,8,0.01,0.85,-0.0618167136306742,0.0,0.0007192402452124,0.7179378476599481
41,observed_pass_0p85,1,True,8,0.01,0.85,-0.0623158750563737,0.0,0.0009565618670381,0.6624863111606388
42,observed_pass_0p85,1,True,8,0.01,0.85,-0.0635749199795068,0.0,0.0017738977108755,0.65824166710089
46,observed_pass_0p85,1,True,8,0.01,0.85,-0.0615168073150963,0.0,0.0018360785854704,0.7931881600007289
52,unresolved_missing_0p85,0,True,7,0.01,0.65,-0.0557856679692545,0.0,0.0035469196803839,0.8226996955346275
55,unresolved_missing_0p85,0,True,7,0.01,0.65,-0.0543387931863423,0.0,0.0013311494550795,0.758318316433495
58,unresolved_missing_0p85,0,True,7,0.01,0.65,-0.0564288678299122,0.0,0.0022285016315718,0.7762205942268989
57,unresolved_missing_0p85,1,True,7,0.01,0.65,-0.0503736301719999,0.0,0.0029949379859547,0.7973672714180498
59,unresolved_missing_0p85,1,True,7,0.01,0.65,-0.0570359170449976,0.0,0.0011791582406129,0.7370206603534913
