rule,radius,fail_ref_count,fail_refs,max_split_logZ_per_P_diff,min_ess_fraction
low_tv_spectral_teacher,0.65,4,04;06;18;21,0.0074940864032227,0.6974512480809664
low_tv_spectral_teacher,0.85,6,07;08;10;27;33;49,0.007440066075553,0.7592843037199755
low_tv_spectral_teacher,1.0,5,05;06;14;19;25,0.0067676415641983,0.6989200157226088
low_tv_spectral_teacher,1.25,10,00;03;06;10;15;19;21;23;24;29,0.0109779297073128,0.6672319457318034
low_tv_spectral_teacher,1.5,15,05;06;09;10;12;13;16;17;20;21;23;24;26;27;29,0.0133517466005368,0.593792788308561
low_tv_spectral_teacher,1.75,16,00;03;04;06;08;12;13;14;15;16;19;20;21;24;28;29,0.0135057717085341,0.5520831178468089
low_tv_spectral_teacher,2.0,15,01;05;06;07;08;09;10;11;15;16;20;21;25;26;28,0.0118196138230122,0.5938437863990944
low_tv_spectral_teacher,2.25,15,02;03;05;06;09;11;12;14;15;16;18;19;20;24;27,0.0107463481097658,0.5914445858959363
low_tv_spectral_teacher,2.5,20,02;03;04;06;07;08;09;10;11;12;13;16;19;22;23;24;25;26;27;28,0.0199211169903806,0.7013865663181825
