ref_id,boundary_status,family_cluster,family_pc1,family_pc2
33,boundary_fail_0p85,0,2.2892968505450657,1.0153186773261729
49,boundary_fail_0p85,1,-1.3206090628650087,0.6492921842171626
27,boundary_fail_0p85,2,-1.2874694105314626,-7.241611848250841
26,observed_pass_0p85,0,3.7668778122631323,-0.45325151542918773
31,observed_pass_0p85,0,3.6785441303561432,-0.1954172687553937
32,observed_pass_0p85,0,4.210897394183313,-0.3861482993593735
43,observed_pass_0p85,0,2.518512625768903,0.43875578690208716
44,observed_pass_0p85,0,2.9087560821436993,0.8793395851722179
1,observed_pass_0p85,1,-0.9651512476396448,0.10679519647406749
2,observed_pass_0p85,1,-1.2082283689328532,0.24981576384609128
3,observed_pass_0p85,1,-2.235709379743006,-1.085506897921101
5,observed_pass_0p85,1,-1.6554366818212294,-0.07982805463384472
13,observed_pass_0p85,1,-1.5379438410816297,0.34208616135078074
14,observed_pass_0p85,1,-1.2348662294085297,0.2503062512386157
16,observed_pass_0p85,1,-1.8041942661751897,0.3631610695795135
17,observed_pass_0p85,1,-1.383723564290775,-0.08073051090424913
22,observed_pass_0p85,1,-1.370156178125343,-0.6705999105258847
23,observed_pass_0p85,1,-2.004791697075699,0.06492715859829501
28,observed_pass_0p85,1,-2.5648773582386424,0.4762971292401052
30,observed_pass_0p85,1,-1.002113075587053,0.5154123114766783
38,observed_pass_0p85,1,-1.2336293524785167,1.026170230700599
40,observed_pass_0p85,1,-1.6326693691056708,-0.16942390452770761
41,observed_pass_0p85,1,-0.009307317363309787,0.7290430365673397
42,observed_pass_0p85,1,-1.2654717308871222,2.4326214536406563
46,observed_pass_0p85,1,-2.6154820367936287,-0.3843894623549669
52,unresolved_missing_0p85,0,4.234564423119501,0.76447018011372
55,unresolved_missing_0p85,0,3.9370699081680685,-1.5164621547649364
58,unresolved_missing_0p85,0,3.7197923820106413,-0.34782236650905074
57,unresolved_missing_0p85,1,-1.963729299656662,0.8998157758526318
59,unresolved_missing_0p85,1,-0.9687521407574919,1.407564241639803
