selector,rule,radius,delta_phi_energy,delta_phi_full,n_units,qc_pass,claim_status,observed_ref_count,missing_ref_count,max_split_logZ_per_P_diff,q05_ess_fraction,bootstrap_sd_phi,claimable
dense_qc_stable_ref30,low_tv_spectral_teacher,0.01,0.0,0.0,30,True,claimable_selector_radius,30,0,2.1241092739811257e-06,0.9814365062514496,0.0,True
dense_qc_stable_ref30,low_tv_spectral_teacher,0.02,-5.600784381972018e-05,0.6928095200625052,30,True,claimable_selector_radius,30,0,9.144362100249178e-06,0.9118507120007084,1.0485090647974995e-05,True
dense_qc_stable_ref30,low_tv_spectral_teacher,0.03,-0.0001613889853415,1.0980044907885511,30,True,claimable_selector_radius,30,0,9.577850740693809e-06,0.7621165072358849,2.990868872357072e-05,True
dense_qc_stable_ref30,low_tv_spectral_teacher,0.05,-0.000593799676979,1.6081901355476802,30,True,claimable_selector_radius,30,0,1.9402127532703577e-05,0.7357249439651651,8.249544938228964e-05,True
dense_qc_stable_ref30,low_tv_spectral_teacher,0.08,-0.0020246018094292,2.0765719819095456,30,True,claimable_selector_radius,30,0,2.533193528115397e-05,0.6171512755523967,0.0001779438087783,True
dense_qc_stable_ref30,low_tv_spectral_teacher,0.12,-0.0043571505600959,2.4795397850264465,14,False,missing_units,14,16,0.0005265480765362,0.5451891723203144,0.0002196906223439,False
dense_qc_stable_ref30,low_tv_spectral_teacher,0.15,-0.0072531488528441,2.699696666145708,14,False,missing_units,14,16,0.0006849131573311,0.5993044741171469,0.0003145659368346,False
dense_qc_stable_ref30,low_tv_spectral_teacher,0.2,-0.0129676679056654,2.981547323131644,14,False,missing_units,14,16,0.001193579756312,0.6507192199972938,0.0004106082525914,False
dense_qc_stable_ref30,low_tv_spectral_teacher,0.3,-0.0245574468743183,3.375257896030559,13,False,missing_units,13,17,0.002604683551869,0.6318203181211322,0.0005337002866889,False
dense_qc_stable_ref30,low_tv_spectral_teacher,0.45,-0.0396938239066712,3.7654218708657736,30,True,claimable_selector_radius,30,0,0.0037621420086935,0.7378932143066487,0.0004571854327826,True
dense_qc_stable_ref30,low_tv_spectral_teacher,0.65,-0.0532748559847129,4.119416198035306,30,True,claimable_selector_radius,30,0,0.0037337708389808,0.702823099497682,0.0004009429573927,True
dense_qc_stable_ref30,low_tv_spectral_teacher,0.85,-0.0630900096162094,4.377756024908853,25,False,missing_units_and_qc_fail,25,5,0.0054597353463382,0.6814016963803267,0.0003156009926988,False
dense_qc_stable_ref30,low_tv_spectral_teacher,1.0,-0.0713012456501973,4.531997680611772,13,False,missing_units_and_qc_fail,13,17,0.0066571523620753,0.6344848030351755,0.0008766896725507,False
dense_qc_stable_ref30,low_tv_spectral_teacher,1.25,-0.081304297586608,4.745047508087369,13,False,missing_units_and_qc_fail,13,17,0.0062740234371529,0.6372637871586655,0.0007111478935724,False
dense_qc_stable_ref30,low_tv_spectral_teacher,1.5,-0.0872271941616677,4.921372083967868,13,False,missing_units_and_qc_fail,13,17,0.0133517466005368,0.6013017773950186,0.001083186916833,False
dense_qc_stable_ref30,low_tv_spectral_teacher,1.75,-0.096106001015918,5.066581319525263,13,False,missing_units_and_qc_fail,13,17,0.009058805453941,0.5564092922603725,0.0014620821135223,False
dense_qc_stable_ref30,low_tv_spectral_teacher,2.0,-0.102188304381165,5.193976149787129,13,False,missing_units_and_qc_fail,13,17,0.0094032671271768,0.636446457083726,0.0014133167000873,False
dense_qc_stable_ref30,low_tv_spectral_teacher,2.25,-0.1076252523278954,5.306274377669208,13,False,missing_units_and_qc_fail,13,17,0.0107463481097658,0.6729075381394589,0.0016695834787327,False
dense_qc_stable_ref30,low_tv_spectral_teacher,2.5,-0.1125628057054059,5.406654527874897,13,False,missing_units_and_qc_fail,13,17,0.0097016299658482,0.6847304497448509,0.0012219431928601,False
