rule,block,block_label,common_ref_count,radii,radius_count,phi_energy_min,phi_energy_max,max_split_logZ_per_P_diff,min_ess_fraction
low_tv_spectral_teacher,dense_common,Dense common support,60,0.01;0.02;0.03;0.05;0.08,5,-0.0045207771884368,0.0,0.0001938389719539,0.5232004672298199
low_tv_spectral_teacher,sparse_common,Sparse common support,29,0.12;0.15;0.2;0.3;0.45;0.65;0.85;1;1.25;1.5;1.75;2;2.25;2.5,14,-0.1189343502269227,-0.0034966200918992,0.0199211169903806,0.5280385778454343
real_even_odd,dense_common,Dense common support,60,0.01;0.02;0.03;0.05;0.08,5,-0.0034114870976534,0.0,6.636752539097294e-05,0.5215918346259832
real_even_odd,sparse_common,Sparse common support,1,0.12;0.15;0.2;0.3;0.45;0.65;0.85;1;1.25;1.5;1.75;2;2.25;2.5,14,-0.1057065148620793,-0.0045376162738569,0.0036474106622846,0.6871095626131601
teacher_nn,dense_common,Dense common support,60,0.01;0.02;0.03;0.05;0.08,5,-0.0070926076319006,0.0,0.000436518247282,0.5020483696223692
teacher_nn,sparse_common,Sparse common support,1,0.12;0.15;0.2;0.3;0.45;0.65;0.85;1;1.25;1.5;1.75;2;2.25;2.5,14,-0.1407236416227799,-0.011780169291041,0.0025969449072161,0.6924392352531413
random_label,dense_common,Dense common support,60,0.01;0.02;0.03;0.05;0.08,5,-0.0226143397783181,0.0,0.0024199893337141,0.534466742593598
random_label,sparse_common,Sparse common support,1,0.12;0.15;0.2;0.3;0.45;0.65;0.85;1;1.25;1.5;1.75;2;2.25;2.5,14,-0.1744393053315889,-0.0390779976767811,0.0030837164989109,0.7555452626918078
