candidate_selector,radius,selected_ref_count,observed_ref_count,missing_ref_count,missing_refs,observed_fail_count,observed_fail_refs,max_split_logZ_per_P_diff,q05_ess_fraction,status,candidate_qc_pass
minus_all_observed_boundary_fail_refs,1.75,27,12,15,30;31;32;38;40;41;42;43;44;46;52;55;57;58;59,5,3;13;14;16;28,0.009058805453941,0.5560487777259089,missing_and_observed_fail,False
minus_all_observed_boundary_fail_refs,2.0,27,12,15,30;31;32;38;40;41;42;43;44;46;52;55;57;58;59,5,1;5;16;26;28,0.0094032671271768,0.6355803461929548,missing_and_observed_fail,False
minus_all_observed_boundary_fail_refs,2.25,27,12,15,30;31;32;38;40;41;42;43;44;46;52;55;57;58;59,5,2;3;5;14;16,0.0107463481097658,0.6719755625748387,missing_and_observed_fail,False
minus_all_observed_boundary_fail_refs,2.5,27,12,15,30;31;32;38;40;41;42;43;44;46;52;55;57;58;59,8,2;3;13;16;22;23;26;28,0.0093342702739787,0.6826484351731844,missing_and_observed_fail,False
observed_pass_0p85_ref12,0.01,22,22,0,,0,,2.1241092739811257e-06,0.9810321378047345,complete_observed_pass,True
observed_pass_0p85_ref12,0.02,22,22,0,,0,,8.53603646033367e-06,0.912151730771077,complete_observed_pass,True
observed_pass_0p85_ref12,0.03,22,22,0,,0,,4.959228229345248e-06,0.7631555929992272,complete_observed_pass,True
observed_pass_0p85_ref12,0.05,22,22,0,,0,,1.9402127532703577e-05,0.7302917920560071,complete_observed_pass,True
observed_pass_0p85_ref12,0.08,22,22,0,,0,,2.533193528115397e-05,0.5872673544262197,complete_observed_pass,True
observed_pass_0p85_ref12,0.12,22,13,9,31;32;38;40;41;42;43;44;46,0,,0.0005265480765362,0.5444836051192475,missing_only,False
observed_pass_0p85_ref12,0.15,22,13,9,31;32;38;40;41;42;43;44;46,0,,0.0003254080519906,0.6357925834540077,missing_only,False
observed_pass_0p85_ref12,0.2,22,13,9,31;32;38;40;41;42;43;44;46,0,,0.001193579756312,0.643556834790797,missing_only,False
observed_pass_0p85_ref12,0.3,22,12,10,30;31;32;38;40;41;42;43;44;46,0,,0.002604683551869,0.6307091638996123,missing_only,False
observed_pass_0p85_ref12,0.45,22,22,0,,0,,0.0037621420086935,0.7394315013406403,complete_observed_pass,True
observed_pass_0p85_ref12,0.65,22,22,0,,0,,0.00324098463392,0.6623939698324708,complete_observed_pass,True
observed_pass_0p85_ref12,0.85,22,22,0,,0,,0.003777310103013,0.6794475856771708,complete_observed_pass,True
observed_pass_0p85_ref12,1.0,22,12,10,30;31;32;38;40;41;42;43;44;46,2,5;14,0.0066571523620753,0.6332185017782164,missing_and_observed_fail,False
observed_pass_0p85_ref12,1.25,22,12,10,30;31;32;38;40;41;42;43;44;46,2,3;23,0.0062740234371529,0.6281616863825629,missing_and_observed_fail,False
observed_pass_0p85_ref12,1.5,22,12,10,30;31;32;38;40;41;42;43;44;46,6,5;13;16;17;23;26,0.012253545523131,0.6006760283044804,missing_and_observed_fail,False
observed_pass_0p85_ref12,1.75,22,12,10,30;31;32;38;40;41;42;43;44;46,5,3;13;14;16;28,0.009058805453941,0.5560487777259089,missing_and_observed_fail,False
observed_pass_0p85_ref12,2.0,22,12,10,30;31;32;38;40;41;42;43;44;46,5,1;5;16;26;28,0.0094032671271768,0.6355803461929548,missing_and_observed_fail,False
observed_pass_0p85_ref12,2.25,22,12,10,30;31;32;38;40;41;42;43;44;46,5,2;3;5;14;16,0.0107463481097658,0.6719755625748387,missing_and_observed_fail,False
observed_pass_0p85_ref12,2.5,22,12,10,30;31;32;38;40;41;42;43;44;46,8,2;3;13;16;22;23;26;28,0.0093342702739787,0.6826484351731844,missing_and_observed_fail,False
original_ref30,0.01,30,30,0,,0,,2.1241092739811257e-06,0.9814365062514495,complete_observed_pass,True
original_ref30,0.02,30,30,0,,0,,9.144362100249178e-06,0.9118507120007083,complete_observed_pass,True
original_ref30,0.03,30,30,0,,0,,9.577850740693809e-06,0.7621165072358849,complete_observed_pass,True
original_ref30,0.05,30,30,0,,0,,1.9402127532703577e-05,0.7357249439651651,complete_observed_pass,True
original_ref30,0.08,30,30,0,,0,,2.533193528115397e-05,0.6171512755523967,complete_observed_pass,True
original_ref30,0.12,30,14,16,31;32;33;38;40;41;42;43;44;46;49;52;55;57;58;59,0,,0.0005265480765362,0.5451891723203144,missing_only,False
original_ref30,0.15,30,14,16,31;32;33;38;40;41;42;43;44;46;49;52;55;57;58;59,0,,0.0006849131573311,0.5993044741171469,missing_only,False
original_ref30,0.2,30,14,16,31;32;33;38;40;41;42;43;44;46;49;52;55;57;58;59,0,,0.001193579756312,0.6507192199972938,missing_only,False
original_ref30,0.3,30,13,17,30;31;32;33;38;40;41;42;43;44;46;49;52;55;57;58;59,0,,0.002604683551869,0.6318203181211322,missing_only,False
original_ref30,0.45,30,30,0,,0,,0.0037621420086935,0.7378932143066487,complete_observed_pass,True
original_ref30,0.65,30,30,0,,0,,0.0037337708389808,0.702823099497682,complete_observed_pass,True
original_ref30,0.85,30,25,5,52;55;57;58;59,3,27;33;49,0.0054597353463382,0.6814016963803267,missing_and_observed_fail,False
original_ref30,1.0,30,13,17,30;31;32;33;38;40;41;42;43;44;46;49;52;55;57;58;59,2,5;14,0.0066571523620753,0.6344848030351755,missing_and_observed_fail,False
original_ref30,1.25,30,13,17,30;31;32;33;38;40;41;42;43;44;46;49;52;55;57;58;59,2,3;23,0.0062740234371529,0.6372637871586655,missing_and_observed_fail,False
original_ref30,1.5,30,13,17,30;31;32;33;38;40;41;42;43;44;46;49;52;55;57;58;59,7,5;13;16;17;23;26;27,0.0133517466005368,0.6013017773950186,missing_and_observed_fail,False
original_ref30,1.75,30,13,17,30;31;32;33;38;40;41;42;43;44;46;49;52;55;57;58;59,5,3;13;14;16;28,0.009058805453941,0.5564092922603725,missing_and_observed_fail,False
original_ref30,2.0,30,13,17,30;31;32;33;38;40;41;42;43;44;46;49;52;55;57;58;59,5,1;5;16;26;28,0.0094032671271768,0.636446457083726,missing_and_observed_fail,False
original_ref30,2.25,30,13,17,30;31;32;33;38;40;41;42;43;44;46;49;52;55;57;58;59,6,2;3;5;14;16;27,0.0107463481097658,0.6729075381394589,missing_and_observed_fail,False
original_ref30,2.5,30,13,17,30;31;32;33;38;40;41;42;43;44;46;49;52;55;57;58;59,9,2;3;13;16;22;23;26;27;28,0.0097016299658482,0.6847304497448509,missing_and_observed_fail,False
ref29_minus_boundary_fail_ref027,0.01,29,29,0,,0,,2.1241092739811257e-06,0.9813594425719565,complete_observed_pass,True
ref29_minus_boundary_fail_ref027,0.02,29,29,0,,0,,9.144362100249178e-06,0.911732264712868,complete_observed_pass,True
