dataset_id,split_id,rule,ref_id,theta_path,dataset_path,attempt_seed,optimizer_chain,P,train_error,test_error,CE_mean_train,CE_sum_train,CE_mean_test,theta_norm,min_margin,q05_margin,median_margin,mean_margin,extra_reference_search,pool_rank,resample_seed_offset
0,0,very_low_tv_spectral_teacher,0,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/very_low_tv_spectral_teacher_v1/04_exact_reference_search/selected_reference_pool/split_000/very_low_tv_spectral_teacher/ref_000/theta.npy,/home/bjyong/Complexity/local_project/03_dnn_mnist/01_dataset_gen/raw_outputs/very_low_tv_spectral_teacher_v1/01_dataset_prepare/raw_datasets/split_000/very_low_tv_spectral_teacher/dataset.npz,2840000,adam,2461,0.0,0.08837890625,0.0047414599190837,2.4276274785708734,0.3986520612540579,10.596875502899136,1.3479335448674352,3.863209468464918,8.099170109089428,7.40569552753673,,1,2026061900
1,0,real_even_odd,0,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/04_exact_reference_search/selected_reference_pool/split_000/real_even_odd/ref_000/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/real_even_odd/dataset.npz,2701000,adam,2461,0.0,0.12255859375,0.0011485333737007,0.5880490873348052,0.710774910398708,13.559947266891331,2.9907347561342057,5.373187944078943,9.115750088204324,8.467847655461195,,1,2026061800
2,0,teacher_nn,0,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/04_exact_reference_search/selected_reference_pool/split_000/teacher_nn/ref_000/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/teacher_nn/dataset.npz,2702000,adam,2461,0.0,0.12060546875,0.006522961686095,3.3397563832806747,0.4843741744583313,12.040562010348532,0.2944698208169969,3.4714229905030414,8.426035646719916,7.577454561390694,,1,2026061800
3,0,random_label,0,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/04_exact_reference_search/selected_reference_pool/split_000/random_label/ref_000/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/random_label/dataset.npz,2703000,adam,2461,0.0,0.52734375,0.0015707687602414,0.8042336052436421,4.237368580663952,16.796466230828653,2.8216975481575224,5.195387622081298,9.290006420152862,9.897835196324582,,1,2026061800
