cell_id,series,beta_ising,rewire_p,n_datasets,C_mean,C_std
cell_beta_0p05_p_0p00,beta,0.05,0.0,10,0.46482447151797945,0.014157309293527922
cell_beta_0p06_p_0p00,beta,0.06,0.0,10,0.466962625361168,0.012664341729278578
cell_beta_0p07_p_0p00,beta,0.07,0.0,10,0.45475892520891864,0.021526520667610415
cell_beta_0p08_p_0p00,beta,0.08,0.0,10,0.4361592796663416,0.016546086679962622
cell_beta_0p09_p_0p00,beta,0.09,0.0,10,0.41295435138438974,0.01804449073582313
cell_beta_0p10_p_0p00,beta,0.1,0.0,10,0.39310956859205237,0.021826445410471015
cell_beta_0p11_p_0p00,beta,0.11,0.0,10,0.38281319664865593,0.025134616645324324
cell_beta_0p12_p_0p00,beta,0.12,0.0,10,0.3685311425374777,0.020963114038585483
cell_beta_0p13_p_0p00,beta,0.13,0.0,10,0.3479008049739273,0.022371767326406673
cell_beta_0p14_p_0p00,beta,0.14,0.0,10,0.3188243059944601,0.01630658766257176
cell_beta_0p15_p_0p00,beta,0.15,0.0,10,0.2910857131161269,0.025265190787398244
cell_beta_0p16_p_0p00,beta,0.16,0.0,10,0.26581012529879827,0.02497200250196396
cell_beta_0p17_p_0p00,beta,0.17,0.0,10,0.21839332819798604,0.029298078097909908
cell_beta_0p18_p_0p00,beta,0.18,0.0,10,0.20864975135038505,0.025693574227515396
cell_beta_0p19_p_0p00,beta,0.19,0.0,10,0.17077153797215655,0.02458736691146947
cell_beta_0p20_p_0p00,beta,0.2,0.0,10,0.15452082727579117,0.022463772825478588
cell_beta_0p21_p_0p00,beta,0.21,0.0,10,0.126420837253219,0.013177521990097519
cell_beta_0p22_p_0p00,beta,0.22,0.0,10,0.10725415522940682,0.012461824923890162
cell_beta_0p23_p_0p00,beta,0.23,0.0,10,0.08637865514886103,0.0171923800202055
cell_beta_0p24_p_0p00,beta,0.24,0.0,10,0.09173495673678797,0.022110686492355557
cell_beta_0p25_p_0p00,beta,0.25,0.0,10,0.0666633988604121,0.024989981548021352
cell_beta_0p26_p_0p00,beta,0.26,0.0,10,0.060866748374527456,0.015301055276941707
cell_beta_0p27_p_0p00,beta,0.27,0.0,10,0.06171135406236383,0.016295852745692712
cell_beta_0p28_p_0p00,beta,0.28,0.0,10,0.060094231628507855,0.008341750055266365
cell_beta_0p29_p_0p00,beta,0.29,0.0,10,0.052816535439481414,0.00907958875410721
cell_beta_0p30_p_0p00,beta,0.3,0.0,10,0.04468501157463954,0.010570454857504233
cell_beta_0p31_p_0p00,beta,0.31,0.0,10,0.052361673419468645,0.009500395604463696
cell_beta_0p32_p_0p00,beta,0.32,0.0,10,0.04707219546262974,0.013114303586954201
cell_beta_0p33_p_0p00,beta,0.33,0.0,10,0.046402573102646956,0.011328838394685773
cell_beta_0p34_p_0p00,beta,0.34,0.0,10,0.043150893588154896,0.005784298266016489
cell_beta_0p35_p_0p00,beta,0.35,0.0,10,0.04457767830443431,0.008197288903162127
cell_beta_0p36_p_0p00,beta,0.36,0.0,10,0.04098790192542227,0.007957695935548553
cell_beta_0p37_p_0p00,beta,0.37,0.0,10,0.05021543505174303,0.008890628333063106
cell_beta_0p38_p_0p00,beta,0.38,0.0,10,0.0397786938890755,0.006339404718644737
cell_beta_0p39_p_0p00,beta,0.39,0.0,10,0.044761173316603474,0.006337357531496068
cell_beta_0p40_p_0p00,beta,0.4,0.0,10,0.04428026918544178,0.011395671718713633
