beta,n_radius,rmse,mae,spin_minus_gaussian_bias
0.15,30,8.580600807883579e-05,7.202369276827996e-05,3.5307681180766645e-05
0.13,30,0.00015257072785566255,0.00015101868905124336,-0.00015101868905124336
0.17,30,0.00036312446583003816,0.00032042849516885323,0.00032042849516885323
0.11,30,0.0003962269142109517,0.0003936693333638234,-0.0003936693333638234
0.09,30,0.0005406824960831608,0.00053374293516386,-0.00053374293516386
0.19,30,0.0006198506954922675,0.000569589727477,0.000569589727477
0.07,30,0.0007467657449322171,0.0007336075941537066,-0.0007336075941537066
0.21,30,0.0008242940142412289,0.0007639494244973265,0.0007639494244973265
0.05,30,0.0009073107531450842,0.0008901675233930601,-0.0008901675233930601
0.23,30,0.0010148386472615372,0.0009523048876077399,0.0009523048876077399
0.25,30,0.0011803194899318802,0.0011192785172166467,0.0011192785172166467
0.27,30,0.0012710448271348058,0.0012118280825308832,0.0012118280825308832
0.29,30,0.0013445250807091805,0.0012858030675161134,0.0012858030675161134
0.31,30,0.0013900105430636298,0.0013329810939599765,0.0013329810939599765
0.33,30,0.0014294385327207348,0.0013736134379444568,0.0013736134379444568
0.35,30,0.0014362429795515734,0.0013821475902034966,0.0013821475902034966
0.37,30,0.0014586549752684684,0.0014049912868990466,0.0014049912868990466
0.39,30,0.001480245244007737,0.0014268278825285,0.0014268278825285
