cell_id,dataset_tag,width,selected_ref_count,required_selected_refs,require_exact_selected_refs,exact_count,sampling_eligible_count
cell_beta_0p05_p_0p00,dataset_000_seed_606001234,48,30,30,True,32,30
cell_beta_0p05_p_0p00,dataset_001_seed_606101234,48,30,30,True,34,30
cell_beta_0p05_p_0p00,dataset_002_seed_606201234,48,30,30,True,31,30
cell_beta_0p05_p_0p00,dataset_003_seed_606301234,48,30,30,True,32,30
cell_beta_0p05_p_0p00,dataset_004_seed_606401234,48,30,30,True,31,30
cell_beta_0p05_p_0p00,dataset_005_seed_606501234,48,30,30,True,30,30
cell_beta_0p05_p_0p00,dataset_006_seed_606601234,48,30,30,True,32,30
cell_beta_0p05_p_0p00,dataset_007_seed_606701234,48,30,30,True,31,30
cell_beta_0p05_p_0p00,dataset_008_seed_606801234,48,30,30,True,30,30
cell_beta_0p05_p_0p00,dataset_009_seed_606901234,48,30,30,True,30,30
cell_beta_0p05_p_0p00,dataset_010_seed_607001234,48,30,30,True,32,30
cell_beta_0p05_p_0p00,dataset_011_seed_607101234,48,30,30,True,30,30
cell_beta_0p05_p_0p00,dataset_012_seed_607201234,48,30,30,True,32,30
cell_beta_0p05_p_0p00,dataset_013_seed_607301234,48,30,30,True,30,30
cell_beta_0p05_p_0p00,dataset_014_seed_607401234,48,30,30,True,30,30
cell_beta_0p05_p_0p00,dataset_015_seed_607501234,48,30,30,True,34,30
cell_beta_0p05_p_0p00,dataset_016_seed_607601234,48,30,30,True,34,30
cell_beta_0p05_p_0p00,dataset_017_seed_607701234,48,30,30,True,30,30
cell_beta_0p05_p_0p00,dataset_018_seed_607801234,48,30,30,True,32,30
cell_beta_0p05_p_0p00,dataset_019_seed_607901234,48,30,30,True,33,30
cell_beta_0p05_p_0p00,dataset_020_seed_608001234,48,30,30,True,33,30
cell_beta_0p05_p_0p00,dataset_021_seed_608101234,48,30,30,True,31,30
cell_beta_0p05_p_0p00,dataset_022_seed_608201234,48,30,30,True,34,30
cell_beta_0p05_p_0p00,dataset_023_seed_608301234,48,30,30,True,34,30
cell_beta_0p05_p_0p00,dataset_024_seed_608401234,48,30,30,True,33,30
cell_beta_0p05_p_0p00,dataset_025_seed_608501234,48,30,30,True,33,30
cell_beta_0p05_p_0p00,dataset_026_seed_608601234,48,30,30,True,33,30
cell_beta_0p05_p_0p00,dataset_027_seed_608701234,48,30,30,True,32,30
cell_beta_0p05_p_0p00,dataset_028_seed_608801234,48,30,30,True,31,30
cell_beta_0p05_p_0p00,dataset_029_seed_608901234,48,30,30,True,34,30
cell_beta_0p05_p_0p00,dataset_030_seed_609001234,48,30,30,True,35,30
cell_beta_0p05_p_0p00,dataset_031_seed_609101234,48,30,30,True,31,30
cell_beta_0p05_p_0p00,dataset_032_seed_609201234,48,30,30,True,33,30
cell_beta_0p05_p_0p00,dataset_033_seed_609301234,48,30,30,True,35,30
cell_beta_0p05_p_0p00,dataset_034_seed_609401234,48,30,30,True,31,30
cell_beta_0p05_p_0p00,dataset_035_seed_609501234,48,30,30,True,30,30
cell_beta_0p05_p_0p00,dataset_036_seed_609601234,48,30,30,True,30,30
cell_beta_0p05_p_0p00,dataset_037_seed_609701234,48,30,30,True,34,30
cell_beta_0p05_p_0p00,dataset_038_seed_609801234,48,30,30,True,31,30
cell_beta_0p05_p_0p00,dataset_039_seed_609901234,48,30,30,True,34,30
