cell_id,series,dataset_id,seed,beta_ising,rewire_p,dataset_raw_path,dataset_meta_path
cell_beta_0p13_p_0p00,beta,58,611809234,0.13,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_058_seed_611809234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_058_seed_611809234/dataset_meta.json
cell_beta_0p13_p_0p00,beta,59,611909234,0.13,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_059_seed_611909234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_059_seed_611909234/dataset_meta.json
cell_beta_0p13_p_0p00,beta,60,612009234,0.13,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_060_seed_612009234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_060_seed_612009234/dataset_meta.json
cell_beta_0p13_p_0p00,beta,61,612109234,0.13,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_061_seed_612109234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_061_seed_612109234/dataset_meta.json
cell_beta_0p13_p_0p00,beta,62,612209234,0.13,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_062_seed_612209234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_062_seed_612209234/dataset_meta.json
cell_beta_0p13_p_0p00,beta,63,612309234,0.13,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_063_seed_612309234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_063_seed_612309234/dataset_meta.json
cell_beta_0p13_p_0p00,beta,64,612409234,0.13,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_064_seed_612409234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_064_seed_612409234/dataset_meta.json
cell_beta_0p13_p_0p00,beta,65,612509234,0.13,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_065_seed_612509234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_065_seed_612509234/dataset_meta.json
cell_beta_0p13_p_0p00,beta,66,612609234,0.13,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_066_seed_612609234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_066_seed_612609234/dataset_meta.json
cell_beta_0p13_p_0p00,beta,67,612709234,0.13,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_067_seed_612709234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_067_seed_612709234/dataset_meta.json
cell_beta_0p13_p_0p00,beta,68,612809234,0.13,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_068_seed_612809234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_068_seed_612809234/dataset_meta.json
cell_beta_0p13_p_0p00,beta,69,612909234,0.13,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_069_seed_612909234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_069_seed_612909234/dataset_meta.json
cell_beta_0p13_p_0p00,beta,70,613009234,0.13,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_070_seed_613009234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_070_seed_613009234/dataset_meta.json
cell_beta_0p13_p_0p00,beta,71,613109234,0.13,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_071_seed_613109234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_071_seed_613109234/dataset_meta.json
cell_beta_0p13_p_0p00,beta,72,613209234,0.13,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_072_seed_613209234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_072_seed_613209234/dataset_meta.json
cell_beta_0p13_p_0p00,beta,73,613309234,0.13,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_073_seed_613309234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_073_seed_613309234/dataset_meta.json
cell_beta_0p13_p_0p00,beta,74,613409234,0.13,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_074_seed_613409234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_074_seed_613409234/dataset_meta.json
cell_beta_0p13_p_0p00,beta,75,613509234,0.13,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_075_seed_613509234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_075_seed_613509234/dataset_meta.json
