eta,k,replicate_count,edge_count,p_pos_mean,p_pos_sd,cut_fraction_mean,cut_fraction_sd,cut_fraction_sem,knn_nmstv_mean,knn_nmstv_sd,knn_nmstv_sem,signed_alignment_mean,signed_alignment_sd
0.0,3,20,1193,0.5,0.0,0.15004191114836546,0.0,0.0,0.3000838222967309,0.0,0.0,0.6999161777032691,0.0
0.02,3,20,1193,0.49833984375,0.006020769278128192,0.17845766974015087,0.009695125685150125,0.0021678960082399893,0.3569686266284974,0.019397312935660885,0.004337371030497379,0.6430846605196983,0.019390251370300253
0.04,3,20,1193,0.49755859375,0.009732158940063752,0.2038558256496228,0.011424070936151614,0.002554499919301467,0.4078686833403228,0.022865203955965634,0.005112815036493626,0.5922883487007544,0.02284814187230321
0.06,3,20,1193,0.49814453125,0.011147590895177388,0.2265297569153395,0.015021384428613218,0.0033588836698535997,0.4532802324669013,0.030055620810254088,0.006720641123768544,0.546940486169321,0.030042768857226437
0.08,3,20,1193,0.50244140625,0.014266540452230277,0.25041911148365464,0.01664019547675112,0.0037208608244900018,0.5012442077475445,0.03339184402927526,0.007466643314352993,0.4991617770326907,0.03328039095350224
0.1,3,20,1193,0.501953125,0.0145055392947061,0.27300922045264037,0.017664756822477704,0.003949959706106331,0.5464781347554067,0.03557262658163707,0.007954281117475651,0.45398155909471916,0.035329513644955395
0.12,3,20,1193,0.50283203125,0.01629764876093059,0.29442581726739314,0.018540650763281357,0.004145815545378047,0.5894733825740355,0.037222118127339596,0.00832311863992585,0.41114836546521377,0.037081301526562714
0.15,3,20,1193,0.502734375,0.018802182047658444,0.327116512992456,0.016900395186777106,0.003779043248424387,0.6551292914748983,0.033728966701029976,0.007542026235432995,0.34576697401508805,0.03380079037355424
0.18,3,20,1193,0.50029296875,0.01963658887932382,0.3546940486169321,0.01806258151369889,0.004038916011376177,0.7104447065388547,0.03643909962974691,0.008148030381100152,0.2906119027661358,0.03612516302739781
0.2,3,20,1193,0.50185546875,0.021371704786855565,0.369279128248114,0.01691045748571988,0.0037812932468689817,0.7398606486880888,0.03400714157621122,0.007604228028486759,0.26144174350377203,0.033820914971439735
0.25,3,20,1193,0.49716796875,0.020390977496827133,0.4049036043587594,0.017017273598746156,0.0038051780558508892,0.8111369149742439,0.03460760802632154,0.007738496408552226,0.19019279128248115,0.034034547197492326
0.3,3,20,1193,0.49970703125,0.02168690980339334,0.44132439228834874,0.016581478123823636,0.003707731225229534,0.8842567567966284,0.03394641693160939,0.00759064958516284,0.1173512154233026,0.03316295624764729
0.35,3,20,1193,0.50087890625,0.018609790926651364,0.46621961441743504,0.016204984801723506,0.0036235447591004694,0.9336710414847295,0.03242310721959225,0.007250027178477244,0.06756077116512993,0.032409969603446984
0.4,3,20,1193,0.50283203125,0.0143870595108318,0.4839061190276614,0.014380503874460599,0.0032155784213993006,0.9686066224160286,0.028805972728674512,0.006441211317932131,0.03218776194467728,0.028761007748921198
0.45,3,20,1193,0.50703125,0.013946662892563782,0.4936295054484493,0.013090354217323552,0.002927092187948651,0.9881853345322839,0.026204346357362965,0.00585946997610126,0.012740989103101424,0.026180708434647097
