k,eta_min,eta_max,knn_nmstv_eta0,knn_nmstv_eta0p5,eta_peak_d_knn_nmstv_d_eta,peak_d_knn_nmstv_d_eta,positive_slope_mass,eta_cross_nmstv_0p75,eta_cross_nmstv_0p9,eta_cross_nmstv_0p95
3,0.0,0.5,0.3000838222967309,1.0001069477431794,0.0,2.8442402165883243,0.6986431123370234,0.25,0.35,0.4
5,0.0,0.5,0.31525076765609006,0.9988926529937558,0.0,2.7509588499914015,0.6822017662239921,0.25,0.35,0.4
8,0.0,0.5,0.3872192344194875,1.001670079010661,0.0,2.450257658282678,0.6124926808070621,0.2,0.35,0.4
16,0.0,0.5,0.4979794839912962,1.003769219631984,0.0,1.9607951486784443,0.5053138015985329,0.18,0.3,0.35
32,0.0,0.5,0.6350420811017597,1.0032119831648585,0.02,1.4169137346844602,0.36976300750507246,0.1,0.25,0.35
