eta,k,d_knn_nmstv_d_eta_mean,d_knn_nmstv_d_eta_sd,d_knn_nmstv_d_eta_sem,d_cut_fraction_d_eta_mean,d_cut_fraction_d_eta_sd,d_cut_fraction_d_eta_sem,d_knn_nmstv_d_eta_mean_curve,d_cut_fraction_d_eta_mean_curve
0.0,3,2.8442402165883243,0.9698656467830454,0.21686855152486897,1.420787929589271,0.48475628425750605,0.10839480041199946,2.844240216588323,1.4207879295892705
0.02,3,2.694621526089797,0.5716300988991407,0.12782037591234063,1.3453478625314337,0.2856017734037903,0.06386249798253664,2.6946215260897963,1.3453478625314328
0.04,3,2.4077901459600985,0.6574380262153076,0.14700761176107163,1.2018021793797158,0.32792028976912174,0.07332520591251848,2.4077901459600994,1.2018021793797162
0.06,3,2.334388110180544,0.5392989065881312,0.12059090153223707,1.1640821458507966,0.2691770776233256,0.060189824355049354,2.3343881101805444,1.1640821458507968
0.08,3,2.329947557212635,0.5958022766280979,0.1332254391689561,1.1619865884325224,0.29654953106198756,0.06631049101502895,2.329947557212636,1.161986588432522
0.1,3,2.2057293706622754,0.7510949716663761,0.16794994142042954,1.1001676445934623,0.3755730746170543,0.08398069253623341,2.205729370662274,1.100167644593462
0.12,3,2.165269553237036,0.7546754480315074,0.16875056027485608,1.0783738474434208,0.37824677140800483,0.08457854931381224,2.165269553237035,1.0783738474434212
0.15,3,2.0161887327469876,0.365007003891234,0.08161804729643293,1.0044705224923165,0.1795329366640414,0.04014478505809609,2.016188732746988,1.0044705224923156
0.18,3,1.6200171319964365,0.2837977974989857,0.06345911670724518,0.8052528639284706,0.14645978190332196,0.032749402830562144,1.6200171319964376,0.8052528639284695
0.2,3,1.4578623126792416,0.38707149603363034,0.08655181772837378,0.7244641360316114,0.19615487818261504,0.04386156417345176,1.457862312679242,0.7244641360316115
0.25,3,1.4439610810853976,0.27415619550142245,0.06130318895939025,0.7204526404023474,0.13628943257147144,0.03047524358446841,1.4439610810853978,0.7204526404023479
0.3,3,1.225341265104856,0.2922203025098423,0.06534244608175596,0.6131601005867562,0.1447067470183263,0.032357412313584265,1.2253412651048556,0.6131601005867573
0.35,3,0.8434986561940022,0.29119529118670173,0.06511324658213105,0.425817267393127,0.1420065801981242,0.03175363665752812,0.8434986561940043,0.42581726739312664
0.4,3,0.5451429304755415,0.24087427810924497,0.05386112598834612,0.2740989103101419,0.11744886243669816,0.026262364028847865,0.5451429304755422,0.27409891031014233
0.45,3,0.3150032532715092,0.24626891715557717,0.05506740395051346,0.15674769488683998,0.12226204472901392,0.02733862430821949,0.31500325327150946,0.15674769488683893
0.5,3,0.23843226421791403,0.2855191940321918,0.0638440326736933,0.119027661357921,0.1404617607084888,0.03140820451834899,0.23843226421791158,0.11902766135792
0.0,5,2.7509588499914015,0.9101282963573256,0.2035108738901054,1.37410440122825,0.4550308428528464,0.1017479896477989,2.7509588499914,1.3741044012282502
0.02,5,2.614065157675989,0.5180288787929478,0.11583477872890306,1.3050153531218016,0.258864572545481,0.05788387811781213,2.614065157675988,1.3050153531218003
0.04,5,2.4339285872526633,0.6296777587490422,0.1408002272482571,1.2148157625383835,0.31417610967847054,0.07025191381474896,2.433928587252666,1.2148157625383833
0.06,5,2.402752289916707,0.4977363626743983,0.11129723418134436,1.1981832139201647,0.24803015295099495,0.05546122824680947,2.4027522899167106,1.1981832139201662
0.08,5,2.2552151312883804,0.5322594726073031,0.11901683624181167,1.1246161719549639,0.26458895633668045,0.05916388924645412,2.255215131288381,1.1246161719549637
0.1,5,2.052343238755438,0.6788684790892072,0.1517996067025362,1.0235414534288643,0.3397239916348052,0.07596459388829942,2.0523432387554355,1.023541453428864
0.12,5,2.0559425542621717,0.712063918948605,0.15922233270939812,1.0237120436711031,0.35619424039545405,0.07964745347181368,2.0559425542621703,1.023712043671102
0.15,5,2.007481376604347,0.3556682035582246,0.07952982805914229,1.0000852951211188,0.1750629115640892,0.039145257059633745,2.0074813766043462,1.000085295121119
0.18,5,1.628740417046916,0.3447423370531821,0.07708673003730596,0.8096212896622303,0.17690151409550042,0.03955638108401762,1.6287404170469166,0.8096212896622301
0.2,5,1.4304268424740703,0.4517549931524315,0.10101548738637887,0.7107764293025284,0.22848190758241463,0.05109010769831038,1.4304268424740698,0.7107764293025265
0.25,5,1.3750167776442468,0.254907612090324,0.05699907486161116,0.6860286591606963,0.12709925086613358,0.028420256482597363,1.3750167776442481,0.6860286591606966
0.3,5,1.1996584305178524,0.2417677864570382,0.05406092052875905,0.6003070624360289,0.11921535190917247,0.026657363083046916,1.199658430517852,0.6003070624360287
0.35,5,0.8547527114882639,0.22788568361895828,0.050956787967100105,0.4314227226202668,0.1106768224394416,0.024748089850826546,0.8547527114882634,0.43142272262026715
0.4,5,0.5306184269873084,0.19433988414381959,0.04345571916850141,0.2668884339815755,0.09501041477750204,0.02124497460129451,0.53061842698731,0.2668884339815758
0.45,5,0.28341199085830626,0.20144743188908745,0.04504501515967584,0.14099283520982603,0.10025145860902246,0.022416907629328072,0.2834119908583066,0.14099283520982642
0.5,5,0.19786870736182077,0.23314618600940154,0.05213307206118322,0.09877175025588544,0.11476139117077024,0.025661427185028642,0.19786870736182133,0.09877175025588494
0.0,8,2.450257658282678,0.8337394249012482,0.18642980296007716,1.2235052198671301,0.416773560597706,0.09319340127210984,2.4502576582826756,1.2235052198671297
0.02,8,2.3844146135044717,0.4777662681874631,0.10683178530235624,1.1898924391015497,0.23880842166987112,0.05339918644532656,2.38441461350447,1.1898924391015493
0.04,8,2.1954204247110463,0.5838145564788566,0.13054490345406136,1.0953812084783308,0.2921672926544906,0.06533059271775159,2.1954204247110454,1.0953812084783303
0.06,8,2.1231063474567815,0.44793589472965034,0.1001615110177688,1.0582094273963945,0.2236176929958826,0.05000243625104721,2.123106347456785,1.0582094273963945
0.08,8,2.0205839394601384,0.44852199159089023,0.10029256626008198,1.00719708952863,0.22271302714354177,0.04980014681677152,2.0205839394601384,1.0071970895286313
0.1,8,1.8228081459198133,0.5883982293121773,0.13156984385825377,0.9087314141094589,0.29485250612533814,0.06593102470324291,1.8228081459198116,0.9087314141094591
0.12,8,1.8186996652212417,0.6581735581208731,0.1471720816951181,0.9049351471053472,0.3291238622239456,0.07359433289500174,1.818699665221244,0.9049351471053457
0.15,8,1.763588865419062,0.29293477520097766,0.06550220703230056,0.8781503743541073,0.14298533782568304,0.03197249351639992,1.7635888654190612,0.8781503743541066
0.18,8,1.424015123851716,0.28541161952319505,0.06381997828221703,0.7072656332384257,0.146091986893751,0.032667161366243556,1.4240151238517136,0.7072656332384248
0.2,8,1.2668265106524583,0.4051494792375817,0.09059417766238724,0.6289600940028006,0.20393519482578973,0.04560129586351292,1.266826510652458,0.6289600940028031
0.25,8,1.255539091758366,0.19554965223879062,0.04372623153823798,0.6263840556785829,0.09725852688611103,0.021747667750883517,1.2555390917583669,0.6263840556785825
0.3,8,1.0726177269194843,0.16123175607044782,0.036052516670518564,0.5368554254982603,0.07868559654318422,0.01759463427206823,1.0726177269194839,0.5368554254982598
