eta,k,d_knn_nmstv_d_eta_mean,d_knn_nmstv_d_eta_sd,d_knn_nmstv_d_eta_sem,d_cut_fraction_d_eta_mean,d_cut_fraction_d_eta_sd,d_cut_fraction_d_eta_sem,d_knn_nmstv_d_eta_mean_curve,d_cut_fraction_d_eta_mean_curve
0.35,8,0.7709226451410138,0.1917021275180626,0.04286589885617209,0.3895919012970583,0.09254784685779575,0.020694327674527162,0.7709226451410149,0.38959190129705856
0.4,8,0.5222757848510988,0.22667289795505616,0.05068560084843786,0.2627333122429607,0.11253160582412867,0.02516283202399629,0.5222757848510966,0.26273331224296115
0.45,8,0.2728255468566735,0.2083694691987423,0.046592829756393644,0.1357165453970261,0.10321707742199529,0.023080040155444022,0.27282554685667293,0.1357165453970266
0.5,8,0.16159725858506385,0.25297675188219226,0.056567321393567974,0.08067067383739288,0.12535238740070814,0.02802964593698715,0.1615972585850645,0.08067067383739303
0.0,16,1.9607951486784443,0.6978978243530857,0.15605469766027075,0.9783960211377064,0.34876178764765814,0.07798550651345099,1.9607951486784458,0.9783960211377063
0.02,16,1.9172268849979865,0.44559555568677484,0.0996381952987421,0.955859496425241,0.22282279261147775,0.04982469112156022,1.9172268849979872,0.9558594964252416
0.04,16,1.8120798052035476,0.448910769399318,0.10037949962086075,0.9034037923531247,0.22550095571733797,0.050423546597513746,1.8120798052035472,0.9034037923531244
0.06,16,1.763550298194896,0.3406893964456839,0.07618046496659246,0.8781473422443279,0.1710782513780577,0.03825425995531341,1.763550298194895,0.8781473422443264
0.08,16,1.68364651859438,0.34851366645070087,0.07793002492714551,0.8385141436120607,0.17209984986259205,0.03848269632102636,1.6836465185943794,0.8385141436120618
0.1,16,1.4976276750626523,0.4700902657535328,0.10511537897858406,0.7460366801367737,0.23570926305689324,0.05270619351215931,1.497627675062649,0.7460366801367737
0.12,16,1.4200097205328965,0.5278388879675857,0.11802836346634174,0.7054191275515496,0.26389280952854083,0.05900822608792215,1.4200097205328976,0.7054191275515489
0.15,16,1.3969052941029154,0.22426343726010295,0.05014682905813493,0.6948761786343385,0.10784457355800492,0.024114779748017526,1.3969052941029148,0.6948761786343383
0.18,16,1.1997608561020128,0.22195879861323786,0.04963149619033859,0.5951196767174377,0.11501006996435102,0.025717033453729565,1.19976085610201,0.595119676717438
0.2,16,1.0806219936822345,0.3238350449958979,0.07241171741075307,0.5357919978684653,0.1610151039674157,0.03600407178753376,1.080621993682234,0.5357919978684658
0.25,16,1.031115490931732,0.1643380832663275,0.03674711254755291,0.5143767485234692,0.0819741192579942,0.018329970305654964,1.0311154909317324,0.5143767485234685
0.3,16,0.887688586912088,0.15421129714920553,0.0344826943324043,0.44459123406900847,0.0768343251486948,0.017180677403780313,0.8876885869120876,0.4445912340690086
0.35,16,0.6701298792927824,0.14663269886641808,0.03278806823895671,0.3392912651538704,0.07125488398040797,0.015933076430905302,0.6701298792927801,0.33929126515386976
0.4,16,0.4436142645230034,0.18313531112902218,0.040950300476506725,0.2234224432701269,0.09212690530489515,0.02060020228184315,0.4436142645230028,0.2234224432701266
0.45,16,0.22731047001489674,0.15342452305404414,0.03430676629643263,0.11299347217904887,0.07575383776999234,0.01693907308101939,0.22731047001489735,0.11299347217904909
0.5,16,0.1602839547646258,0.1328052498376329,0.029696156640578997,0.08004351880634115,0.06822941728514512,0.015256561511478363,0.16028395476462623,0.08004351880634199
0.0,32,1.3997358305858165,0.563356559297278,0.1259703562159105,0.697398622800306,0.28144585017798335,0.06293320529831921,1.3997358305858132,0.6973986228003048
0.02,32,1.4169137346844602,0.37070397824076373,0.08289192948759504,0.7051453710788068,0.18564500144058865,0.04151148429042026,1.4169137346844618,0.7051453710788076
0.04,32,1.3751051010824968,0.33401283197422704,0.0746875397651587,0.6844873756694725,0.1686150481403881,0.037703470967130726,1.3751051010824966,0.6844873756694732
0.06,32,1.31648052643125,0.3148678724177996,0.07040659666569313,0.6541698546289225,0.1577817074962026,0.035281062356749715,1.3164805264312491,0.6541698546289236
0.08,32,1.2299262514112823,0.28750220282388256,0.06428744691951332,0.6114192807957154,0.14127627519943778,0.03159033549539106,1.2299262514112854,0.6114192807957171
0.1,32,1.0797225724791546,0.3587670671286361,0.08022275501878606,0.5370122417750578,0.18045945797730642,0.040351961522002384,1.0797225724791595,0.5370122417750576
0.12,32,1.0209192310766846,0.4102882425125451,0.09174324006269699,0.5055853098699317,0.2054680129991274,0.04594404442678593,1.0209192310766841,0.5055853098699306
0.15,32,1.0245527850410272,0.19850516694860748,0.04438710471820307,0.5087350165774039,0.09662349917905225,0.0216056712388256,1.0245527850410259,0.5087350165774032
0.18,32,0.9280585384630926,0.17593773066950752,0.03934087255840684,0.45916857944401845,0.09300298899216727,0.02079610054971507,0.9280585384630946,0.4591685794440199
0.2,32,0.8195526036604524,0.23149662477683625,0.05176421895627679,0.4051153131489766,0.11431493341253925,0.025561596195379975,0.8195526036604548,0.4051153131489782
0.25,32,0.7167600987447551,0.1429057969244847,0.03195470763019281,0.35749808722264753,0.07179088338044333,0.01605292954034311,0.7167600987447553,0.3574980872226474
0.3,32,0.651375482604766,0.156057964175295,0.03489562163261866,0.32662586074980887,0.0779093036321882,0.017421049900124407,0.6513754826047666,0.32662586074980915
0.35,32,0.48829604173854807,0.12608084755300197,0.028192534578930034,0.24854628921193594,0.060623827335154,0.013555899897761427,0.4882960417385469,0.24854628921193544
0.4,32,0.313945776662307,0.1309787234982615,0.02928773293482618,0.15868400918133113,0.0662625970776692,0.014816767143134723,0.31394577666230816,0.1586840091813304
0.45,32,0.16350632150607441,0.11193010595727197,0.025028332564921426,0.0811017597551646,0.055674913767255495,0.012449289182502217,0.16350632150607503,0.08110175975516487
0.5,32,0.1025252198711161,0.12012364990888637,0.026860464690165637,0.051185921958684114,0.0613023789496114,0.013707628651378326,0.10252521987111687,0.051185921958683
