eta,k,expected_cut_fraction_nested_independent,expected_knn_nmstv,expected_d_cut_d_eta,expected_d2_cut_d_eta2
0.0,3,0.15004191114836546,0.3000838222967309,1.3998323554065382,-2.7996647108130763
0.02,3,0.17747862531433362,0.35495725062866723,1.3438390611902766,-2.7996647108130763
0.04,3,0.20379547359597652,0.40759094719195305,1.287845766974015,-2.7996647108130763
0.06,3,0.2289924559932942,0.4579849119865884,1.2318524727577536,-2.7996647108130763
0.08,3,0.2530695725062867,0.5061391450125734,1.175859178541492,-2.7996647108130763
0.1,3,0.2760268231349539,0.5520536462699078,1.1198658843252305,-2.7996647108130763
0.12,3,0.2978642078792959,0.5957284157585918,1.063872590108969,-2.7996647108130763
0.15,3,0.3285205364626991,0.6570410729253982,0.9798826487845766,-2.7996647108130763
0.18,3,0.3566571668063705,0.713314333612741,0.8958927074601845,-2.7996647108130763
0.2,3,0.3740150880134116,0.7480301760268232,0.8398994132439229,-2.7996647108130763
0.25,3,0.4125104777870914,0.8250209555741828,0.6999161777032691,-2.7996647108130763
0.3,3,0.44400670578373846,0.8880134115674769,0.5599329421626152,-2.7996647108130763
0.35,3,0.46850377200335286,0.9370075440067057,0.4199497066219615,-2.7996647108130763
0.4,3,0.4860016764459346,0.9720033528918692,0.27996647108130757,-2.7996647108130763
0.45,3,0.4965004191114837,0.9930008382229674,0.13998323554065378,-2.7996647108130763
0.5,3,0.5,1.0,0.0,-2.7996647108130763
0.0,5,0.15762538382804503,0.31525076765609006,1.3694984646878199,-2.7389969293756398
0.02,5,0.1844675537359263,0.3689351074718526,1.3147185261003071,-2.7389969293756398
0.04,5,0.21021412487205732,0.42042824974411463,1.2599385875127944,-2.7389969293756398
0.06,5,0.23486509723643806,0.4697301944728761,1.2051586489252815,-2.7389969293756398
0.08,5,0.2584204708290686,0.5168409416581372,1.1503787103377687,-2.7389969293756398
0.1,5,0.28088024564994885,0.5617604912998977,1.095598771750256,-2.7389969293756398
0.12,5,0.30224442169907884,0.6044888433981577,1.040818833162743,-2.7389969293756398
0.15,5,0.3322364380757421,0.6644728761514842,0.9586489252814738,-2.7389969293756398
0.18,5,0.35976335721596725,0.7195267144319345,0.8764790174002047,-2.7389969293756398
0.2,5,0.37674513817809624,0.7534902763561925,0.8216990788126919,-2.7389969293756398
0.25,5,0.41440634595701126,0.8288126919140225,0.6847492323439099,-2.7389969293756398
0.3,5,0.4452200614124872,0.8904401228249744,0.547799385875128,-2.7389969293756398
0.35,5,0.46918628454452405,0.9383725690890481,0.410849539406346,-2.7389969293756398
0.4,5,0.4863050153531218,0.9726100307062436,0.27389969293756394,-2.7389969293756398
0.45,5,0.49657625383828047,0.9931525076765609,0.13694984646878197,-2.7389969293756398
0.5,5,0.5,1.0,0.0,-2.7389969293756398
0.0,8,0.19360961720974376,0.3872192344194875,1.2255615311610248,-2.4511230623220497
0.02,8,0.21763062322049984,0.43526124644099967,1.176539069914584,-2.4511230623220497
0.04,8,0.24067118000632712,0.48134236001265424,1.127516608668143,-2.4511230623220497
0.06,8,0.2627312875672255,0.525462575134451,1.0784941474217018,-2.4511230623220497
0.08,8,0.2838109459031952,0.5676218918063904,1.0294716861752609,-2.4511230623220497
0.1,8,0.303910155014236,0.607820310028472,0.9804492249288199,-2.4511230623220497
0.12,8,0.323028914900348,0.646057829800696,0.9314267636823789,-2.4511230623220497
0.15,8,0.3498687124327744,0.6997374248655488,0.8578930718127173,-2.4511230623220497
0.18,8,0.37450249920911105,0.7490049984182221,0.7843593799430559,-2.4511230623220497
0.2,8,0.3896994621955078,0.7793989243910155,0.7353369186966149,-2.4511230623220497
0.25,8,0.4234024043024359,0.8468048086048718,0.6127807655805124,-2.4511230623220497
0.3,8,0.45097753875355895,0.9019550775071179,0.49022461246440996,-2.4511230623220497
0.35,8,0.47242486554887686,0.9448497310977537,0.3676684593483075,-2.4511230623220497
0.4,8,0.48774438468838976,0.9754887693767795,0.24511230623220492,-2.4511230623220497
0.45,8,0.49693609617209744,0.9938721923441949,0.12255615311610246,-2.4511230623220497
0.5,8,0.5,1.0,0.0,-2.4511230623220497
0.0,16,0.2489897419956481,0.4979794839912962,1.0040410320174076,-2.008082064034815
0.02,16,0.2686689462231893,0.5373378924463786,0.9638793907367113,-2.008082064034815
0.04,16,0.2875449176251166,0.5750898352502332,0.923717749456015,-2.008082064034815
0.06,16,0.3056176562014299,0.6112353124028598,0.8835561081753187,-2.008082064034815
0.08,16,0.3228871619521293,0.6457743239042586,0.8433944668946224,-2.008082064034815
0.1,16,0.3393534348772148,0.6787068697544296,0.8032328256139261,-2.008082064034815
0.12,16,0.3550164749766863,0.7100329499533726,0.7630711843332297,-2.008082064034815
0.15,16,0.37700497357786755,0.7540099471557351,0.7028287224121853,-2.008082064034815
0.18,16,0.39718619832141744,0.7943723966428349,0.6425862604911409,-2.008082064034815
0.2,16,0.40963630711843335,0.8192726142368667,0.6024246192104445,-2.008082064034815
0.25,16,0.43724743549891204,0.8744948709978241,0.5020205160087038,-2.008082064034815
0.3,16,0.4598383587193037,0.9196767174386073,0.40161641280696303,-2.008082064034815
0.35,16,0.4774090767796083,0.9548181535592166,0.30121230960522233,-2.008082064034815
0.4,16,0.4899595896798259,0.9799191793596518,0.20080820640348146,-2.008082064034815
0.45,16,0.49748989741995653,0.9949797948399131,0.10040410320174073,-2.008082064034815
0.5,16,0.5,1.0,0.0,-2.008082064034815
0.0,32,0.3175210405508799,0.6350420811017597,0.7299158377964805,-1.459831675592961
