k,edge_count,p_pos,random_cut_fraction,cut_fraction,knn_nmstv,signed_alignment
3,1193,0.5,0.5,0.15004191114836546,0.3000838222967309,0.6999161777032691
5,1954,0.5,0.5,0.15762538382804503,0.31525076765609006,0.6847492323439099
8,3161,0.5,0.5,0.19360961720974376,0.3872192344194875,0.6127807655805125
16,6434,0.5,0.5,0.2489897419956481,0.4979794839912962,0.5020205160087038
32,13070,0.5,0.5,0.3175210405508799,0.6350420811017597,0.36495791889824025
