rule,radius,phi_energy_raw,n_units,target_ref_count,sampling_status
real_even_odd,0.24,-0.019214162080684494,30,30,complete
real_even_odd,0.25,-0.020137269149013832,30,30,complete
real_even_odd,0.26,-0.021693387482391777,30,30,complete
real_even_odd,0.27,-0.0229582401268591,30,30,complete
real_even_odd,0.28,-0.023848635994524976,30,30,complete
real_even_odd,0.29,-0.025085335967680644,30,30,complete
real_even_odd,0.3,-0.026255323414123725,30,30,complete
real_even_odd,0.31,-0.027497083821550604,30,30,complete
real_even_odd,0.32,-0.02884395149651032,30,30,complete
real_even_odd,0.33,-0.029446951755903193,30,30,complete
real_even_odd,0.34,-0.03107868843611474,30,30,complete
real_even_odd,0.35,-0.03235488679803601,30,30,complete
real_even_odd,0.36,-0.03283570097836078,30,30,complete
real_even_odd,0.37,-0.03350905694950054,30,30,complete
real_even_odd,0.38,-0.03548656894413173,30,30,complete
real_even_odd,0.39,-0.03575847019955924,30,30,complete
real_even_odd,0.4,-0.03725065986532831,30,30,complete
real_even_odd,0.41,-0.037801057347715175,30,30,complete
real_even_odd,0.42,-0.038594785470375724,30,30,complete
real_even_odd,0.43,-0.039778602255541515,30,30,complete
real_even_odd,0.44,-0.041155713547375204,30,30,complete
real_even_odd,0.45,-0.041772281663206345,30,30,complete
real_even_odd,0.46,-0.04245246639647913,30,30,complete
real_even_odd,0.47,-0.04398101948589798,30,30,complete
real_even_odd,0.48,-0.04382742641415545,30,30,complete
real_even_odd,0.49,-0.04519880205800021,30,30,complete
real_even_odd,0.5,-0.045715469554851396,30,30,complete
real_even_odd,0.51,-0.04514871373802179,30,30,complete
real_even_odd,0.52,-0.04697262048748928,30,30,complete
real_even_odd,0.53,-0.04842945035482779,30,30,complete
real_even_odd,0.54,-0.047732648612870174,30,30,complete
real_even_odd,0.55,-0.04945589377689851,30,30,complete
real_even_odd,0.56,-0.049998574981501995,30,30,complete
real_even_odd,0.57,-0.05035173083404986,30,30,complete
real_even_odd,0.58,-0.05136019275631583,30,30,complete
real_even_odd,0.59,-0.05199658703775924,30,30,complete
real_even_odd,0.6,-0.05272713184861662,30,30,complete
real_even_odd,0.61,-0.05396193753422021,30,30,complete
real_even_odd,0.62,-0.054670349435760004,30,30,complete
real_even_odd,0.63,-0.05443275179354874,30,30,complete
real_even_odd,0.64,-0.05557946445651438,30,30,complete
real_even_odd,0.65,-0.05589846133271375,30,30,complete
real_even_odd,0.66,-0.05565900270547928,30,30,complete
real_even_odd,0.67,-0.0577443652334256,30,30,complete
real_even_odd,0.68,-0.05778257571935129,30,30,complete
real_even_odd,0.69,-0.05859137676449115,30,30,complete
real_even_odd,0.7,-0.05886137167551941,30,30,complete
real_even_odd,0.71,-0.060386835060364095,30,30,complete
real_even_odd,0.72,-0.060413124134699035,30,30,complete
real_even_odd,0.73,-0.06041048923433669,30,30,complete
real_even_odd,0.74,-0.060450033036521744,30,30,complete
real_even_odd,0.75,-0.06233212090280561,30,30,complete
real_even_odd,0.76,-0.062499028609788614,30,30,complete
real_even_odd,0.77,-0.06309924657981922,30,30,complete
real_even_odd,0.78,-0.06338707835851329,30,30,complete
real_even_odd,0.79,-0.06424480601714515,30,30,complete
real_even_odd,0.8,-0.0650258181603193,30,30,complete
real_even_odd,0.81,-0.06624765107631099,30,30,complete
real_even_odd,0.82,-0.06533038828117183,30,30,complete
real_even_odd,0.83,-0.0666263378317743,30,30,complete
real_even_odd,0.84,-0.06677414404233535,30,30,complete
real_even_odd,0.85,-0.06831620223235206,30,30,complete
real_even_odd,0.86,-0.06744374094652508,30,30,complete
real_even_odd,0.87,-0.06792177696856207,30,30,complete
real_even_odd,0.88,-0.06955430663306726,30,30,complete
real_even_odd,0.89,-0.06923761873731792,30,30,complete
real_even_odd,0.9,-0.07022938235011879,30,30,complete
real_even_odd,0.91,-0.0708133465787635,30,30,complete
