beta,radius,ref_count,q05_ess_fraction,max_split_logZ_per_P_diff,mean_smc_mh_acceptance,min_smc_cess_fraction,mean_smc_step_count,mean_weighted_accuracy,mean_weighted_ce_l2_ratio
0.05,0.01,1800,0.9997430259595659,2.4487716828502925e-06,0.9996647135416666,0.9976738015578747,1.0,0.996799269761048,0.00223969898162074
0.05,0.02,1800,0.9971950616306581,4.214537157087948e-06,0.9985986328125,0.985528518285785,1.0,0.9883430670436087,0.009525186500555465
0.05,0.03,1800,0.990644775392062,7.422463859988095e-06,0.9969786241319445,0.9639313834369878,1.0,0.9747611760077047,0.025321139666786605
0.05,0.04,1800,0.9791353490471191,9.955459793277932e-06,0.9950678168402778,0.9308168994947081,1.0,0.9585399107939448,0.0492841746067398
0.05,0.05,1800,0.96292766943362,1.803623037750619e-05,0.9930322265625,0.8813830503562684,1.0,0.941300778583928,0.08014859870213713
0.05,0.06,1800,0.9418461749786419,2.13710807207544e-05,0.9909342447916667,0.8414259335691795,1.0,0.9240248129033791,0.1163709781176732
0.05,0.07,1800,0.9195841008040382,2.7468635984589633e-05,0.9888004557291666,0.7864798346351459,1.0,0.90716454199235,0.1566537035897878
0.05,0.08,1800,0.8949041490686562,2.763339226266146e-05,0.9865630425347224,0.7500000000206603,1.0016666666666667,0.8909207740575688,0.19994606323444813
0.05,0.09,1800,0.8680969853656668,3.345518147174962e-05,0.9844973415798611,0.7500000000083954,1.0038888888888888,0.875418531757927,0.24531385864284216
0.05,0.1,1800,0.844906918985715,3.365500260092502e-05,0.9824143699363427,0.7500000000007355,1.008888888888889,0.8606712575813273,0.2920756594758357
0.05,0.11,1800,0.8223073590241645,3.5974369086547856e-05,0.9804847547743056,0.7500000000003378,1.018888888888889,0.8467120500627181,0.33960881905102147
0.05,0.12,1800,0.8045776417117576,4.01733518112815e-05,0.9783662471064816,0.7500000000000248,1.0344444444444445,0.8334741540781074,0.3877167761383503
0.05,0.13,1800,0.7977186316499847,4.459615509776565e-05,0.9766069878472222,0.7500000000000387,1.0616666666666668,0.8208985481829267,0.43604410642559926
0.05,0.14,1800,0.791179712329679,6.126818575460619e-05,0.9747863317418981,0.7500000000008754,1.0894444444444444,0.8090460670953817,0.48408693479439346
0.05,0.15,1800,0.7886169373982315,4.645047192497576e-05,0.9729040979456022,0.7500000000004644,1.1266666666666667,0.7977935182239424,0.5318810950208248
0.05,0.16,1800,0.7853013021978007,4.195746437961941e-05,0.9712096715856479,0.75000000000011,1.1677777777777778,0.787174306865928,0.5789361764311984
0.05,0.17,1800,0.7859302183499244,6.758052835523848e-05,0.9696537724247684,0.7500000000000108,1.2022222222222223,0.7770714090872654,0.6257349971880807
0.05,0.18,1800,0.7853566320516907,6.049498803711357e-05,0.968009006076389,0.7500000000000754,1.238888888888889,0.7674709481942733,0.671686598848031
0.05,0.19,1800,0.7881507025699188,5.87084270183368e-05,0.9665528067129626,0.7500000000000774,1.271111111111111,0.758398373313851,0.7168463238030097
0.05,0.2,1800,0.7856263207074649,5.9110017473737174e-05,0.9649401222511574,0.7500000000003085,1.3038888888888889,0.749804537839032,0.7610869451674404
0.05,0.21,1800,0.7829614825331866,8.385218861031006e-05,0.9632988823784724,0.7500000000001167,1.3294444444444444,0.7415969196655929,0.8047766412130394
0.05,0.22,1800,0.7771125341394666,9.14969494896939e-05,0.9620827003761575,0.7500000000003685,1.3577777777777778,0.7337859490130055,0.8473102668088247
0.05,0.23,1800,0.7742332101825484,7.055390131827182e-05,0.960415219907408,0.7500000000004098,1.3927777777777777,0.7263348704600822,0.8894167622475028
0.05,0.24,1800,0.7732865640540052,7.68782083328687e-05,0.9590941297743054,0.7500000000000367,1.4316666666666666,0.7192835679092682,0.9302596236664809
0.05,0.25,1800,0.7697298689359954,8.685164570220541e-05,0.9578017758969909,0.7500000000000021,1.4783333333333333,0.7125534869795832,0.9702726071885446
0.05,0.26,1800,0.7697325604686752,0.00010860379209877476,0.9564159432870374,0.7500000000001007,1.53,0.7061142003760057,1.0095894573848763
0.05,0.27,1800,0.7682030581464568,0.0001019245580488725,0.9550177873883934,0.7500000000000261,1.5827777777777778,0.699980295112993,1.04790806925992
0.05,0.28,1800,0.7648218869196238,0.00013486357303416367,0.9537371884300594,0.7500000000001367,1.635,0.6941912430708371,1.0850642318598027
0.05,0.29,1800,0.7676802790753131,0.00012027640983105501,0.9523877598999674,0.7500000000000308,1.7072222222222222,0.6885473094433227,1.1215089060713965
0.05,0.3,1800,0.7689035468828569,0.00013589827731904082,0.9511665194072418,0.7500000000001027,1.7716666666666667,0.683237706444598,1.1574370807707417
0.05,0.31,1800,0.7680093830922149,0.000129403734577192,0.9497248134713958,0.7500000000000407,1.8311111111111111,0.6781542738394829,1.1920978500773283
0.05,0.32,1800,0.7682687716529699,0.00019222262330886706,0.9485973203951718,0.750000000000106,1.8811111111111112,0.6732302550951985,1.2263329836135233
0.05,0.33,1800,0.7698772434529172,0.00012349611489821522,0.9476618200231477,0.7500000000000301,1.9316666666666666,0.6686097752779389,1.2592183956901204
0.05,0.34,1800,0.7793671071537259,0.000134341478442803,0.9462059113033233,0.7500000000000381,1.9844444444444445,0.6640798280888848,1.2920313734264786
0.05,0.35,1800,0.7815294557211658,0.00014581251389590933,0.9452149109209654,0.7500000000000261,2.022222222222222,0.6598639447812016,1.3232232454276953
