beta,radius,sample_row_count,ref_count,dataset_count,claim,acceptance
0.05,1.45,1800,1800,60,pass,pass
0.05,1.46,1800,1800,60,pass,pass
0.05,1.47,1800,1800,60,pass,pass
0.05,1.48,1800,1800,60,pass,pass
0.05,1.49,1800,1800,60,pass,pass
0.05,1.5,1800,1800,60,pass,pass
0.05,1.51,1800,1800,60,pass,pass
0.05,1.52,1800,1800,60,pass,pass
0.05,1.53,1800,1800,60,pass,pass
0.05,1.54,1800,1800,60,pass,pass
0.05,1.55,1800,1800,60,pass,pass
0.05,1.56,1800,1800,60,pass,pass
0.05,1.57,1800,1800,60,pass,pass
0.05,1.58,1800,1800,60,pass,pass
0.05,1.59,1800,1800,60,pass,pass
0.05,1.6,1800,1800,60,pass,pass
0.05,1.61,1800,1800,60,pass,pass
0.05,1.62,1800,1800,60,pass,pass
0.05,1.63,1800,1800,60,pass,pass
0.05,1.64,1800,1800,60,pass,pass
0.05,1.65,1800,1800,60,pass,pass
0.05,1.66,1800,1800,60,pass,pass
0.05,1.67,1800,1800,60,pass,pass
0.05,1.68,1800,1800,60,pass,pass
0.05,1.69,1800,1800,60,pass,pass
0.05,1.7,1800,1800,60,pass,pass
0.05,1.71,1800,1800,60,pass,pass
0.05,1.72,1800,1800,60,pass,pass
0.05,1.73,1800,1800,60,pass,pass
0.05,1.74,1800,1800,60,pass,pass
0.05,1.75,1800,1800,60,pass,pass
0.05,1.76,1800,1800,60,pass,pass
0.05,1.77,1800,1800,60,pass,pass
0.05,1.78,1800,1800,60,pass,pass
0.05,1.79,1800,1800,60,pass,pass
0.05,1.8,1800,1800,60,pass,pass
0.05,1.81,1800,1800,60,pass,pass
0.05,1.82,1800,1800,60,pass,pass
0.05,1.83,1800,1800,60,pass,pass
0.05,1.84,1800,1800,60,pass,pass
0.05,1.85,1800,1800,60,pass,pass
0.05,1.86,1800,1800,60,pass,pass
0.05,1.87,1800,1800,60,pass,pass
0.05,1.88,1800,1800,60,pass,pass
0.05,1.89,1800,1800,60,pass,pass
0.05,1.9,1800,1800,60,pass,pass
0.05,1.91,1800,1800,60,pass,pass
0.05,1.92,1800,1800,60,pass,pass
0.05,1.93,1800,1800,60,pass,pass
0.05,1.94,1800,1800,60,pass,pass
0.05,1.95,1800,1800,60,pass,pass
0.05,1.96,1800,1800,60,pass,pass
0.05,1.97,1800,1800,60,pass,pass
0.05,1.98,1800,1800,60,pass,pass
0.05,1.99,1800,1800,60,pass,pass
0.05,2.0,1800,1800,60,pass,pass
0.05,2.01,1800,1800,60,pass,pass
0.05,2.02,1800,1800,60,pass,pass
0.05,2.03,1800,1800,60,pass,pass
0.05,2.04,1800,1800,60,pass,pass
0.05,2.05,1800,1800,60,pass,pass
0.05,2.06,1800,1800,60,pass,pass
0.05,2.07,1800,1800,60,pass,pass
0.05,2.08,1800,1800,60,pass,pass
0.05,2.09,1800,1800,60,pass,pass
0.05,2.1,1800,1800,60,pass,pass
0.05,2.11,1800,1800,60,pass,pass
0.05,2.12,1800,1800,60,pass,pass
0.05,2.13,1800,1800,60,pass,pass
0.05,2.14,1800,1800,60,pass,pass
0.05,2.15,1800,1800,60,pass,pass
0.05,2.16,1800,1800,60,pass,pass
0.05,2.17,1800,1800,60,pass,pass
0.05,2.18,1800,1800,60,pass,pass
0.05,2.19,1800,1800,60,pass,pass
0.05,2.2,1800,1800,60,pass,pass
0.05,2.21,1800,1800,60,pass,pass
0.05,2.22,1800,1800,60,pass,pass
0.05,2.23,1800,1800,60,pass,pass
0.05,2.24,1800,1800,60,pass,pass
0.05,2.25,1800,1800,60,pass,pass
0.05,2.26,1800,1800,60,pass,pass
0.05,2.27,1800,1800,60,pass,pass
0.05,2.28,1800,1800,60,pass,pass
0.05,2.29,1800,1800,60,pass,pass
0.05,2.3,1800,1800,60,pass,pass
0.05,2.31,1800,1800,60,pass,pass
0.05,2.32,1800,1800,60,pass,pass
0.05,2.33,1800,1800,60,pass,pass
0.05,2.34,1800,1800,60,pass,pass
0.05,2.35,1800,1800,60,pass,pass
0.05,2.36,1800,1800,60,pass,pass
0.05,2.37,1800,1800,60,pass,pass
0.05,2.38,1800,1800,60,pass,pass
0.05,2.39,1800,1800,60,pass,pass
0.05,2.4,1800,1800,60,pass,pass
0.05,2.41,1800,1800,60,pass,pass
0.05,2.42,1800,1800,60,pass,pass
0.05,2.43,1800,1800,60,pass,pass
0.05,2.44,1800,1800,60,pass,pass
0.05,2.45,1800,1800,60,pass,pass
0.05,2.46,1800,1800,60,pass,pass
0.05,2.47,1800,1800,60,pass,pass
0.05,2.48,1800,1800,60,pass,pass
0.05,2.49,1800,1800,60,pass,pass
0.05,2.5,1800,1800,60,pass,pass
0.07,0.01,1800,1800,60,pass,pass
0.07,0.02,1800,1800,60,pass,pass
0.07,0.03,1800,1800,60,pass,pass
0.07,0.04,1800,1800,60,pass,pass
0.07,0.05,1800,1800,60,pass,pass
0.07,0.06,1800,1800,60,pass,pass
0.07,0.07,1800,1800,60,pass,pass
0.07,0.08,1800,1800,60,pass,pass
0.07,0.09,1800,1800,60,pass,pass
0.07,0.1,1800,1800,60,pass,pass
0.07,0.11,1800,1800,60,pass,pass
0.07,0.12,1800,1800,60,pass,pass
0.07,0.13,1800,1800,60,pass,pass
0.07,0.14,1800,1800,60,pass,pass
0.07,0.15,1800,1800,60,pass,pass
0.07,0.16,1800,1800,60,pass,pass
0.07,0.17,1800,1800,60,pass,pass
0.07,0.18,1800,1800,60,pass,pass
0.07,0.19,1800,1800,60,pass,pass
0.07,0.2,1800,1800,60,pass,pass
0.07,0.21,1800,1800,60,pass,pass
0.07,0.22,1800,1800,60,pass,pass
0.07,0.23,1800,1800,60,pass,pass
0.07,0.24,1800,1800,60,pass,pass
0.07,0.25,1800,1800,60,pass,pass
0.07,0.26,1800,1800,60,pass,pass
0.07,0.27,1800,1800,60,pass,pass
0.07,0.28,1800,1800,60,pass,pass
0.07,0.29,1800,1800,60,pass,pass
0.07,0.3,1800,1800,60,pass,pass
0.07,0.31,1800,1800,60,pass,pass
0.07,0.32,1800,1800,60,pass,pass
0.07,0.33,1800,1800,60,pass,pass
0.07,0.34,1800,1800,60,pass,pass
0.07,0.35,1800,1800,60,pass,pass
0.07,0.36,1800,1800,60,pass,pass
0.07,0.37,1800,1800,60,pass,pass
0.07,0.38,1800,1800,60,pass,pass
0.07,0.39,1800,1800,60,pass,pass
0.07,0.4,1800,1800,60,pass,pass
0.07,0.41,1800,1800,60,pass,pass
0.07,0.42,1800,1800,60,pass,pass
0.07,0.43,1800,1800,60,pass,pass
0.07,0.44,1800,1800,60,pass,pass
0.07,0.45,1800,1800,60,pass,pass
0.07,0.46,1800,1800,60,pass,pass
0.07,0.47,1800,1800,60,pass,pass
0.07,0.48,1800,1800,60,pass,pass
0.07,0.49,1800,1800,60,pass,pass
0.07,0.5,1800,1800,60,pass,pass
0.07,0.51,1800,1800,60,pass,pass
0.07,0.52,1800,1800,60,pass,pass
0.07,0.53,1800,1800,60,pass,pass
0.07,0.54,1800,1800,60,pass,pass
0.07,0.55,1800,1800,60,pass,pass
0.07,0.56,1800,1800,60,pass,pass
0.07,0.57,1800,1800,60,pass,pass
0.07,0.58,1800,1800,60,pass,pass
0.07,0.59,1800,1800,60,pass,pass
0.07,0.6,1800,1800,60,pass,pass
0.07,0.61,1800,1800,60,pass,pass
0.07,0.62,1800,1800,60,pass,pass
0.07,0.63,1800,1800,60,pass,pass
0.07,0.64,1800,1800,60,pass,pass
0.07,0.65,1800,1800,60,pass,pass
0.07,0.66,1800,1800,60,pass,pass
0.07,0.67,1800,1800,60,pass,pass
0.07,0.68,1800,1800,60,pass,pass
0.07,0.69,1800,1800,60,pass,pass
0.07,0.7,1800,1800,60,pass,pass
0.07,0.71,1800,1800,60,pass,pass
0.07,0.72,1800,1800,60,pass,pass
0.07,0.73,1800,1800,60,pass,pass
0.07,0.74,1800,1800,60,pass,pass
0.07,0.75,1800,1800,60,pass,pass
0.07,0.76,1800,1800,60,pass,pass
0.07,0.77,1800,1800,60,pass,pass
0.07,0.78,1800,1800,60,pass,pass
0.07,0.79,1800,1800,60,pass,pass
0.07,0.8,1800,1800,60,pass,pass
0.07,0.81,1800,1800,60,pass,pass
0.07,0.82,1800,1800,60,pass,pass
0.07,0.83,1800,1800,60,pass,pass
0.07,0.84,1800,1800,60,pass,pass
0.07,0.85,1800,1800,60,pass,pass
0.07,0.86,1800,1800,60,pass,pass
0.07,0.87,1800,1800,60,pass,pass
0.07,0.88,1800,1800,60,pass,pass
0.07,0.89,1800,1800,60,pass,pass
0.07,0.9,1800,1800,60,pass,pass
0.07,0.91,1800,1800,60,pass,pass
0.07,0.92,1800,1800,60,pass,pass
0.07,0.93,1800,1800,60,pass,pass
0.07,0.94,1800,1800,60,pass,pass
0.07,0.95,1800,1800,60,pass,pass
0.07,0.96,1800,1800,60,pass,pass
0.07,0.97,1800,1800,60,pass,pass
0.07,0.98,1800,1800,60,pass,pass
0.07,0.99,1800,1800,60,pass,pass
