dataset_id,split_id,rule,ref_id,theta_path,dataset_path,attempt_seed,optimizer_chain,P,train_error,test_error,CE_mean_train,CE_sum_train,CE_mean_test,theta_norm,min_margin,q05_margin,median_margin,mean_margin,extra_reference_search
3,0,random_label,1010,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/extra_reference_pool/04_extra_reference_search/selected_reference_pool/split_000/random_label/ref_1010/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/random_label/dataset.npz,2703610,adam,2461,0.0,0.52294921875,0.0152269986483635,7.796223307962151,3.485138338548084,15.135976631238146,0.177034876236682,2.479527205412315,8.206781132963801,8.57905589927751,True
3,0,random_label,1011,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/extra_reference_pool/04_extra_reference_search/selected_reference_pool/split_000/random_label/ref_1011/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/random_label/dataset.npz,2703611,adam,2461,0.0,0.52294921875,0.0024602013596339,1.2596230961325952,3.747229162921447,19.01931956065722,2.2348227280117614,4.583009112392917,8.767792396432533,9.294933902140048,True
3,0,random_label,1012,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/extra_reference_pool/04_extra_reference_search/selected_reference_pool/split_000/random_label/ref_1012/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/random_label/dataset.npz,2703612,adam,2461,0.0,0.52197265625,0.0025979531199378,1.3301519974081677,3.933142258083192,18.02157353570923,1.4948212471225804,4.71942388017469,8.91093543893132,9.512220885914564,True
3,0,random_label,1013,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/extra_reference_pool/04_extra_reference_search/selected_reference_pool/split_000/random_label/ref_1013/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/random_label/dataset.npz,2703613,adam,2461,0.0,0.5078125,0.0120730175721582,6.181384996945048,3.1559624968962185,17.447343392187037,0.4706947893862439,3.25892255050025,7.24619239254538,7.769853203702523,True
3,0,random_label,1014,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/extra_reference_pool/04_extra_reference_search/selected_reference_pool/split_000/random_label/ref_1014/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/random_label/dataset.npz,2703614,adam,2461,0.0,0.51904296875,0.0039174404220542,2.005729496091764,3.2824809590445527,20.27191684576655,1.2874145670401558,4.13328842434748,7.649600925625888,8.40827537363338,True
3,0,random_label,1015,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/extra_reference_pool/04_extra_reference_search/selected_reference_pool/split_000/random_label/ref_1015/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/random_label/dataset.npz,2703615,adam,2461,0.0,0.5185546875,0.0024157771107813,1.2368778807200382,4.125046796800533,17.983601499339606,2.481079997913497,4.30246124628364,9.709437610834527,10.038490348307295,True
3,0,random_label,1016,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/extra_reference_pool/04_extra_reference_search/selected_reference_pool/split_000/random_label/ref_1016/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/random_label/dataset.npz,2703616,adam,2461,0.0,0.515625,0.0031658509798113,1.6209157016634044,4.053281002396146,17.218767916989663,2.096541358955762,4.351871334237444,9.176336335239624,9.630109252754298,True
3,0,random_label,1017,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/extra_reference_pool/04_extra_reference_search/selected_reference_pool/split_000/random_label/ref_1017/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/random_label/dataset.npz,2703617,adam,2461,0.0,0.51708984375,0.0038161188126134,1.953852832058112,3.53309633796224,17.51106076523598,1.5689566088164462,4.340644486118372,8.183814715609298,8.877218274505594,True
3,0,random_label,1018,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/extra_reference_pool/04_extra_reference_search/selected_reference_pool/split_000/random_label/ref_1018/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/random_label/dataset.npz,2703618,adam,2461,0.0,0.5166015625,0.0055750443109827,2.8544226872231864,3.3736433349674257,19.155861812157934,0.7899404034305522,3.93099949034843,7.750869108778096,8.152068265204552,True
3,0,random_label,1019,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/extra_reference_pool/04_extra_reference_search/selected_reference_pool/split_000/random_label/ref_1019/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/random_label/dataset.npz,2703619,adam,2461,0.0,0.51123046875,0.0046992017525282,2.405991297294475,2.867866410855812,19.459345209529545,1.1804716822335408,4.026634844043139,7.356227355745386,7.880534850388246,True
