run,rule,radius,target_ref_count,observed_ref_count,n_samples_min,n_samples_max,sampling_complete,diagnostic_phi_available,strict_claim_qc_pass,claim_status_updated,strict_claim_fail_reason,unit_strict_qc_pass_count,unit_split_fail_count,unit_split_fail_fraction,refs_remaining_if_drop_split_fail,split_fail_ref_ids,max_split_logZ_per_P_diff,split_logZ_per_P_diff_q99,split_logZ_per_P_diff_q95,split_logZ_per_P_diff_q90,split_logZ_per_P_diff_median,q05_ess_fraction,finite_unit_fraction,bootstrap_sd_delta_phi_energy,delta_phi_energy,delta_phi_full,phi_energy_raw
90ref,low_tv_spectral_teacher,0.1,90,90,1024,1024,True,True,True,strict_claim_pass,pass,90,0,0.0,90,,0.0007352573050399,0.000723656284675965,0.00048706662114569486,0.0003820472620469804,0.00010822651022610001,0.5614371830510592,1.0,0.0,0.0,0.0,-0.0055673374756276
90ref,low_tv_spectral_teacher,0.2,90,90,1024,1024,True,True,True,strict_claim_pass,pass,90,0,0.0,90,,0.0034970775234835,0.003226331842702599,0.00213425923926647,0.00181400063105566,0.0006638641450988499,0.597389421321295,1.0,0.0001610664721428,-0.0119590418337459,0.6809064860725789,-0.0175263793093736
90ref,low_tv_spectral_teacher,0.3,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,87,3,0.03333333333333333,87,"032,057,1028",0.0055858294224825,0.004666208569203103,0.0034912977928745446,0.003065139163865192,0.0013423186593502,0.6175493791333865,1.0,0.0002299867748115,-0.0244288017210633,1.0737370780528293,-0.0299961391966909
90ref,low_tv_spectral_teacher,0.4,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,76,14,0.15555555555555556,76,"003,007,012,020,021,033,034,050,056,059,1002,1018,1020,1028",0.0075846797258898,0.006465131925090219,0.005449523953879409,0.0041290258514776225,0.001532956597231,0.6009423911934434,1.0,0.0002294049226464,-0.0346399622098778,1.3510910936027718,-0.0402072996855055
90ref,low_tv_spectral_teacher,0.5,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,76,14,0.15555555555555556,76,"005,013,023,024,044,052,1003,1006,1009,1014,1015,1020,1022,1029",0.0074145415254429,0.006606473547983847,0.005093525453749544,0.004403926665809551,0.0020166924867438003,0.5803639786185166,1.0,0.0002287766171476,-0.0431923190536513,1.565591616171008,-0.0487596565292789
90ref,low_tv_spectral_teacher,0.6,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,68,22,0.24444444444444444,68,"004,005,014,032,033,034,035,038,043,045,047,052,054,059,1002,1005,1011,1012,1013,1018,1025,1028",0.0107275537522139,0.009741552281418256,0.006924609142889015,0.006069428440029182,0.00262398331719015,0.6362989891437807,1.0,0.0002728367744642,-0.0500095636334637,1.7410218440467538,-0.0555769011090913
90ref,low_tv_spectral_teacher,0.7,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,51,39,0.43333333333333335,51,"002,004,007,008,010,011,012,014,022,025,026,030,034,035,036,037,038,040,041,042,043,044,045,047,052,054,055,059,1001,1002,1003,1006,1011,1020,1021,1022,1024,1025,1029",0.0104494280103434,0.010251685135869815,0.008557948483315378,0.007412702543790332,0.00302768929973345,0.5936048123540004,1.0,0.0003226082619067,-0.0555273016743533,1.889592148417508,-0.061094639149981
90ref,low_tv_spectral_teacher,0.8,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,54,36,0.4,54,"014,017,018,020,021,030,031,032,034,035,036,037,038,039,042,043,045,046,048,049,050,054,055,056,057,1000,1001,1008,1009,1011,1015,1019,1021,1024,1027,1029",0.0127968491251121,0.01162815843203134,0.00739469838697617,0.00693341397709958,0.0031139765706844997,0.607302997188174,1.0,0.0003220461753601,-0.0620719599368402,2.0165246237821344,-0.0676392974124679
90ref,low_tv_spectral_teacher,0.9,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,49,41,0.45555555555555555,49,"000,002,005,007,008,010,011,012,014,016,021,026,028,034,036,038,039,044,045,046,050,051,052,053,1000,1001,1005,1006,1007,1008,1010,1012,1015,1019,1020,1021,1022,1023,1025,1026,1029",0.0119235285312675,0.011466083635494256,0.009752256807962798,0.0080633283315317,0.00381402017431045,0.6131970628381616,1.0,0.0003803814140263,-0.0665596589291438,2.1297721006186414,-0.0721269964047715
90ref,low_tv_spectral_teacher,1.0,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,58,32,0.35555555555555557,58,"000,003,005,009,011,013,018,021,023,026,029,030,033,035,038,039,040,041,042,045,052,053,054,055,056,058,1007,1010,1024,1025,1027,1028",0.010983757661275,0.01089752577947096,0.008567629235328987,0.007510380826434162,0.0028611837765924,0.5818770740945692,1.0,0.0003812444467973,-0.0718164780572167,2.229832985073768,-0.0773838155328443
90ref,low_tv_spectral_teacher,1.1,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,60,30,0.3333333333333333,60,"002,003,004,006,007,010,013,015,018,019,021,031,033,038,039,044,048,049,053,054,1000,1009,1010,1013,1017,1019,1023,1025,1026,1029",0.0141477459802993,0.012442745871257613,0.010707646095993829,0.007911685597343876,0.0032163340263077498,0.6231499785602528,1.0,0.0003839169691643,-0.0764362505298362,2.3204846641731267,-0.0820035880054638
90ref,low_tv_spectral_teacher,1.2,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,46,44,0.4888888888888889,46,"000,001,004,005,007,008,014,015,016,019,021,024,025,026,027,028,029,032,034,035,037,040,043,045,046,048,053,056,057,058,059,1000,1003,1004,1006,1008,1010,1012,1014,1017,1021,1025,1027,1029",0.0149020305927115,0.013861714898637493,0.01160160712052257,0.010400117235650472,0.0039059677926747997,0.6024897644354665,1.0,0.000389734649573,-0.0801517828672486,2.403745152719294,-0.0857191203428762
90ref,low_tv_spectral_teacher,1.3,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,45,45,0.5,45,"000,001,004,006,007,008,011,012,013,014,017,018,020,021,022,024,025,029,030,031,034,041,042,044,045,046,047,048,049,050,052,054,055,1006,1007,1008,1009,1015,1016,1017,1019,1020,1023,1027,1028",0.01326720815902,0.01131604006625113,0.010186259053804105,0.00913988804612666,0.00408019338875715,0.6007653836130488,1.0,0.0003732761136936,-0.0841509278557122,2.4797561909396477,-0.0897182653313399
90ref,low_tv_spectral_teacher,1.4,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,41,49,0.5444444444444444,41,"000,003,006,007,009,010,011,013,015,016,017,018,019,020,021,023,027,028,029,030,033,034,036,040,042,043,047,051,052,056,058,1000,1005,1007,1008,1009,1011,1013,1014,1016,1017,1018,1021,1023,1024,1025,1027,1028,1029",0.0148918978834827,0.013580612216971462,0.011592166507613513,0.009438997815725537,0.0046838570106409495,0.6086073858541032,1.0,0.0004548172973453,-0.0877602833367074,2.5502246946614786,-0.0933276208123351
90ref,low_tv_spectral_teacher,1.5,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,45,45,0.5,45,"003,005,007,013,017,022,024,025,027,029,031,032,033,037,038,039,040,042,043,044,045,046,048,049,052,055,056,059,1000,1001,1006,1007,1008,1009,1010,1011,1012,1013,1014,1015,1018,1020,1023,1025,1029",0.0172519904203087,0.016563138923883565,0.013402169843280286,0.011726055455678631,0.00401315794840625,0.6235603572097953,1.0,0.0005140759212206,-0.0909954951919868,2.615954319806565,-0.0965628326676144
90ref,low_tv_spectral_teacher,1.6,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,40,50,0.5555555555555556,40,"000,001,002,004,005,007,011,014,015,016,017,022,023,024,026,031,033,034,035,036,038,040,043,044,045,046,049,050,052,053,054,055,056,057,1000,1001,1002,1003,1005,1008,1009,1010,1011,1013,1014,1020,1023,1024,1025,1026",0.0169218261759974,0.015818402016375466,0.013895865125280207,0.011015146988637635,0.004404449887876799,0.6087010748844229,1.0,0.0004898273897533,-0.0938012362205192,2.67766087540478,-0.0993685736961469
90ref,low_tv_spectral_teacher,1.7,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,35,55,0.6111111111111112,35,"000,002,003,007,008,009,011,012,013,016,017,018,021,023,024,025,026,028,031,033,036,038,039,040,041,042,043,045,046,047,048,052,053,055,057,058,1000,1001,1002,1005,1007,1008,1009,1010,1013,1014,1016,1017,1018,1019,1022,1024,1026,1027,1028",0.0162303562476571,0.01605924666403683,0.01443149226929563,0.013041094508061991,0.0064129171851293,0.5895387843660382,1.0,0.0004727289482067,-0.0964891900261621,2.735572909274241,-0.1020565275017897
90ref,low_tv_spectral_teacher,1.8,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,34,56,0.6222222222222222,34,"001,003,007,008,011,012,013,014,015,017,019,020,023,024,025,026,027,031,032,034,035,036,037,038,041,043,045,046,047,048,049,050,051,052,053,057,058,1000,1001,1003,1004,1005,1007,1008,1009,1010,1016,1017,1018,1019,1021,1022,1023,1025,1027,1028",0.0198682473890811,0.019434550296059724,0.016411917612619255,0.013089585862903041,0.00563370134525755,0.578230739123854,1.0,0.0005498373843734,-0.0995641438746777,2.789633143579432,-0.1051314813503054
90ref,low_tv_spectral_teacher,1.9,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,33,57,0.6333333333333333,33,"000,002,005,006,010,014,015,016,017,018,020,023,025,026,027,028,030,031,032,033,035,036,038,039,040,043,044,045,046,047,048,051,053,055,057,058,059,1000,1002,1003,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1016,1021,1022,1024,1025,1027,1029",0.0207193767938151,0.02037226389691312,0.017791790986527927,0.015668367300948245,0.0065274631005719005,0.6441157760513065,1.0,0.0005699057219604,-0.1011230991460375,2.842119439963854,-0.1066904366216651
90ref,low_tv_spectral_teacher,2.0,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,37,53,0.5888888888888889,37,"000,002,005,006,010,011,013,015,018,019,020,021,024,025,026,027,028,029,030,031,032,036,037,038,039,041,042,049,051,056,057,058,1000,1001,1003,1004,1005,1006,1008,1010,1011,1012,1013,1014,1015,1016,1018,1020,1022,1023,1024,1026,1028",0.0182238234688343,0.016760434102900283,0.015332026556189694,0.013046993854799231,0.0057235764377658,0.5922776205671625,1.0,0.0005326105783936,-0.1041226393812189,2.8903923516560903,-0.1096899768568465
90ref,low_tv_spectral_teacher,2.1,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,33,57,0.6333333333333333,33,"001,002,003,006,007,010,011,013,014,015,016,017,018,019,020,021,023,024,025,029,030,032,036,039,040,041,042,044,045,047,048,049,050,051,053,054,056,057,058,059,1000,1001,1005,1008,1009,1010,1011,1012,1013,1015,1019,1020,1023,1024,1026,1027,1028",0.0222480136802669,0.01833847852189565,0.01517185015218204,0.013265440543347882,0.00639016485609435,0.6262931202066532,1.0,0.0006312466003228,-0.1076098165277029,2.935675513338051,-0.1131771540033306
90ref,low_tv_spectral_teacher,2.2,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,31,59,0.6555555555555556,31,"000,001,002,003,004,005,007,008,009,010,011,013,016,017,018,019,020,021,022,026,027,028,029,030,031,034,036,038,039,041,044,045,047,048,049,050,051,052,053,054,059,1001,1002,1004,1007,1008,1010,1011,1012,1014,1016,1017,1019,1023,1024,1025,1027,1028,1029",0.0188823752735494,0.01733782908920461,0.0164872680320895,0.01467828251484002,0.00623281269567835,0.5993955316776863,1.0,0.0005960755210943,-0.1091306712836048,2.9806557713256834,-0.1146980087592324
90ref,low_tv_spectral_teacher,2.3,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,37,53,0.5888888888888889,37,"000,003,004,007,008,009,010,011,014,016,017,019,020,021,023,024,025,026,028,029,030,031,033,034,036,037,038,039,040,043,045,047,049,050,053,054,056,057,1000,1001,1002,1004,1005,1006,1007,1009,1011,1012,1015,1016,1018,1019,1026",0.0305737310342763,0.01999705764857549,0.015929211464676483,0.013946435976008408,0.00513285387614495,0.597204497761333,1.0,0.0006012691556519,-0.1121699231113522,3.0220502195890577,-0.1177372605869798
90ref,low_tv_spectral_teacher,2.4,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,30,60,0.6666666666666666,30,"000,001,002,004,006,007,008,009,010,011,012,014,015,018,019,020,021,022,023,024,025,026,027,028,029,032,033,036,040,041,044,047,048,049,050,052,053,054,056,057,1000,1001,1002,1004,1005,1007,1009,1010,1011,1014,1016,1018,1019,1020,1021,1023,1024,1027,1028,1029",0.0211850071370767,0.020769747861710534,0.016528300990006572,0.014289637554269973,0.0060344149786557,0.5765312123203138,1.0,0.0006272985046656,-0.1138175353274673,3.0629449281653995,-0.1193848728030949
90ref,low_tv_spectral_teacher,2.5,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,28,62,0.6888888888888889,28,"000,001,003,004,005,006,007,009,010,011,012,014,015,016,018,019,020,021,024,025,027,028,029,034,035,036,037,039,043,044,045,046,048,050,051,052,054,055,057,059,1000,1001,1002,1005,1006,1007,1008,1009,1011,1012,1013,1015,1016,1017,1019,1020,1021,1022,1023,1024,1027,1028",0.0270017035833214,0.024395799263888303,0.020365199163722616,0.017243225210868112,0.00776331712441915,0.5789395402994638,1.0,0.0006068619361702,-0.1146818525127739,3.102886017936545,-0.1202491899884015
90ref,random_label,0.1,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,83,7,0.07777777777777778,83,"010,025,055,056,1008,1016,1023",0.0062017214033416,0.006168519257356438,0.004232922344914484,0.0035392748362057104,0.00141431386221785,0.5658880220262799,1.0,0.0,0.0,0.0,-0.026890111610131
90ref,random_label,0.2,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,41,49,0.5444444444444444,41,"000,002,003,004,005,006,010,011,013,015,016,017,018,019,020,026,027,028,033,036,037,039,040,042,043,049,050,051,052,053,054,059,1001,1005,1006,1007,1008,1012,1013,1014,1017,1018,1019,1021,1023,1025,1026,1028,1029",0.0185860374316348,0.01747423712804349,0.012429937052635388,0.009907307720336756,0.004335728082353749,0.5898029291233032,1.0,0.0008642487181498,-0.0667596711992722,0.6261058567070527,-0.0936497828094033
90ref,random_label,0.3,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,31,59,0.6555555555555556,31,"002,003,004,005,007,008,009,010,014,015,016,017,018,019,020,022,023,024,025,026,028,029,034,035,036,037,038,042,043,044,045,049,050,051,054,055,056,057,058,059,1000,1001,1003,1005,1007,1008,1009,1010,1014,1016,1017,1020,1021,1023,1024,1026,1027,1028,1029",0.0255170805388762,0.020118372828899268,0.015318728069659747,0.013981914579701011,0.00659689330771225,0.6350109524532991,1.0,0.0008515675311177,-0.116111647214161,0.9820542325597312,-0.1430017588242921
90ref,random_label,0.4,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,39,51,0.5666666666666667,39,"001,003,009,011,012,014,015,017,018,019,021,024,025,027,029,030,031,032,034,035,036,037,038,041,044,045,046,047,048,052,053,055,056,057,058,059,1002,1004,1005,1007,1008,1009,1011,1013,1017,1019,1021,1023,1025,1027,1029",0.0162531313958989,0.015183057541423111,0.013116279806856425,0.01045690242404386,0.0044760602574941,0.5842064850341973,1.0,0.0007623281958265,-0.1308678773845083,1.2548631784281414,-0.1577579889946394
90ref,random_label,0.5,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,45,45,0.5,45,"000,001,003,006,008,009,010,015,016,017,019,021,023,025,026,029,030,031,032,033,035,038,039,041,042,043,044,048,050,052,053,055,056,058,059,1003,1008,1012,1015,1016,1018,1023,1024,1025,1026",0.0221252736028337,0.018144578501063404,0.011272488038850337,0.010006473370324741,0.0041459812355285,0.6075464851317267,1.0,0.000680223733223,-0.1316637580543314,1.477120177170328,-0.1585538696644625
90ref,random_label,0.6,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,63,27,0.3,63,"005,010,013,015,023,028,030,035,036,037,041,042,043,044,048,050,056,057,058,1002,1003,1004,1011,1015,1017,1025,1028",0.0143066126913126,0.014225102672434384,0.00788715109691603,0.006575550949074005,0.00282471432256055,0.5960763689592605,1.0,0.0006468622662405,-0.1319063668892163,1.659125040791001,-0.1587964784993474
90ref,random_label,0.7,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,52,38,0.4222222222222222,52,"000,003,006,007,008,012,014,015,020,021,022,024,026,030,031,033,034,035,039,040,042,044,047,052,054,055,1002,1007,1009,1010,1011,1012,1018,1019,1021,1022,1026,1029",0.0119232321321927,0.010746752039633444,0.00806970243316703,0.006821524254478873,0.0030154949989067,0.6165674084160513,1.0,0.0006242687453722,-0.1323124603972822,1.812806989694579,-0.1592025720074132
90ref,random_label,0.8,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,64,26,0.28888888888888886,64,"001,003,005,009,012,018,021,022,026,028,029,031,037,038,043,052,057,1004,1005,1007,1009,1011,1024,1026,1028,1029",0.0093708847507763,0.008857344958148753,0.006654280487552244,0.0056632370431783305,0.0024670236870941,0.5721600074561721,1.0,0.0004554600088844,-0.1326193142895362,1.9459772694294384,-0.1595094258996673
90ref,random_label,0.9,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,67,23,0.25555555555555554,67,"008,010,013,014,016,025,027,030,035,036,037,038,039,041,047,1001,1003,1005,1010,1017,1019,1022,1029",0.0115702344510867,0.008763854472404405,0.007866387401891148,0.006242107933823732,0.0020303474547419,0.5938399527601979,1.0,0.000560996526532,-0.13313867472226,2.0631930848255253,-0.160028786332391
90ref,random_label,1.0,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,74,16,0.17777777777777778,74,"007,020,024,034,038,042,048,053,058,1002,1004,1005,1011,1019,1027,1029",0.0099170922645946,0.009633347099583592,0.00693728502228947,0.0058378435092261306,0.00184993304997485,0.6440293920362274,1.0,0.0004909589176742,-0.1338976922638327,2.167751770867152,-0.1607878038739638
90ref,random_label,1.1,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,70,20,0.2222222222222222,70,"001,006,008,011,014,016,019,027,028,029,045,046,1000,1002,1009,1013,1019,1027,1028,1029",0.0102077913857369,0.008124830846545193,0.005628246858675134,0.005305160738595721,0.0022730749880026,0.6043306031085287,1.0,0.0005227730820309,-0.1349998729344462,2.2619210417685167,-0.1618899845445773
90ref,random_label,1.2,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,68,22,0.24444444444444444,68,"004,006,013,017,018,019,020,023,024,025,031,033,034,039,047,049,057,1001,1006,1012,1013,1027",0.0077533222367943,0.007667750943060512,0.006576192912696535,0.0061970089380113105,0.00238133883298375,0.5847452639876961,1.0,0.00043710455379,-0.1358158912770114,2.3480810443095312,-0.1627060028871425
90ref,random_label,1.3,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,64,26,0.28888888888888886,64,"003,006,009,010,012,013,018,019,027,030,031,032,033,035,038,044,052,053,058,059,1011,1012,1013,1019,1025,1028",0.0078739271355048,0.007161031282127079,0.006656479389716045,0.006344294899297381,0.00260624265951675,0.5863431275505703,1.0,0.0004658006019633,-0.1368838980971828,2.4270232206981768,-0.1637740097073139
90ref,random_label,1.4,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,72,18,0.2,72,"000,007,017,026,028,030,034,044,045,049,051,057,059,1000,1004,1007,1014,1018",0.0095324543053425,0.007201630822663558,0.0058718158513632645,0.004995954833709661,0.0022038248727304,0.6221699032617717,1.0,0.0005103707857058,-0.1380996399525435,2.4998853380456425,-0.1649897515626746
90ref,random_label,1.5,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,69,21,0.23333333333333334,69,"004,011,016,022,027,030,035,039,040,041,051,053,055,056,058,059,1007,1014,1016,1021,1027",0.0076634365062563,0.0075577881682296075,0.005812114278002829,0.004781272904354961,0.0021515261471105,0.6078057102209959,1.0,0.0005585400239616,-0.1395106050072131,2.567439209991339,-0.1664007166173442
90ref,random_label,1.6,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,63,27,0.3,63,"004,007,012,014,017,026,029,039,040,043,045,047,048,049,050,051,055,057,058,1002,1006,1011,1012,1013,1018,1022,1028",0.0097584762753393,0.009407408008978314,0.007537701668873625,0.0066467424947951525,0.00257971951724995,0.5903753895010985,1.0,0.000460732881921,-0.1399941227404697,2.6314679888848294,-0.1668842343506008
90ref,random_label,1.7,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,67,23,0.25555555555555554,67,"001,006,016,017,020,022,024,025,027,028,040,045,048,050,051,052,058,1005,1008,1009,1012,1017,1024",0.010884755173527,0.010331505133696694,0.007231998324576024,0.0060721368913796234,0.0026458009387478,0.6221070900160782,1.0,0.0004969843940674,-0.1414759498011071,2.690586149499296,-0.1683660614112381
90ref,random_label,1.8,90,90,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,58,32,0.35555555555555557,58,"000,009,014,015,017,020,028,030,033,035,039,046,050,054,058,059,1000,1001,1002,1004,1006,1009,1010,1011,1013,1015,1018,1019,1022,1023,1027,1029",0.0099242824780294,0.008430282648741952,0.007730261585585974,0.006633565585031411,0.0021890111763705,0.5659088475797324,1.0,0.0004334056423393,-0.1426463353979007,2.746550952056209,-0.1695364470080318
