rule,radius,qc_diagnostic_pass,fail_reason,observed_ref_count,target_ref_count,unit_split_fail_count,unit_ess_fail_count,unit_finite_fail_count,max_split_logZ_per_P_diff,q05_ess_fraction,bootstrap_sd_delta_phi_energy,finite_unit_fraction
random_label,1.3,False,max_split_logZ_per_P_diff,90,90,26,0,0,0.0078739271355048,0.5863431275505703,0.0004658006019633,1.0
random_label,1.4,False,max_split_logZ_per_P_diff,90,90,18,0,0,0.0095324543053425,0.6221699032617717,0.0005103707857058,1.0
random_label,1.5,False,max_split_logZ_per_P_diff,90,90,21,0,0,0.0076634365062563,0.6078057102209959,0.0005585400239616,1.0
random_label,1.6,False,max_split_logZ_per_P_diff,90,90,27,0,0,0.0097584762753393,0.5903753895010985,0.000460732881921,1.0
random_label,1.7,False,max_split_logZ_per_P_diff,90,90,23,0,0,0.010884755173527,0.6221070900160782,0.0004969843940674,1.0
random_label,1.8,False,max_split_logZ_per_P_diff,90,90,32,0,0,0.0099242824780294,0.5659088475797324,0.0004334056423393,1.0
random_label,1.9,False,max_split_logZ_per_P_diff,90,90,27,0,0,0.0116150408115564,0.6136374602916264,0.0005160582488851,1.0
random_label,2.0,False,max_split_logZ_per_P_diff,90,90,28,0,0,0.0127914655296203,0.6125304926669815,0.0004985073294313,1.0
random_label,2.1,False,max_split_logZ_per_P_diff,90,90,26,0,0,0.0092309369683157,0.6182686973069926,0.0004694163949454,1.0
random_label,2.2,False,max_split_logZ_per_P_diff,90,90,37,0,0,0.0128817883360403,0.6049013014728563,0.0005066541839095,1.0
random_label,2.3,False,max_split_logZ_per_P_diff,90,90,29,0,0,0.0158658733826289,0.606462563156948,0.0005031435288361,1.0
random_label,2.4,False,max_split_logZ_per_P_diff,90,90,28,0,0,0.0110614911076394,0.62468159458602,0.0004690264944823,1.0
random_label,2.5,False,max_split_logZ_per_P_diff,90,90,34,0,0,0.0146393586246915,0.6151713877172065,0.0005772501518359,1.0
real_even_odd,0.1,True,pass,90,90,0,0,0,0.0005593509292632,0.5537029673683289,0.0,1.0
real_even_odd,0.2,True,pass,90,90,0,0,0,0.0029020670527526,0.6083203560002075,0.000128755894768,1.0
real_even_odd,0.3,False,max_split_logZ_per_P_diff,90,90,3,0,0,0.0048569688461121,0.5934412887790839,0.0002227301150664,1.0
real_even_odd,0.4,False,max_split_logZ_per_P_diff,90,90,8,0,0,0.007514216905582,0.6168687706076902,0.0002553860600037,1.0
real_even_odd,0.5,False,max_split_logZ_per_P_diff,90,90,14,0,0,0.0082152463855986,0.6541949837422892,0.0002558985855842,1.0
real_even_odd,0.6,False,max_split_logZ_per_P_diff,90,90,25,0,0,0.0084572149931649,0.6419303351930694,0.0002453018603241,1.0
real_even_odd,0.7,False,max_split_logZ_per_P_diff,90,90,26,0,0,0.0113301483243537,0.5978864705945582,0.0002618285149727,1.0
real_even_odd,0.8,False,max_split_logZ_per_P_diff,90,90,29,0,0,0.0107996520362249,0.6095508758860669,0.0002648567433738,1.0
real_even_odd,0.9,False,max_split_logZ_per_P_diff,90,90,40,0,0,0.0117258019384751,0.6143421951999722,0.0002913855867514,1.0
real_even_odd,1.0,False,max_split_logZ_per_P_diff,90,90,44,0,0,0.0145139559817157,0.6173813617909502,0.0003716678353953,1.0
real_even_odd,1.1,False,max_split_logZ_per_P_diff,90,90,50,0,0,0.0169773068021933,0.6171005678006555,0.0003495088233576,1.0
real_even_odd,1.2,False,max_split_logZ_per_P_diff,90,90,41,0,0,0.0176658099187147,0.5625468625014937,0.0003850883912315,1.0
real_even_odd,1.3,False,max_split_logZ_per_P_diff,90,90,51,0,0,0.0150622552343628,0.6170495913315857,0.000431554616809,1.0
real_even_odd,1.4,False,max_split_logZ_per_P_diff,90,90,56,0,0,0.0169871850070875,0.6200451988085103,0.000421470899852,1.0
real_even_odd,1.5,False,max_split_logZ_per_P_diff,90,90,54,0,0,0.0198262245287327,0.6265259548517419,0.0004739878924284,1.0
real_even_odd,1.6,False,max_split_logZ_per_P_diff,90,90,53,0,0,0.0207922688629857,0.608028667128647,0.0005362947787969,1.0
real_even_odd,1.7,False,max_split_logZ_per_P_diff,90,90,54,0,0,0.0160929152214713,0.6439348772601977,0.0004499470461361,1.0
real_even_odd,1.8,False,max_split_logZ_per_P_diff,90,90,58,0,0,0.0178472784087251,0.6302291832926412,0.0005075770498622,1.0
real_even_odd,1.9,False,max_split_logZ_per_P_diff,90,90,53,0,0,0.0226423765742035,0.6250277254916331,0.0005038084400764,1.0
real_even_odd,2.0,False,max_split_logZ_per_P_diff,90,90,57,0,0,0.0175668855535256,0.6044469405303673,0.0005027913950243,1.0
real_even_odd,2.1,False,max_split_logZ_per_P_diff,90,90,54,0,0,0.0196101268226472,0.5702139834642043,0.0004322084584307,1.0
real_even_odd,2.2,False,max_split_logZ_per_P_diff,90,90,59,0,0,0.0258374903350512,0.5951726128222216,0.0005760414459097,1.0
real_even_odd,2.3,False,max_split_logZ_per_P_diff,90,90,60,0,0,0.0197127321756953,0.5974202411155864,0.0005782185257605,1.0
real_even_odd,2.4,False,max_split_logZ_per_P_diff,90,90,61,0,0,0.0284981764654411,0.6185093576743812,0.0006140632620825,1.0
real_even_odd,2.5,False,max_split_logZ_per_P_diff,90,90,50,0,0,0.0236922523599258,0.6211270831719004,0.0005801834787226,1.0
teacher_nn,0.1,True,pass,90,90,0,0,0,0.0011458230026631,0.5806542668008167,0.0,1.0
teacher_nn,0.2,False,max_split_logZ_per_P_diff,90,90,3,0,0,0.0065622552850917,0.6212621030864401,0.0001687556652858,1.0
teacher_nn,0.3,False,max_split_logZ_per_P_diff,90,90,12,0,0,0.008127618888717,0.5941702599805011,0.0002171462601587,1.0
teacher_nn,0.4,False,max_split_logZ_per_P_diff,90,90,13,0,0,0.0070774237681738,0.6364243789860148,0.0002341641607438,1.0
teacher_nn,0.5,False,max_split_logZ_per_P_diff,90,90,29,0,0,0.0081144655875517,0.6047707590942036,0.0002993756547197,1.0
teacher_nn,0.6,False,max_split_logZ_per_P_diff,90,90,31,0,0,0.0145155091862482,0.6042703139928541,0.000354573236119,1.0
teacher_nn,0.7,False,max_split_logZ_per_P_diff,90,90,35,0,0,0.0124932557711168,0.611746215600678,0.0003926982005781,1.0
teacher_nn,0.8,False,max_split_logZ_per_P_diff,90,90,42,0,0,0.0176501507257054,0.6157307621313445,0.0003746457223106,1.0
teacher_nn,0.9,False,max_split_logZ_per_P_diff,90,90,52,0,0,0.0164477925538724,0.5970863666481083,0.0003413254469524,1.0
teacher_nn,1.0,False,max_split_logZ_per_P_diff,90,90,40,0,0,0.016154341358012,0.5853267950016423,0.000359725673393,1.0
teacher_nn,1.1,False,max_split_logZ_per_P_diff,90,90,45,0,0,0.0172632423838015,0.6323424890348972,0.0004335845871205,1.0
teacher_nn,1.2,False,max_split_logZ_per_P_diff,90,90,50,0,0,0.0140694689937236,0.5847412842825941,0.0003965212994321,1.0
teacher_nn,1.3,False,max_split_logZ_per_P_diff,90,90,44,0,0,0.0155646163337468,0.6360073293766574,0.000409988511917,1.0
teacher_nn,1.4,False,max_split_logZ_per_P_diff,90,90,44,0,0,0.0169028523207042,0.5937373488192939,0.00045170565474,1.0
