rule,radius,d0,phi_energy_raw,delta_phi_energy,delta_phi_full,n_units,target_ref_count_x,target_ref_count_y,observed_ref_count,finite_unit_fraction,q05_ess_fraction,max_split_logZ_per_P_diff,bootstrap_sd_delta_phi_energy,qc_diagnostic_pass,sampling_status,run
low_tv_spectral_teacher,0.1,0.1,-0.0058201145837458,0.0,0.0,60,60,60,60,1.0,0.5658651324024104,0.0007120936126367,0.0,True,complete,60ref
low_tv_spectral_teacher,0.2,0.1,-0.0178221474052038,-0.012002032821458,0.6808634950848668,60,60,60,60,1.0,0.6065836005850458,0.0031928688933926,0.0001818931767279,True,complete,60ref
low_tv_spectral_teacher,0.3,0.1,-0.0302797329800106,-0.0244596183962648,1.0737062613776276,60,60,60,60,1.0,0.6150045203739256,0.0045525475648652,0.0002699063175414,False,complete,60ref
low_tv_spectral_teacher,0.4,0.1,-0.0403542395546808,-0.034534124970935,1.3511969308417149,60,60,60,60,1.0,0.5561331894583706,0.0075846797258898,0.0002789841966053,False,complete,60ref
low_tv_spectral_teacher,0.5,0.1,-0.0488571332046657,-0.0430370186209198,1.5657469166037394,60,60,60,60,1.0,0.5924278372366415,0.0054773896954325,0.0002483057604302,False,complete,60ref
low_tv_spectral_teacher,0.6,0.1,-0.0556300017202027,-0.0498098871364569,1.7412215205437604,60,60,60,60,1.0,0.6142400374413932,0.0107275537522139,0.0003203531823674,False,complete,60ref
low_tv_spectral_teacher,0.7,0.1,-0.0611498031284812,-0.0553296885447353,1.889789761547126,60,60,60,60,1.0,0.590212578397493,0.0102272450053169,0.0003806894326905,False,complete,60ref
low_tv_spectral_teacher,0.8,0.1,-0.0675433044943374,-0.0617231899105915,2.016873393808383,60,60,60,60,1.0,0.6123949279390525,0.0127968491251121,0.0004125459806074,False,complete,60ref
low_tv_spectral_teacher,0.9,0.1,-0.0722201247378145,-0.0664000101540686,2.129931749393717,60,60,60,60,1.0,0.6358266695646088,0.0114095455023088,0.0004557750844553,False,complete,60ref
low_tv_spectral_teacher,1.0,0.1,-0.0771112732600766,-0.0712911586763308,2.2303583044546538,60,60,60,60,1.0,0.5798693385970914,0.010983757661275,0.0004281738062057,False,complete,60ref
low_tv_spectral_teacher,1.1,0.1,-0.0823437727569505,-0.0765236581732046,2.320397256529758,60,60,60,60,1.0,0.6057357266982467,0.010972259487095,0.0004630670642367,False,complete,60ref
low_tv_spectral_teacher,1.2,0.1,-0.0855442736275596,-0.0797241590438137,2.4041727765427288,60,60,60,60,1.0,0.5911159976912356,0.0149020305927115,0.0004854381331703,False,complete,60ref
low_tv_spectral_teacher,1.3,0.1,-0.0895337308785711,-0.0837136162948252,2.4801935025005344,60,60,60,60,1.0,0.5955726614368584,0.0107689917312503,0.0004766921792309,False,complete,60ref
low_tv_spectral_teacher,1.4,0.1,-0.0931958032819313,-0.0873756886981854,2.5506092893000005,60,60,60,60,1.0,0.6149924568076028,0.0134185432020094,0.0005300090033491,False,complete,60ref
low_tv_spectral_teacher,1.5,0.1,-0.0965254016179641,-0.0907052870342182,2.6162445279643336,60,60,60,60,1.0,0.6178518992942509,0.0172519904203087,0.000482381435863,False,complete,60ref
low_tv_spectral_teacher,1.6,0.1,-0.0992219178983794,-0.0934018033146336,2.6780603083106658,60,60,60,60,1.0,0.6083998680519603,0.0156820237494559,0.0007104115430012,False,complete,60ref
low_tv_spectral_teacher,1.7,0.1,-0.1028079597463127,-0.0969878451625668,2.735074254137836,60,60,60,60,1.0,0.6293526945886749,0.0160380982885332,0.0005016655563734,False,complete,60ref
low_tv_spectral_teacher,1.8,0.1,-0.104957459271082,-0.0991373446873361,2.790059942766774,60,60,60,60,1.0,0.5667732682466822,0.0198682473890811,0.0006397720702185,False,complete,60ref
low_tv_spectral_teacher,1.9,0.1,-0.1065505469454641,-0.1007304323617182,2.842512106748173,60,60,60,60,1.0,0.6486399603888419,0.0207193767938151,0.0006133352000908,False,complete,60ref
low_tv_spectral_teacher,2.0,0.1,-0.1099411571632737,-0.1041210425795278,2.890393948457781,60,60,60,60,1.0,0.588455296699119,0.0165795657543017,0.0006175767836476,False,complete,60ref
low_tv_spectral_teacher,2.1,0.1,-0.1129651240631658,-0.10714500947942,2.936140320386334,60,60,60,60,1.0,0.62149505812058,0.0222480136802669,0.0007480794396215,False,complete,60ref
low_tv_spectral_teacher,2.2,0.1,-0.1148027559504737,-0.1089826413667279,2.98080380124256,60,60,60,60,1.0,0.6265305102647052,0.0188823752735494,0.0007623174173758,False,complete,60ref
low_tv_spectral_teacher,2.3,0.1,-0.116692703483547,-0.1108725888998012,3.0233475538006087,60,60,60,60,1.0,0.5952475453064042,0.0305737310342763,0.0007752148157946,False,complete,60ref
low_tv_spectral_teacher,2.4,0.1,-0.1193910839137597,-0.1135709693300138,3.063191494162853,60,60,60,60,1.0,0.5656540025578323,0.0211850071370767,0.0008545734091264,False,complete,60ref
low_tv_spectral_teacher,2.5,0.1,-0.1201742560288516,-0.1143541414451058,3.1032137290042128,60,60,60,60,1.0,0.5721142225164203,0.0270017035833214,0.000745485437015,False,complete,60ref
random_label,0.1,0.1,-0.0270706691082514,0.0,0.0,60,60,60,60,1.0,0.5563758679380446,0.0062017214033416,0.0,False,complete,60ref
random_label,0.2,0.1,-0.0938165713814246,-0.0667459022731731,0.6261196256331516,60,60,60,60,1.0,0.6201953743384936,0.0185860374316348,0.0011022656851227,False,complete,60ref
random_label,0.3,0.1,-0.1423166953287397,-0.1152460262204883,0.9829198535534042,60,60,60,60,1.0,0.6331876552553007,0.0255170805388762,0.0011253905385072,False,complete,60ref
random_label,0.4,0.1,-0.1572862702345882,-0.1302156011263368,1.2555154546863128,60,60,60,60,1.0,0.6406852313675503,0.0162531313958989,0.0009879756031413,False,complete,60ref
random_label,0.5,0.1,-0.1578718936874886,-0.1308012245792372,1.4779827106454222,60,60,60,60,1.0,0.6066809234831587,0.0221252736028337,0.0006586668090003,False,complete,60ref
