dataset_id,split_id,rule,ref_id,theta_path,dataset_path,attempt_seed,optimizer_chain,P,train_error,test_error,CE_mean_train,CE_sum_train,CE_mean_test,theta_norm,min_margin,q05_margin,median_margin,mean_margin,extra_reference_search,pool_rank,resample_seed_offset
0,0,very_low_tv_spectral_teacher,38,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/very_low_tv_spectral_teacher_v1/04_exact_reference_search/selected_reference_pool/split_000/very_low_tv_spectral_teacher/ref_038/theta.npy,/home/bjyong/Complexity/local_project/03_dnn_mnist/01_dataset_gen/raw_outputs/very_low_tv_spectral_teacher_v1/01_dataset_prepare/raw_datasets/split_000/very_low_tv_spectral_teacher/dataset.npz,2840038,adam,2461,0.0,0.0888671875,0.0061740322815119,3.1611045281341266,0.3743962351359573,13.013406406431717,0.7386795169199849,3.7815472889578654,7.473336589886797,6.799084290710129,,39,2026061900
0,0,very_low_tv_spectral_teacher,39,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/very_low_tv_spectral_teacher_v1/04_exact_reference_search/selected_reference_pool/split_000/very_low_tv_spectral_teacher/ref_039/theta.npy,/home/bjyong/Complexity/local_project/03_dnn_mnist/01_dataset_gen/raw_outputs/very_low_tv_spectral_teacher_v1/01_dataset_prepare/raw_datasets/split_000/very_low_tv_spectral_teacher/dataset.npz,2840039,adam,2461,0.0,0.08349609375,0.0087917973646613,4.501400250706591,0.3332994905685339,12.992819326824442,0.4473118136976424,3.5022821678738554,7.697838721766965,6.9094811254382655,,40,2026061900
0,0,very_low_tv_spectral_teacher,40,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/very_low_tv_spectral_teacher_v1/04_exact_reference_search/selected_reference_pool/split_000/very_low_tv_spectral_teacher/ref_040/theta.npy,/home/bjyong/Complexity/local_project/03_dnn_mnist/01_dataset_gen/raw_outputs/very_low_tv_spectral_teacher_v1/01_dataset_prepare/raw_datasets/split_000/very_low_tv_spectral_teacher/dataset.npz,2840040,adam,2461,0.0,0.0888671875,0.0080572673046619,4.1253208599869,0.3701601561005689,11.141286695971209,0.7208904308906019,3.3866059636641723,7.516541906993434,6.773404645088275,,41,2026061900
0,0,very_low_tv_spectral_teacher,41,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/very_low_tv_spectral_teacher_v1/04_exact_reference_search/selected_reference_pool/split_000/very_low_tv_spectral_teacher/ref_041/theta.npy,/home/bjyong/Complexity/local_project/03_dnn_mnist/01_dataset_gen/raw_outputs/very_low_tv_spectral_teacher_v1/01_dataset_prepare/raw_datasets/split_000/very_low_tv_spectral_teacher/dataset.npz,2840041,adam,2461,0.0,0.09423828125,0.0070188265484738,3.5936391928186007,0.405369172522331,11.620110731450646,1.3555704567393865,3.622470177551621,6.957868963146689,6.518175901792245,,42,2026061900
0,0,very_low_tv_spectral_teacher,42,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/very_low_tv_spectral_teacher_v1/04_exact_reference_search/selected_reference_pool/split_000/very_low_tv_spectral_teacher/ref_042/theta.npy,/home/bjyong/Complexity/local_project/03_dnn_mnist/01_dataset_gen/raw_outputs/very_low_tv_spectral_teacher_v1/01_dataset_prepare/raw_datasets/split_000/very_low_tv_spectral_teacher/dataset.npz,2840042,adam,2461,0.0,0.08837890625,0.0068206259624459,3.4921604927723053,0.3686392023638452,11.937519236500176,0.5974468881340709,3.1609806225306745,7.953777204343398,7.161565756429826,,43,2026061900
0,0,very_low_tv_spectral_teacher,43,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/very_low_tv_spectral_teacher_v1/04_exact_reference_search/selected_reference_pool/split_000/very_low_tv_spectral_teacher/ref_043/theta.npy,/home/bjyong/Complexity/local_project/03_dnn_mnist/01_dataset_gen/raw_outputs/very_low_tv_spectral_teacher_v1/01_dataset_prepare/raw_datasets/split_000/very_low_tv_spectral_teacher/dataset.npz,2840043,adam,2461,0.0,0.087890625,0.0028559990814897,1.4622715297227444,0.4176965135628921,12.708052841547309,1.7606838501747473,4.331205930456226,8.772673883560387,7.998018648719086,,44,2026061900
0,0,very_low_tv_spectral_teacher,44,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/very_low_tv_spectral_teacher_v1/04_exact_reference_search/selected_reference_pool/split_000/very_low_tv_spectral_teacher/ref_044/theta.npy,/home/bjyong/Complexity/local_project/03_dnn_mnist/01_dataset_gen/raw_outputs/very_low_tv_spectral_teacher_v1/01_dataset_prepare/raw_datasets/split_000/very_low_tv_spectral_teacher/dataset.npz,2840044,adam,2461,0.0,0.08642578125,0.0033890442723515,1.7351906674439783,0.3912063808889606,13.064557920830511,1.2700435894754878,4.315507686770904,8.303026174263607,7.641788460500216,,45,2026061900
0,0,very_low_tv_spectral_teacher,45,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/very_low_tv_spectral_teacher_v1/04_exact_reference_search/selected_reference_pool/split_000/very_low_tv_spectral_teacher/ref_045/theta.npy,/home/bjyong/Complexity/local_project/03_dnn_mnist/01_dataset_gen/raw_outputs/very_low_tv_spectral_teacher_v1/01_dataset_prepare/raw_datasets/split_000/very_low_tv_spectral_teacher/dataset.npz,2840045,adam,2461,0.0,0.09765625,0.0059189610853636,3.030508075706175,0.4233476233654726,11.349795821521592,0.5682167198847348,3.702990182878136,7.382705306950847,6.803823796599696,,46,2026061900
0,0,very_low_tv_spectral_teacher,46,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/very_low_tv_spectral_teacher_v1/04_exact_reference_search/selected_reference_pool/split_000/very_low_tv_spectral_teacher/ref_046/theta.npy,/home/bjyong/Complexity/local_project/03_dnn_mnist/01_dataset_gen/raw_outputs/very_low_tv_spectral_teacher_v1/01_dataset_prepare/raw_datasets/split_000/very_low_tv_spectral_teacher/dataset.npz,2840046,adam,2461,0.0,0.087890625,0.0030554510975719,1.5643909619568142,0.4314887338131168,11.799269020083722,1.4530193165505885,4.421973248873039,7.7440385539300785,7.264607764501996,,47,2026061900
0,0,very_low_tv_spectral_teacher,47,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/very_low_tv_spectral_teacher_v1/04_exact_reference_search/selected_reference_pool/split_000/very_low_tv_spectral_teacher/ref_047/theta.npy,/home/bjyong/Complexity/local_project/03_dnn_mnist/01_dataset_gen/raw_outputs/very_low_tv_spectral_teacher_v1/01_dataset_prepare/raw_datasets/split_000/very_low_tv_spectral_teacher/dataset.npz,2840047,adam,2461,0.0,0.08984375,0.003449543252267,1.766166145160719,0.4097621676979038,12.092770233331033,1.8063231630833656,4.357926450381734,8.02521941759819,7.4179169736710735,,48,2026061900
