beta,cell_id,radius,ref_count,H_or_threshold,mode,Z_ratio,log_Z_ratio,ess_num,gate_count,weighted_error,weighted_h,dataset_tag,dataset_id,ref_id
0.05,cell_beta_0p05_p_0p00,0.01,1,1.0,absolute_h,1.0,0.0,1023.9840687238377,1024,0.002135283599379239,0.08080977882683653,dataset_000_seed_001234,0,0
0.05,cell_beta_0p05_p_0p00,0.01,1,2.0,absolute_h,1.0,0.0,1023.9840687238377,1024,0.002135283599379239,0.08080977882683653,dataset_000_seed_001234,0,0
0.05,cell_beta_0p05_p_0p00,0.01,1,4.0,absolute_h,1.0,0.0,1023.9840687238377,1024,0.002135283599379239,0.08080977882683653,dataset_000_seed_001234,0,0
0.05,cell_beta_0p05_p_0p00,0.01,1,6.0,absolute_h,1.0,0.0,1023.9840687238377,1024,0.002135283599379239,0.08080977882683653,dataset_000_seed_001234,0,0
0.05,cell_beta_0p05_p_0p00,0.01,1,8.0,absolute_h,1.0,0.0,1023.9840687238377,1024,0.002135283599379239,0.08080977882683653,dataset_000_seed_001234,0,0
0.05,cell_beta_0p05_p_0p00,0.01,1,0.25,delta_ce,1.0,0.0,1023.9840687238377,1024,0.002135283599379239,0.08080977882683653,dataset_000_seed_001234,0,0
0.05,cell_beta_0p05_p_0p00,0.01,1,0.5,delta_ce,1.0,0.0,1023.9840687238377,1024,0.002135283599379239,0.08080977882683653,dataset_000_seed_001234,0,0
0.05,cell_beta_0p05_p_0p00,0.01,1,1.0,delta_ce,1.0,0.0,1023.9840687238377,1024,0.002135283599379239,0.08080977882683653,dataset_000_seed_001234,0,0
0.05,cell_beta_0p05_p_0p00,0.01,1,2.0,delta_ce,1.0,0.0,1023.9840687238377,1024,0.002135283599379239,0.08080977882683653,dataset_000_seed_001234,0,0
0.05,cell_beta_0p05_p_0p00,0.01,1,4.0,delta_ce,1.0,0.0,1023.9840687238377,1024,0.002135283599379239,0.08080977882683653,dataset_000_seed_001234,0,0
0.05,cell_beta_0p05_p_0p00,0.01,1,1.0,relative_delta_ce_to_ref_ce,0.4230344822491357,-0.8603015849388269,431.9998692022829,432,0.002135283599379239,0.08080977882683653,dataset_000_seed_001234,0,0
0.05,cell_beta_0p05_p_0p00,0.01,1,5.0,relative_delta_ce_to_ref_ce,0.9304422596683952,-0.07209525784143267,951.9939640914471,952,0.002135283599379239,0.08080977882683653,dataset_000_seed_001234,0,0
0.05,cell_beta_0p05_p_0p00,0.01,1,10.0,relative_delta_ce_to_ref_ce,0.9961678353641411,-0.003839526191905307,1019.9855282603695,1020,0.002135283599379239,0.08080977882683653,dataset_000_seed_001234,0,0
0.05,cell_beta_0p05_p_0p00,0.01,1,50.0,relative_delta_ce_to_ref_ce,1.0,0.0,1023.9840687238377,1024,0.002135283599379239,0.08080977882683653,dataset_000_seed_001234,0,0
0.05,cell_beta_0p05_p_0p00,0.01,1,100.0,relative_delta_ce_to_ref_ce,1.0,0.0,1023.9840687238377,1024,0.002135283599379239,0.08080977882683653,dataset_000_seed_001234,0,0
