metric,python,julia,diff,abs_diff,unit_index,beta,dataset_id,ref_id,radius,n_samples
ce_ref,0.0021289364216490426,0.0021289364216490222,-2.0383000842727483e-17,2.0383000842727483e-17,0,0.05,0,0,0.01,1024
err_ref,0.0,0.0,0.0,0.0,0,0.05,0,0,0.01,1024
theta_ref_norm,141.42725380764557,141.42725380764557,0.0,0.0,0,0.05,0,0,0.01,1024
theta_ref_norm_sq,20001.668119572198,20001.668119572198,0.0,0.0,0,0.05,0,0,0.01,1024
kappa,0.028034267635685468,0.028034267635685468,0.0,0.0,0,0.05,0,0,0.01,1024
log_prefactor,-4.9845595253070875e-05,-4.9845595253070875e-05,0.0,0.0,0,0.05,0,0,0.01,1024
reference_prior_log_weight,-3.9296008093462076,-3.9296008093462076,0.0,0.0,0,0.05,0,0,0.01,1024
logZ_inf,-0.006289997995825145,-0.0060109213077511135,0.0002790766880740314,0.0002790766880740314,0,0.05,0,0,0.01,1024
logZ_inf_full,-3.935890807342033,-3.935611730653959,0.0002790766880740314,0.0002790766880740314,0,0.05,0,0,0.01,1024
ess_frac,0.9999826888029112,0.999984727699418,2.0388965068507403e-06,2.0388965068507403e-06,0,0.05,0,0,0.01,1024
weighted_ce,0.006236614374067546,0.005970269494344319,-0.0002663448797232265,0.0002663448797232265,0,0.05,0,0,0.01,1024
weighted_error,0.002097003330253285,0.002030554940998131,-6.644838925515392e-05,6.644838925515392e-05,0,0.05,0,0,0.01,1024
weighted_h,0.08190684700698161,0.07912401273347776,-0.0027828342735038564,0.0027828342735038564,0,0.05,0,0,0.01,1024
dlogZ_inf_dr,-1.3521334450991285,-1.2624116273204353,0.08972181777869315,0.08972181777869315,0,0.05,0,0,0.01,1024
ce_ref,0.0021289364216490426,0.0021289364216490222,-2.0383000842727483e-17,2.0383000842727483e-17,1,0.05,0,0,0.5,1024
err_ref,0.0,0.0,0.0,0.0,1,0.05,0,0,0.5,1024
theta_ref_norm,141.42725380764557,141.42725380764557,0.0,0.0,1,0.05,0,0,0.5,1024
theta_ref_norm_sq,20001.668119572198,20001.668119572198,0.0,0.0,1,0.05,0,0,0.5,1024
kappa,1.4017133817842733,1.4017133817842733,0.0,0.0,1,0.05,0,0,0.5,1024
log_prefactor,-0.12461398813267718,-0.12461398813267718,0.0,0.0,1,0.05,0,0,0.5,1024
reference_prior_log_weight,-3.9296008093462076,-3.9296008093462076,0.0,0.0,1,0.05,0,0,0.5,1024
logZ_inf,-8.280364055344728,-8.197101102165202,0.08326295317952592,0.08326295317952592,1,0.05,0,0,0.5,1024
logZ_inf_full,-12.209964864690935,-12.126701911511411,0.08326295317952415,0.08326295317952415,1,0.05,0,0,0.5,1024
ess_frac,1.0,1.0,0.0,0.0,1,0.05,0,0,0.5,1024
weighted_ce,7.712996544401372,7.629324351205573,-0.08367219319579977,0.08367219319579977,1,0.05,0,0,0.5,1024
weighted_error,0.3866767883300781,0.386627197265625,-4.9591064453125e-05,4.9591064453125e-05,1,0.05,0,0,0.5,1024
weighted_h,3.92086802089326,3.8988978775979604,-0.02197014329529967,0.02197014329529967,1,0.05,0,0,0.5,1024
dlogZ_inf_dr,-13.153679080995298,-12.83872731778895,0.31495176320634855,0.31495176320634855,1,0.05,0,0,0.5,1024
ce_ref,0.0021289364216490426,0.0021289364216490222,-2.0383000842727483e-17,2.0383000842727483e-17,2,0.05,0,0,2.5,1024
err_ref,0.0,0.0,0.0,0.0,2,0.05,0,0,2.5,1024
theta_ref_norm,141.42725380764557,141.42725380764557,0.0,0.0,2,0.05,0,0,2.5,1024
