family,beta,r_star_full,r_star_0p3,trough_depth_full,trough_depth_0p3,early_recovery_0p3,curvature_peak_pos_0p3,curvature_peak_neg_0p3,curvature_swing_0p3,positive_curvature_area_after_trough_0p3,energy_cost_at_0p3,energy_cost_at_2p5,stripped_energy_cost_at_0p3,stripped_energy_cost_at_2p5,integrated_energy_cost_0p3,integrated_trough_depth_0p3,knn_edge_disagreement_mean,knn_label_autocorrelation_mean,Hq0.5_r0.3,Rq0.5_r0.3,Hq0.5_r1,Rq0.5_r1,Hq0.5_r2.5,Rq0.5_r2.5,Hq0.9_r0.3,Rq0.9_r0.3,Hq0.9_r1,Rq0.9_r1,Hq0.9_r2.5,Rq0.9_r2.5,Hq0.99_r0.3,Rq0.99_r0.3,Hq0.99_r1,Rq0.99_r1,Hq0.99_r2.5,Rq0.99_r2.5,A_kappa,spin_complexity_proxy,complexity_norm,A_kappa_norm,beta_label
spin,0.35,2.5,0.3,0.0014993287594073,0.0010231021321196,0.0,0.0,0.0064794943457325,0.0064794943457325,0.0,0.0003832398398907,0.0033200930615451,0.0001866492533785,0.0031235024750329,7.77801275614425e-05,0.0001841746758468,0.071285406235025,0.8574291875299499,1.0,0.7099161684594305,1.0,0.5255192881394852,2.0,0.5507812499999997,1.0,0.9959900081961368,2.0,0.9580413644099388,4.0,0.9110668861731168,1.0,0.9959900081961368,4.0,0.999181974307536,4.0,0.9970703125,2.907620925219498e-05,0.071285406235025,0.0,0.0045514492746607325,beta=0.35
spin,0.33,2.5,0.3,0.0015028656173887,0.0009105209776678,0.0,0.0,0.0063919324639104,0.0063919324639104,0.0,0.0003801948103764,0.0032794149379965,0.000169755685976,0.0030689758135961,8.0286736109596e-05,0.0001675802557097,0.0713154994114632,0.8573690011770735,1.0,0.9720452591391772,2.0,0.8916015624999997,2.0,0.5731592708259903,1.0,0.9720452591391772,2.0,0.9287109375,4.0,0.9996204013463256,1.0,0.9937200247013376,4.0,1.0,4.0,0.9996204013463256,0.0,0.0713154994114632,7.398714768837575e-05,0.0,beta=0.33
spin,0.37,2.5,0.3,0.0015130856385799,0.0009966186189983,0.0,0.0,0.006105859647609,0.006105859647609,0.0,0.000357495747632,0.0032921080680482,0.0001816255656132,0.0031162378860294,7.115863059607949e-05,0.000179037063877,0.0714396013009783,0.8571207973980433,1.0,1.0,2.0,0.977367664993988,2.0,0.6474609375,1.0,1.0,2.0,0.977367664993988,4.0,1.0,1.0,1.0,4.0,0.9999993772012136,4.0,1.0,3.947831499114675e-06,0.0714396013009783,0.00037910431758284295,0.0006179744634961946,beta=0.37
spin,0.39,2.5,0.3,0.0015155620446426,0.000989242992466,0.0,0.0,0.0054961753290272,0.0054961753290272,0.0,0.0003328105571297,0.0032663950789468,0.000175290775908,0.0031088752977251,6.482308938487701e-05,0.0001727620652907,0.0714434902626432,0.8571130194747136,1.0,0.8202650647587703,2.0,0.7011718749999999,2.0,0.6788148415660057,1.0,0.9554783455344288,2.0,0.9541015624999996,4.0,0.9912109375,1.0,0.9952059828601252,2.0,0.9902114563727978,4.0,0.9912109375,1.325786993130032e-05,0.0714434902626432,0.00038866572701550233,0.0020753228854207633,beta=0.39
spin,0.31,2.5,0.3,0.0015025403034127,0.0008962913565335,0.0,0.0,0.0073471940591369,0.0073471940591369,0.0,0.0004218889100811,0.0033201751154959,0.000174593899194,0.0030728801046088,9.20824046764665e-05,0.0001721429355775,0.0765370917342303,0.8469258165315393,1.0,0.9909288140194548,2.0,0.7148437499999999,2.0,0.6132812499999999,1.0,0.9909288140194548,2.0,0.9892415477507936,4.0,0.9177580639277724,1.0,0.9909288140194548,4.0,0.9948168191131428,4.0,0.99609375,0.0,0.0765370917342303,0.012911805154250635,0.0,beta=0.31
spin,0.29,2.5,0.3,0.0014984121302802,0.0008711215647499,0.0,0.0,0.0081657917126182,0.0081657917126182,0.0,0.000469080678925,0.0033630801145061,0.0001771441570776,0.0030711435926587,0.0001057767663491,0.0001747731985143,0.0771766790992058,0.8456466418015882,1.0,0.7032235554318784,2.0,0.6926566609664457,2.0,0.5812465919400208,1.0,0.9600380150118588,2.0,0.9248046875,4.0,0.9833984374999996,1.0,0.995899751677182,4.0,0.9992403182534918,4.0,0.9970703125,0.0,0.0771766790992058,0.014484296012077855,0.0,beta=0.29
spin,0.27,2.5,0.3,0.0014928543674499,0.0009661300588719,0.0,0.0,0.0105187744439662,0.0105187744439662,0.0,0.0005587519998823,0.0034909533094829,0.0002071827940388,0.0031393841036394,0.0001272220471674,0.0002047928094741,0.0861496560433926,0.8277006879132148,1.0,0.8454346432790018,2.0,0.9238281249999998,2.0,0.55859375,1.0,0.9717885925807648,2.0,0.9238281249999998,4.0,0.9990234374999996,1.0,0.9955300212592668,4.0,1.0,4.0,0.9990234374999996,0.0,0.0861496560433926,0.03654527623917923,0.0,beta=0.27
spin,0.25,2.5,0.3,0.0015101868802678,0.0010203966523747,0.0,0.0,0.013210676245659,0.013210676245659,0.0,0.0006641901362749,0.0036241664807669,0.000234486233964,0.003194462578456,0.0001540685624479,0.0002320157592066,0.097214958381373,0.805570083237254,1.0,0.9305400408244028,2.0,0.8991258902689232,2.0,0.5800781249999996,1.0,0.9305400408244028,2.0,0.9624566358111394,4.0,0.9976804128385464,1.0,1.0,4.0,1.0,4.0,0.9976804128385464,0.0,0.097214958381373,0.06375045213604068,0.0,beta=0.25
spin,0.23,2.5,0.3,0.0015094609175055,0.0012643416192896,0.0,0.0,0.0190258975894713,0.0190258975894713,0.0,0.0008705508715894,0.0039741244428183,0.0003094013289616,0.0034129749001905,0.0002024709197842,0.000307107848807,0.1149051806948273,0.7701896386103453,1.0,0.8199393375809945,2.0,0.920404451288463,2.0,0.5234374999999999,1.0,0.957289248628072,2.0,0.920404451288463,4.0,0.9121093749999994,1.0,0.9927934616516004,4.0,0.9990234374999996,4.0,0.994140625,1.842362253994395e-05,0.1149051806948273,0.10724367039544758,0.002883944833342428,beta=0.23
spin,0.21,0.19,0.19,0.0017312925582552,0.0017312925582552,1.6415903413381956e-05,0.0001893190365478,0.0283422836705348,0.0285316027070826,1.6268896049661943e-05,0.001128570255569,0.0045598345532529,0.0004378913233809,0.0038691556210647,0.0002570389329622,0.0004355970412615,0.1502594046517673,0.6994811906964653,1.0,0.8764780333540105,2.0,0.5781249999999999,4.0,0.9165029195733684,1.0,0.9429444458545008,2.0,0.9052734375,4.0,0.9165029195733684,2.0,1.0,4.0,0.991477686783804,4.0,0.9921875000000002,0.0002571350990198,0.1502594046517673,0.19416564071922748,0.04025068569882901,beta=0.21
