label,group,eta_policy,stored_flip_rate,eta_for_formula,base_even_odd_tv_mean,flip_edge_noise_a,expected_tv_mean,baseline_mean,expected_nmstv,actual_nmstv,actual_minus_expected_nmstv
flip eta=0.05,eta_0.05,0.05,0.05078125,0.05078125,0.2466432138230899,0.096405029296875,0.29549295061098413,0.49951171875,0.5915636000501422,0.5734925471048802,-0.01807105294526201
flip eta=0.15,eta_0.15,0.15,0.1484375,0.1484375,0.2466432138230899,0.2528076171875,0.3747442646464251,0.498046875,0.7524276999959594,0.7762922746978026,0.023864574701843222
flip eta=0.25,eta_0.25,0.25,0.255859375,0.255859375,0.2466432138230899,0.38079071044921875,0.4395950350339627,0.4987106323242187,0.8814631302028786,0.8975281794892439,0.016065049286365318
