source,group,label,short_label,case_order,nmstv,tv_mean,baseline_mean,label_diff_vs_even_odd,stored_flip_rate,stale_nmstv,stale_complexity_proxy,nmstv_delta_corrected_minus_stale,was_stale_left_of_even_odd
advanced,very_low_tv_spectral_teacher,rule: very low tv,very low tv,0,0.3245703473792007,0.1622455532858675,0.4998779296875,0.46484375,,0.3245703473792008,0.3245703473792008,-1.1102230246251565e-16,True
advanced,real_even_odd,rule: even odd,even odd,1,0.4932864276461798,0.2466432138230899,0.5,0.0,,0.4932864276461805,0.4932864276461805,-7.216449660063518e-16,False
flip,eta_0.05,flip eta=0.05,eta=0.05,2,0.5734925471048802,0.286466247894674,0.49951171875,0.05078125,0.05078125,0.430574457903612,0.430574457903612,0.1429180892012682,True
advanced,teacher_nn,rule: teacher nn,teacher nn,3,0.6843772639598127,0.3421886319799063,0.5,0.53125,,0.6843772639598127,0.6843772639598127,0.0,False
flip,eta_0.15,flip eta=0.15,eta=0.15,4,0.7762922746978026,0.3866299414998821,0.498046875,0.1484375,0.1484375,0.6551292914748983,0.6551292914748983,0.12116298322290431,False
flip,eta_0.25,flip eta=0.25,eta=0.25,5,0.8975281794892439,0.4476068459218858,0.4987106323242187,0.255859375,0.255859375,0.8111369149742439,0.8111369149742439,0.08639126451500001,False
advanced,random_label,rule: random label,random label,6,0.9855585738254612,0.4927792869127306,0.5,0.5078125,,0.985558573825462,0.985558573825462,-7.771561172376096e-16,False
