source,group,label,pos_fraction,same_X_as_even_odd,label_diff_vs_even_odd,stored_flip_rate,tv_mean,baseline_mean,nmstv,n_refs,positive_curvature_mass_mean,positive_curvature_mass_sd,positive_curvature_mass_sem,negative_curvature_mass_mean,negative_curvature_mass_sem,min_second_derivative_mean,min_second_derivative_sem,min_second_derivative_radius_mean,max_second_derivative_mean,max_second_derivative_radius_mean,ref_count,ref_test_error_mean,ref_test_error_sem,ref_train_error_mean,ref_CE_test_mean,case_order,short_label,trend_family,complexity_norm,A_kappa_norm,ref_test_error_norm
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.5078125,True,0.46484375,,0.1622455532858675,0.4998779296875,0.3245703473792007,30,0.1550083990340282,0.015471425848925,0.0028246829780749,0.1834426596251822,0.0027283115786378,-0.9772372333816102,0.020310216259773,0.3213333333333333,1.0474838588730142,0.6133333333333333,30,0.09012044270833333,0.0008378114629108363,0.0,0.4033185242878554,0,very low tv,rule_eta_random_trend,0.0,0.0,0.0
advanced,real_even_odd,rule: even odd,0.5,True,0.0,,0.2466432138230899,0.5,0.4932864276461798,30,0.209825554538018,0.02171691697166,0.0039649484349483,0.2476703380549588,0.00384959909291,-1.328070124696742,0.0356725703480201,0.1933333333333333,1.3307655563508791,0.5576666666666666,30,0.12379557291666667,0.0007088379007477579,0.0,0.7165130198675553,1,even odd,rule_eta_random_trend,0.2552482381933863,0.07003626874639289,0.07839496817217338
flip,eta_0.05,flip eta=0.05,0.484375,True,0.05078125,0.05078125,0.286466247894674,0.49951171875,0.5734925471048802,30,0.3370857329402651,0.0283553052466998,0.0051769467695207,0.3679868999621186,0.0058161203792712,-2.372888124963976,0.0515772479292774,0.0943333333333333,2.2499425513716504,0.375,30,0.18976236979166666,0.0012442135521227565,0.0,1.1155771779357357,2,eta=0.05,rule_eta_random_trend,0.3765909735850904,0.23262821598168812,0.2319642315853289
advanced,teacher_nn,rule: teacher nn,0.5,True,0.53125,,0.3421886319799063,0.5,0.6843772639598127,30,0.278467335409536,0.0222027090799364,0.0040536415336019,0.3113641016523783,0.0038215647910686,-2.0902571896859525,0.0413639347287008,0.06,1.7846456264167652,0.37,30,0.122509765625,0.0010113977071771623,0.0,0.5294900480158019,3,teacher nn,separate_teacher_rule,0.5443469371838575,0.15773535068797126,0.07540163685965445
flip,eta_0.15,flip eta=0.15,0.53125,True,0.1484375,0.1484375,0.3866299414998821,0.498046875,0.7762922746978026,30,0.6033209153550899,0.0411844361910706,0.0075192149066605,0.6165024965900628,0.0074091640967861,-4.644396786728358,0.0796286936349264,0.083,4.789560392714881,0.2876666666666667,30,0.32062174479166666,0.002123661609348627,0.0,2.0686320209598965,4,eta=0.15,rule_eta_random_trend,0.683403893208872,0.5727793714715506,0.5366020006062443
flip,eta_0.25,flip eta=0.25,0.525390625,True,0.255859375,0.255859375,0.4476068459218858,0.4987106323242187,0.8975281794892439,30,0.7655385141399086,0.0705817886269934,0.0128864125933552,0.7656103869279678,0.0128832998670072,-6.3579307689813565,0.1528885175682126,0.0946666666666666,6.374259953044258,0.2636666666666666,30,0.417041015625,0.001498203926947491,0.0,2.8896474738746485,5,eta=0.25,rule_eta_random_trend,0.8668200267204391,0.7800341120620431,0.7610639587753865
advanced,random_label,rule: random label,0.5,True,0.5078125,,0.4927792869127306,0.5,0.9855585738254612,30,0.9377050858390784,0.081441639377475,0.0148691410024146,0.9192576628740328,0.0154261383568772,-7.966967469709038,0.1912010057572369,0.0653333333333333,8.469881718127253,0.251,30,0.519677734375,0.0011536210585678342,0.0,3.546196257762235,6,random label,rule_eta_random_trend,1.0,1.0,1.0
