rule_id,rule_name,rule_label,rule_order,nmstv_mean,radius,n_units,delta_phi_energy_unit_mean,delta_phi_energy_unit_sem,phi_energy_raw_mean,phi_energy_raw_sem
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.01,30,0.0035236295118993106,8.993771893015653e-05,-0.0009585889851335401,6.262227810788066e-05
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.02,30,0.0034449568270731633,8.663692474774576e-05,-0.0010372616699596835,6.53797922422207e-05
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.03,30,0.0032990565991302128,8.11023361616643e-05,-0.0011831618979026366,7.00649423514197e-05
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.04,30,0.003071613177248377,7.316924054066934e-05,-0.0014106053197844766,7.685341325696057e-05
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.05,30,0.002756541617446913,6.395074143337957e-05,-0.00172567687958592,8.485689232269484e-05
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.06,30,0.0023510360809912497,5.218946411026674e-05,-0.002131182416041603,9.588241742317963e-05
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.07,30,0.0018649825996435068,4.113021074711633e-05,-0.0026172358973893272,0.00010636881990347092
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.08,30,0.0013144611026957133,3.0439077560558935e-05,-0.0031677573943371434,0.00011784639623721004
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.09,30,0.0006703802329599165,1.794466413050591e-05,-0.00381183826407293,0.000131686857957669
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.1,30,0.0,0.0,-0.004482218497032894,0.0001430979958400382
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.11,30,-0.0007359986324762267,3.137567402479152e-05,-0.00521821712950918,0.00015431232042111638
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.12,30,-0.0015146851822858132,3.590870697145933e-05,-0.00599690367931876,0.00016010017372958713
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.13,30,-0.0023085189885963696,4.6674676876294835e-05,-0.0067907374856293334,0.00017594905626483885
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.14,30,-0.0031361385180513303,6.873548208221754e-05,-0.007618357015084274,0.0001973994908748423
