cell_id,beta,dataset_tag,lambda_ref,exact_count,ess_fraction,top1_mass,top10_mass
cell_beta_0p06_p_0p00,0.06,dataset_003_seed_302234,20.0,29,0.035632381104107866,0.9836276179087848,0.9999999999991301
cell_beta_0p06_p_0p00,0.06,dataset_003_seed_302234,40.0,29,0.034497962021215266,0.9997796000317062,1.000000000000002
cell_beta_0p06_p_0p00,0.06,dataset_003_seed_302234,80.0,29,0.0344827618670253,0.9999999529281365,1.000000000000003
cell_beta_0p06_p_0p00,0.06,dataset_003_seed_302234,160.0,29,0.034482758620689655,1.0,1.0000000000000022
cell_beta_0p06_p_0p00,0.06,dataset_003_seed_302234,220.0,29,0.034482758620689655,1.0,1.0
cell_beta_0p06_p_0p00,0.06,dataset_004_seed_402234,0.0,28,0.9999999999999999,0.03571428571428572,0.35714285714285715
cell_beta_0p06_p_0p00,0.06,dataset_004_seed_402234,0.1,28,0.9545366073958972,0.04766625038446409,0.4291253722962298
cell_beta_0p06_p_0p00,0.06,dataset_004_seed_402234,0.5,28,0.6407007930859717,0.10610137286530458,0.6457427356769755
cell_beta_0p06_p_0p00,0.06,dataset_004_seed_402234,1.0,28,0.3782998195483615,0.2019553207389379,0.8084639884223953
cell_beta_0p06_p_0p00,0.06,dataset_004_seed_402234,2.0,28,0.14491548377430163,0.43202090738359483,0.95286062340436
cell_beta_0p06_p_0p00,0.06,dataset_004_seed_402234,5.0,28,0.049527299616661725,0.8388471877297374,0.9996919331293108
cell_beta_0p06_p_0p00,0.06,dataset_004_seed_402234,10.0,28,0.037484318112084074,0.9758170153166659,0.9999999472442826
cell_beta_0p06_p_0p00,0.06,dataset_004_seed_402234,20.0,28,0.03575633349978178,0.9994116772519924,0.9999999999999947
cell_beta_0p06_p_0p00,0.06,dataset_004_seed_402234,40.0,28,0.0357143104486097,0.9999996537195872,1.0000000000000064
cell_beta_0p06_p_0p00,0.06,dataset_004_seed_402234,80.0,28,0.03571428571429384,0.9999999999998863,1.0000000000000062
cell_beta_0p06_p_0p00,0.06,dataset_004_seed_402234,160.0,28,0.03571428571428571,1.0,1.0
cell_beta_0p06_p_0p00,0.06,dataset_004_seed_402234,220.0,28,0.03571428571428571,1.0,1.0
cell_beta_0p06_p_0p00,0.06,dataset_005_seed_502234,0.0,25,0.9999999999999999,0.04000000000000001,0.40000000000000013
cell_beta_0p06_p_0p00,0.06,dataset_005_seed_502234,0.1,25,0.9362637818219001,0.05534150306765126,0.48627079624431296
cell_beta_0p06_p_0p00,0.06,dataset_005_seed_502234,0.5,25,0.5627460471312525,0.1271779258058138,0.7272186650798451
cell_beta_0p06_p_0p00,0.06,dataset_005_seed_502234,1.0,25,0.295326497826229,0.22754952696291617,0.8989710424583786
cell_beta_0p06_p_0p00,0.06,dataset_005_seed_502234,2.0,25,0.1612666773655077,0.3822911972920321,0.9913097480659564
cell_beta_0p06_p_0p00,0.06,dataset_005_seed_502234,5.0,25,0.08105112140911123,0.6740281049847126,0.999996805721977
cell_beta_0p06_p_0p00,0.06,dataset_005_seed_502234,10.0,25,0.04703044517341335,0.9205662489274704,0.9999999999938115
cell_beta_0p06_p_0p00,0.06,dataset_005_seed_502234,20.0,25,0.0402899972737072,0.9963896200632881,1.0000000000000009
cell_beta_0p06_p_0p00,0.06,dataset_005_seed_502234,40.0,25,0.04000080390439465,0.9999899512973345,0.9999999999999999
cell_beta_0p06_p_0p00,0.06,dataset_005_seed_502234,80.0,25,0.040000000007871676,0.999999999901604,1.000000000000006
cell_beta_0p06_p_0p00,0.06,dataset_005_seed_502234,160.0,25,0.04,1.0,1.0
cell_beta_0p06_p_0p00,0.06,dataset_005_seed_502234,220.0,25,0.04,1.0,1.0
cell_beta_0p06_p_0p00,0.06,dataset_006_seed_602234,0.0,32,1.0,0.03125,0.3125
cell_beta_0p06_p_0p00,0.06,dataset_006_seed_602234,0.1,32,0.9775468837354208,0.0384467102001201,0.35885251941493185
cell_beta_0p06_p_0p00,0.06,dataset_006_seed_602234,0.5,32,0.7521247653055257,0.07350196782198148,0.5297964144452755
cell_beta_0p06_p_0p00,0.06,dataset_006_seed_602234,1.0,32,0.47300277711306604,0.13002827466522268,0.7067137063852602
cell_beta_0p06_p_0p00,0.06,dataset_006_seed_602234,2.0,32,0.20456304918610907,0.25591118560322695,0.9070077491015319
cell_beta_0p06_p_0p00,0.06,dataset_006_seed_602234,5.0,32,0.0764251349848099,0.4714107751203345,0.9983294233455798
cell_beta_0p06_p_0p00,0.06,dataset_006_seed_602234,10.0,32,0.0629424193796898,0.5434820474982031,0.9999981137113417
cell_beta_0p06_p_0p00,0.06,dataset_006_seed_602234,20.0,32,0.06033506871589688,0.5949271878294392,0.999999999996911
cell_beta_0p06_p_0p00,0.06,dataset_006_seed_602234,40.0,32,0.05509138663671446,0.6833566464164705,0.9999999999999997
cell_beta_0p06_p_0p00,0.06,dataset_006_seed_602234,80.0,32,0.04407782646536721,0.823243911524326,1.0000000000000109
cell_beta_0p06_p_0p00,0.06,dataset_006_seed_602234,160.0,32,0.03412507897281351,0.9559324492209788,0.9999999999999946
cell_beta_0p06_p_0p00,0.06,dataset_006_seed_602234,220.0,32,0.03215858237487732,0.9856680013504198,1.000000000000009
cell_beta_0p06_p_0p00,0.06,dataset_007_seed_702234,0.0,30,1.0000000000000002,0.03333333333333333,0.3333333333333333
cell_beta_0p06_p_0p00,0.06,dataset_007_seed_702234,0.1,30,0.9668551843817558,0.04190738476562066,0.3912251541594234
cell_beta_0p06_p_0p00,0.06,dataset_007_seed_702234,0.5,30,0.69747382464374,0.08033681248835692,0.5834651944408517
cell_beta_0p06_p_0p00,0.06,dataset_007_seed_702234,1.0,30,0.4472339971791777,0.13504495392333765,0.7541073169971733
cell_beta_0p06_p_0p00,0.06,dataset_007_seed_702234,2.0,30,0.22790682955999006,0.244688064946438,0.9285192523928668
cell_beta_0p06_p_0p00,0.06,dataset_007_seed_702234,5.0,30,0.10531863028601014,0.4731101559351731,0.9989214830593698
cell_beta_0p06_p_0p00,0.06,dataset_007_seed_702234,10.0,30,0.061165480482128616,0.7072142431782219,0.9999989600932577
cell_beta_0p06_p_0p00,0.06,dataset_007_seed_702234,20.0,30,0.039335453885662654,0.9177610956822909,0.9999999999987783
cell_beta_0p06_p_0p00,0.06,dataset_007_seed_702234,40.0,30,0.033739140286182585,0.9939503892324284,1.0000000000000042
cell_beta_0p06_p_0p00,0.06,dataset_007_seed_702234,80.0,30,0.03333568462009304,0.9999647319432172,0.999999999999996
cell_beta_0p06_p_0p00,0.06,dataset_007_seed_702234,160.0,30,0.03333333341615798,0.9999999987576302,0.999999999999979
cell_beta_0p06_p_0p00,0.06,dataset_007_seed_702234,220.0,30,0.033333333333371226,0.9999999999994316,0.9999999999999999
cell_beta_0p06_p_0p00,0.06,dataset_008_seed_802234,0.0,31,1.0,0.03225806451612903,0.32258064516129026
cell_beta_0p06_p_0p00,0.06,dataset_008_seed_802234,0.1,31,0.9697784095740728,0.039717055301594736,0.3807653632763281
cell_beta_0p06_p_0p00,0.06,dataset_008_seed_802234,0.5,31,0.6972862874957451,0.0706805307490737,0.5771976672813366
