beta,spin_complexity_proxy,knn_label_autocorrelation_mean,A_kappa,complexity_norm,beta_reversed_norm,system,spin_min_dphi_dr,spin_min_dphi_dr_radius
0.35,0.071285406235025,0.8574291875299499,2.907620925219498e-05,0.0,0.11764705882352951,3NN spin,-0.0013392368753521,0.8
0.33,0.0713154994114632,0.8573690011770735,0.0,7.398714768837575e-05,0.1764705882352941,3NN spin,-0.0013141829123301,0.99
0.37,0.0714396013009783,0.8571207973980433,3.947831499114675e-06,0.00037910431758284295,0.058823529411764754,3NN spin,-0.0013240985589398,0.94
0.39,0.0714434902626432,0.8571130194747136,1.325786993130032e-05,0.00038866572701550233,0.0,3NN spin,-0.00132517931946,0.85
0.31,0.0765370917342303,0.8469258165315393,0.0,0.012911805154250635,0.23529411764705885,3NN spin,-0.0013138906731186,0.99
0.29,0.0771766790992058,0.8456466418015882,0.0,0.014484296012077855,0.2941176470588236,3NN spin,-0.0013167918256028,1.0
0.27,0.0861496560433926,0.8277006879132148,0.0,0.03654527623917923,0.3529411764705882,3NN spin,-0.0013345923329071,1.0
0.25,0.097214958381373,0.805570083237254,0.0,0.06375045213604068,0.411764705882353,3NN spin,-0.0013357995219326,1.0
0.23,0.1149051806948273,0.7701896386103453,1.842362253994395e-05,0.10724367039544758,0.47058823529411764,3NN spin,-0.0014208734489375,0.9
0.21,0.1502594046517673,0.6994811906964653,0.0002571350990198,0.19416564071922748,0.5294117647058824,3NN spin,-0.0017272408642115,0.21
0.19,0.2038299570072067,0.5923400859855866,0.0010026577333292,0.3258743148436936,0.5882352941176471,3NN spin,-0.0025496497857094,0.18
0.17,0.2671031098709601,0.4657937802580798,0.00188003135004,0.4814378232440965,0.6470588235294117,3NN spin,-0.003468748175158,0.16
0.15,0.3261466985217294,0.3477066029565411,0.0030644865494894,0.6266025160616345,0.7058823529411765,3NN spin,-0.0046449689888911,0.15
0.13,0.3783452565699349,0.2433094868601301,0.0038304985906941,0.754938002060036,0.7647058823529411,3NN spin,-0.0054030993242156,0.15
0.11,0.4112540940673032,0.1774918118653937,0.0046393901503916,0.8358477400257261,0.823529411764706,3NN spin,-0.0061961462829557,0.14
0.09,0.4369968616477327,0.1260062767045345,0.0051991419454657,0.8991389632301552,0.8823529411764707,3NN spin,-0.0067433614015646,0.13
0.07,0.461847794844466,0.0763044103110679,0.0059079732692251,0.9602375205192528,0.9411764705882353,3NN spin,-0.0074535095080068,0.13
0.05,0.4780205944187179,0.043958811162564,0.0063883408333409,1.0,1.0,3NN spin,-0.0079242223457288,0.13
