"N","M","dataset_id","ref_id","radius","n_particles","ce_ref","err_ref","ref_norm","sampler_method","direct_qc_pass","fallback_used","direct_logZ_CE","direct_ess_frac","direct_split_logZ_per_N_diff","logZ_CE","logZ_shell_stripped","logZ_shell_full","ref_l2_constant","logM","kappa","ess","ess_frac","weighted_ce","weighted_error","weighted_accuracy","weighted_l2_penalty","split0_logZ_shell","split1_logZ_shell","split_logZ_per_N_diff","samples_path","smc_completed","smc_step_count","smc_total_step_count","smc_resample_count","smc_min_cess_fraction","smc_mean_cess_fraction","smc_mean_mh_acceptance","smc_mean_global_mh_acceptance","source_run_id","sample_payload_path"
"40","4","0","0","0.65","2048","1.4537943304144907","0.0","6.9203447467285635","prior_matched_vmf_direct_is","True","False","-1.8051209519024756","0.8833307509977312","0.0006686681224358226","-1.8051209519024756","-1.72922748622576","-25.67481319301257","-23.94558570678681","8.525893465676717","28.449267071216344","1809.0613780433534","0.8833307509977312","1.7402529210163817","0.12336543267178232","0.8766345673282177","17.785699776957223","-1.74269026942068","-1.7159435445232472","0.0006686681224358226","01_theory/02_theory_sampling/raw_outputs/shell_pool/sample_payloads/base_10x10_N40_80_160_320_p2048_r0p05/N_0040/dataset_000/ref_000/r_0p65/samples.npz","","","","","","","","","two_pool_perceptron_alpha0p1_dense_qc_10x10_N40_80_160_320_p2048_r0p05","01_theory/02_theory_sampling/raw_outputs/shell_pool/sample_payloads/base_10x10_N40_80_160_320_p2048_r0p05/N_0040/dataset_000/ref_000/r_0p65/samples.npz"
"40","4","0","0","0.7","2048","1.4537943304144907","0.0","6.9203447467285635","prior_matched_vmf_direct_is","True","False","-1.8376696398313594","0.8675472427271069","0.0005617043706426461","-1.8376696398313594","-1.9435558386689458","-25.889141545455757","-23.94558570678681","9.694113801162413","30.637672230540673","1776.736753105115","0.8675472427271069","1.762450291611416","0.12644821979498616","0.8735517802050139","17.132100909752147","-1.9548530271145408","-1.932384852288835","0.0005617043706426461","01_theory/02_theory_sampling/raw_outputs/shell_pool/sample_payloads/base_10x10_N40_80_160_320_p2048_r0p05/N_0040/dataset_000/ref_000/r_0p70/samples.npz","","","","","","","","","two_pool_perceptron_alpha0p1_dense_qc_10x10_N40_80_160_320_p2048_r0p05","01_theory/02_theory_sampling/raw_outputs/shell_pool/sample_payloads/base_10x10_N40_80_160_320_p2048_r0p05/N_0040/dataset_000/ref_000/r_0p70/samples.npz"
"40","4","0","0","0.75","2048","1.4537943304144907","0.0","6.9203447467285635","prior_matched_vmf_direct_is","True","False","-1.8921581898783577","0.8529577282933215","0.00016234547533033883","-1.8921581898783577","-2.2331553323433466","-26.17874103913016","-23.94558570678681","10.909002857535011","32.826077389865006","1746.8574275447224","0.8529577282933215","1.8079341571990222","0.14379450124658263","0.8562054987534173","16.8832009947256","-2.2299136940381494","-2.236407513051363","0.00016234547533033883","01_theory/02_theory_sampling/raw_outputs/shell_pool/sample_payloads/base_10x10_N40_80_160_320_p2048_r0p05/N_0040/dataset_000/ref_000/r_0p75/samples.npz","","","","","","","","","two_pool_perceptron_alpha0p1_dense_qc_10x10_N40_80_160_320_p2048_r0p05","01_theory/02_theory_sampling/raw_outputs/shell_pool/sample_payloads/base_10x10_N40_80_160_320_p2048_r0p05/N_0040/dataset_000/ref_000/r_0p75/samples.npz"
"40","4","0","0","0.8","2048","1.4537943304144907","0.0","6.9203447467285635","prior_matched_vmf_direct_is","True","False","-1.9449842037254532","0.8305650790297612","2.6486587986629394e-05","-1.9449842037254532","-2.578115518407027","-26.52370122519384","-23.94558570678681","12.166868685318427","35.014482549189346","1700.997281852951","0.8305650790297612","1.8460764114040886","0.15542331291524783","0.8445766870847522","16.417613566040934","-2.5786453904746214","-2.577585926955156","2.6486587986629394e-05","01_theory/02_theory_sampling/raw_outputs/shell_pool/sample_payloads/base_10x10_N40_80_160_320_p2048_r0p05/N_0040/dataset_000/ref_000/r_0p80/samples.npz","","","","","","","","","two_pool_perceptron_alpha0p1_dense_qc_10x10_N40_80_160_320_p2048_r0p05","01_theory/02_theory_sampling/raw_outputs/shell_pool/sample_payloads/base_10x10_N40_80_160_320_p2048_r0p05/N_0040/dataset_000/ref_000/r_0p80/samples.npz"
"40","4","0","0","0.85","2048","1.4537943304144907","0.0","6.9203447467285635","prior_matched_vmf_direct_is","True","False","-1.9809898257809353","0.8109880686056933","3.0208452494551173e-05","-1.9809898257809353","-2.9666038305252416","-26.912189537312052","-23.94558570678681","13.464385995255693","37.20288770851368","1660.9035645044598","0.8109880686056933","1.8680992802331817","0.1647516285823502","0.8352483714176497","16.20095028455395","-2.9672081820852414","-2.9659998439854593","3.0208452494551173e-05","01_theory/02_theory_sampling/raw_outputs/shell_pool/sample_payloads/base_10x10_N40_80_160_320_p2048_r0p05/N_0040/dataset_000/ref_000/r_0p85/samples.npz","","","","","","","","","two_pool_perceptron_alpha0p1_dense_qc_10x10_N40_80_160_320_p2048_r0p05","01_theory/02_theory_sampling/raw_outputs/shell_pool/sample_payloads/base_10x10_N40_80_160_320_p2048_r0p05/N_0040/dataset_000/ref_000/r_0p85/samples.npz"
"40","4","0","0","0.9","2048","1.4537943304144907","0.0","6.9203447467285635","prior_matched_vmf_direct_is","True","False","-2.0371011918341217","0.7853159961992484","2.4212086572505954e-05","-2.0371011918341217","-3.438541862640527","-27.38412756942734","-23.94558570678681","14.798559329193594","39.39129286783801","1608.3271602160607","0.7853159961992484","1.908459849325118","0.18028884226404865","0.8197111577359514","16.134906862253974","-3.4390262216169987","-3.4380577381540984","2.4212086572505954e-05","01_theory/02_theory_sampling/raw_outputs/shell_pool/sample_payloads/base_10x10_N40_80_160_320_p2048_r0p05/N_0040/dataset_000/ref_000/r_0p90/samples.npz","","","","","","","","","two_pool_perceptron_alpha0p1_dense_qc_10x10_N40_80_160_320_p2048_r0p05","01_theory/02_theory_sampling/raw_outputs/shell_pool/sample_payloads/base_10x10_N40_80_160_320_p2048_r0p05/N_0040/dataset_000/ref_000/r_0p90/samples.npz"
"40","4","0","0","0.95","2048","1.4537943304144907","0.0","6.9203447467285635","prior_matched_vmf_direct_is","True","False","-2.108107948721223","0.773127605505687","0.0006124589787471546","-2.108107948721223","-3.9914196752042415","-27.937005381991053","-23.94558570678681","16.166688273516982","41.579698027162344","1583.365336075647","0.773127605505687","1.9702775919507691","0.19436989781388964","0.8056301021861103","16.15089455379104","-3.979245514953443","-4.003743874103329","0.0006124589787471546","01_theory/02_theory_sampling/raw_outputs/shell_pool/sample_payloads/base_10x10_N40_80_160_320_p2048_r0p05/N_0040/dataset_000/ref_000/r_0p95/samples.npz","","","","","","","","","two_pool_perceptron_alpha0p1_dense_qc_10x10_N40_80_160_320_p2048_r0p05","01_theory/02_theory_sampling/raw_outputs/shell_pool/sample_payloads/base_10x10_N40_80_160_320_p2048_r0p05/N_0040/dataset_000/ref_000/r_0p95/samples.npz"
"40","4","0","0","1.0","2048","1.4537943304144907","0.0","6.9203447467285635","prior_matched_vmf_direct_is","True","False","-2.177011508302825","0.7508676177127671","0.00029407503774283585","-2.177011508302825","-4.610676074640835","-28.556261781427647","-23.94558570678681","17.56633543366199","43.76810318648668","1537.776881075747","0.7508676177127671","2.023359781678522","0.2136861052997699","0.7863138947002302","16.129099302003088","-4.604811869811826","-4.616574871321539","0.00029407503774283585","01_theory/02_theory_sampling/raw_outputs/shell_pool/sample_payloads/base_10x10_N40_80_160_320_p2048_r0p05/N_0040/dataset_000/ref_000/r_1p00/samples.npz","","","","","","","","","two_pool_perceptron_alpha0p1_dense_qc_10x10_N40_80_160_320_p2048_r0p05","01_theory/02_theory_sampling/raw_outputs/shell_pool/sample_payloads/base_10x10_N40_80_160_320_p2048_r0p05/N_0040/dataset_000/ref_000/r_1p00/samples.npz"
"40","4","0","0","1.05","2048","1.4537943304144907","0.0","6.9203447467285635","prior_matched_vmf_direct_is","True","False","-2.198684948954014","0.7274874716908053","0.0014954356255317159","-2.198684948954014","-5.253387507899504","-29.198973214686315","-23.94558570678681","18.99529744105451","45.95650834581101","1489.8943420227693","0.7274874716908053","2.0249033039446234","0.2173075601786908","0.7826924398213092","16.06738341132829","-5.223925994264639","-5.283743419285908","0.0014954356255317159","01_theory/02_theory_sampling/raw_outputs/shell_pool/sample_payloads/base_10x10_N40_80_160_320_p2048_r0p05/N_0040/dataset_000/ref_000/r_1p05/samples.npz","","","","","","","","","two_pool_perceptron_alpha0p1_dense_qc_10x10_N40_80_160_320_p2048_r0p05","01_theory/02_theory_sampling/raw_outputs/shell_pool/sample_payloads/base_10x10_N40_80_160_320_p2048_r0p05/N_0040/dataset_000/ref_000/r_1p05/samples.npz"
"40","4","0","0","1.1","2048","1.4537943304144907","0.0","6.9203447467285635","prior_matched_vmf_direct_is","True","False","-2.294931535938014","0.721182991919278","0.0007697509047663642","-2.294931535938014","-6.043352539919271","-29.988938246706084","-23.94558570678681","20.451578996018746","48.14491350513535","1476.9827674506814","0.721182991919278","2.1171875564722713","0.24611709725418596","0.753882902745814","15.988187167259218","-6.058866056624961","-6.028076020434306","0.0007697509047663642","01_theory/02_theory_sampling/raw_outputs/shell_pool/sample_payloads/base_10x10_N40_80_160_320_p2048_r0p05/N_0040/dataset_000/ref_000/r_1p10/samples.npz","","","","","","","","","two_pool_perceptron_alpha0p1_dense_qc_10x10_N40_80_160_320_p2048_r0p05","01_theory/02_theory_sampling/raw_outputs/shell_pool/sample_payloads/base_10x10_N40_80_160_320_p2048_r0p05/N_0040/dataset_000/ref_000/r_1p10/samples.npz"
"40","4","0","0","1.15","2048","1.4537943304144907","0.0","6.9203447467285635","prior_matched_vmf_direct_is","True","False","-2.357892844662559","0.7028125694815972","0.0002348495832610098","-2.357892844662559","-6.874523045338177","-30.820108752124987","-23.94558570678681","21.93336979932438","50.333318664459675","1439.360142298311","0.7028125694815972","2.164514701887571","0.2565178551621153","0.7434821448378848","16.258415348168462","-6.879231067828189","-6.869837084497749","0.0002348495832610098","01_theory/02_theory_sampling/raw_outputs/shell_pool/sample_payloads/base_10x10_N40_80_160_320_p2048_r0p05/N_0040/dataset_000/ref_000/r_1p15/samples.npz","","","","","","","","","two_pool_perceptron_alpha0p1_dense_qc_10x10_N40_80_160_320_p2048_r0p05","01_theory/02_theory_sampling/raw_outputs/shell_pool/sample_payloads/base_10x10_N40_80_160_320_p2048_r0p05/N_0040/dataset_000/ref_000/r_1p15/samples.npz"
