N,r,reference_count,split_pass,smc_pass,claim,max_split_logZ_per_N_diff,min_smc_cess_fraction,max_smc_step_count
160,0.65,100,True,True,pass,0.0008630949515836984,nan,nan
160,0.7,100,True,True,pass,0.000884711291960516,nan,nan
160,0.75,100,True,True,pass,0.0009558863249606641,nan,nan
160,0.8,100,True,True,pass,0.0006725701272692009,nan,nan
160,0.85,100,True,True,pass,0.0009583238771259772,nan,nan
160,0.9,100,True,True,pass,0.001313268839944648,0.8500000000004936,4.0
160,0.95,100,True,True,pass,0.0011076500772574161,0.8500000000000391,4.0
160,1.0,100,True,True,pass,0.0011019553452995324,0.850000000000015,4.0
160,1.05,100,True,True,pass,0.001719118192090674,0.8500000000000112,5.0
160,1.1,100,True,True,pass,0.0016318102486530873,0.8500000000000119,4.0
160,1.15,100,True,True,pass,0.0013086742959802944,0.8500000000000074,5.0
160,1.2,100,True,True,pass,0.0013369146049071912,0.8500000000000005,5.0
160,1.25,100,True,True,pass,0.0018408315699652178,0.8500000000000096,5.0
160,1.3,100,True,True,pass,0.0016208304533705587,0.8500000000000361,5.0
160,1.35,100,True,True,pass,0.0021369365279674036,0.8500000000000247,5.0
160,1.4,100,True,True,pass,0.0025046815565678672,0.8500000000000043,5.0
160,1.45,100,True,True,pass,0.0029936017055009144,0.8500000000000164,6.0
160,1.5,100,True,True,pass,0.0022663356467596428,0.8500000000000066,6.0
160,1.55,100,True,True,pass,0.0025847447210021633,0.8500000000000005,6.0
160,1.6,100,True,True,pass,0.0032015328340187386,0.8500000000000059,6.0
160,1.65,100,True,True,pass,0.003161518979290623,0.8500000000000112,7.0
160,1.7,100,True,True,pass,0.0036720145848524234,0.8500000000000428,7.0
160,1.75,100,True,True,pass,0.0012221195714159805,0.8500000000000051,6.0
160,1.8,100,True,True,pass,0.0011542657659068922,0.8500000000000301,7.0
160,1.85,100,True,True,pass,0.0010863113270588975,0.8500000000000126,7.0
160,1.9,100,True,True,pass,0.001365520171406942,0.8500000000000134,7.0
160,1.95,100,True,True,pass,0.0011980711026447822,0.8500000000000096,7.0
160,2.0,100,True,True,pass,0.0016315479764269724,0.8500000000000021,7.0
160,2.05,100,True,True,pass,0.001662138366814858,0.8500000000000134,7.0
160,2.1,100,True,True,pass,0.0021625085351510975,0.8500000000000051,8.0
160,2.15,100,True,True,pass,0.0023001060077120885,0.8500000000000112,8.0
160,2.2,100,True,True,pass,0.002470094675585699,0.8500000000000005,8.0
320,0.15,100,True,True,pass,0.0001289157344323111,nan,nan
320,0.2,100,True,True,pass,0.00014849053019572734,nan,nan
320,0.25,100,True,True,pass,0.00016721876500239708,nan,nan
320,0.3,100,True,True,pass,0.00021273781924455726,nan,nan
320,0.35,100,True,True,pass,0.00028970148841314105,nan,nan
320,0.4,100,True,True,pass,0.0003515984672106787,nan,nan
320,0.45,100,True,True,pass,0.00035587858514000146,nan,nan
320,0.5,100,True,True,pass,0.0005322557587472687,nan,nan
320,0.55,100,True,True,pass,0.00043363800189046844,0.8500000000006732,3.0
320,0.6,100,True,True,pass,0.0005267608768947274,0.8500000000003622,4.0
320,0.65,100,True,True,pass,0.00046291338248578563,0.850000000000021,4.0
320,0.7,100,True,True,pass,0.0006705742096137724,0.8500000000000194,4.0
320,0.75,100,True,True,pass,0.0007862534538461196,0.8500000000000119,5.0
320,0.8,100,True,True,pass,0.0007882055115805864,0.850000000000024,5.0
320,0.85,100,True,True,pass,0.0010688244376098944,0.8500000000000089,5.0
320,0.9,100,True,True,pass,0.0010783195379895805,0.8500000000000005,5.0
320,0.95,100,True,True,pass,0.001007498042115884,0.8500000000000036,5.0
320,1.0,100,True,True,pass,0.0015824354494296644,0.8500000000000005,6.0
320,1.05,100,True,True,pass,0.0014062657716960025,0.8500000000000066,6.0
320,1.1,100,True,True,pass,0.0014560985160053442,0.8500000000000391,6.0
320,1.15,100,True,True,pass,0.0020279050824522304,0.8500000000000059,7.0
320,1.2,100,True,True,pass,0.0027233084496463,0.8500000000000383,7.0
320,1.25,100,True,True,pass,0.002840954424012265,0.850000000000018,8.0
320,1.3,100,True,True,pass,0.003982545995005848,0.8500000000000005,8.0
320,1.35,100,True,True,pass,0.0033266347856553136,0.8500000000000096,8.0
320,1.4,100,True,True,pass,0.0035673667778064024,0.8500000000000074,9.0
320,1.45,100,True,True,pass,0.0010589480504797244,0.8500000000000119,8.0
320,1.5,100,True,True,pass,0.0013269077732098288,0.8500000000000005,8.0
320,1.55,100,True,True,pass,0.0022017573856778936,0.8500000000000277,9.0
320,1.6,100,True,True,pass,0.001581872296522313,0.8500000000000043,9.0
320,1.65,100,True,True,pass,0.002229787137571204,0.8500000000000005,9.0
320,1.7,100,True,True,pass,0.002511548693611143,0.8500000000000164,10.0
320,1.75,100,True,True,pass,0.003065193785158726,0.8500000000000142,9.0
320,1.8,100,True,True,pass,0.002357237192957129,0.8500000000000074,9.0
320,1.85,100,True,True,pass,0.003402719145365296,0.8500000000000059,10.0
320,1.9,100,True,True,pass,0.003036397533912094,0.8500000000000104,10.0
320,1.95,100,True,True,pass,0.0032725278499531997,0.8500000000000164,10.0
320,2.0,100,True,True,pass,0.00363873151342311,0.8500000000000051,11.0
320,2.05,100,True,True,pass,0.003993818291611539,0.8500000000000029,11.0
320,2.1,100,True,True,pass,0.003687523501550061,0.8500000000000059,11.0
320,2.15,100,True,True,pass,0.00354352377739815,0.8500000000000029,10.0
320,2.2,100,True,True,pass,0.003563835442337293,0.8500000000000051,11.0
