radius,mean,ci95_low,ci95_high
0.01,-0.0010368939839428,-0.0010594869790824,-0.0010143009888033
0.02,-0.0010417527463817,-0.0010644663320577,-0.0010190391607057
0.03,-0.001053233559499,-0.0010763153045216,-0.0010301518144763
0.04,-0.0010726031318673,-0.0010963340118262,-0.0010488722519084
0.05,-0.0010997485611926,-0.0011243885557507,-0.0010751085666346
0.06,-0.0011338432774753,-0.0011595952126041,-0.0011080913423466
0.07,-0.0011738407984886,-0.0012008572607881,-0.0011468243361892
0.08,-0.0012186050825677,-0.0012469969572846,-0.0011902132078507
0.09,-0.0012671692370683,-0.0012970226346094,-0.0012373158395272
0.1,-0.0013187812277596,-0.0013501573167011,-0.001287405138818
0.11,-0.0013727255779249,-0.0014056582870666,-0.0013397928687832
0.12,-0.0014281297776426,-0.0014626582213745,-0.0013936013339106
0.13,-0.0014847652537478,-0.001520884632647,-0.0014486458748486
0.14,-0.0015422124968998,-0.0015799275333604,-0.0015044974604393
0.15,-0.0016000354718654,-0.0016393574815989,-0.0015607134621319
0.16,-0.0016578901530843,-0.0016988041474613,-0.0016169761587073
0.17,-0.0017157526645722,-0.0017582509605252,-0.0016732543686191
0.18,-0.0017733799198252,-0.001817430541976,-0.0017293292976745
0.19,-0.001830429221559,-0.0018760318941339,-0.0017848265489841
0.2,-0.0018871963343654,-0.0019343344274303,-0.0018400582413006
0.21,-0.0019429384674446,-0.001991589396478,-0.0018942875384112
0.22,-0.0019984212140889,-0.0020485413396061,-0.0019483010885717
0.23,-0.0020528694788064,-0.002104479841456,-0.0020012591161568
0.24,-0.0021066493519982,-0.0021596805804937,-0.0020536181235027
0.25,-0.0021595695257137,-0.0022140296381147,-0.0021051094133128
0.26,-0.002211623681921,-0.0022674343620938,-0.0021558130017482
0.27,-0.0022633450614646,-0.0023205693191266,-0.0022061208038027
0.28,-0.0023137525881219,-0.0023722826870436,-0.0022552224892002
0.29,-0.0023633894059667,-0.0024232400543258,-0.0023035387576076
0.3,-0.0024120221169115,-0.0024730712541627,-0.0023509729796602
