beta,cell_id,dataset_tag,dataset_id,ref_id,radius,H,logZ_H,logZ_H_full,R_H,gate_count,ess_H
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,1,0.01,1.0,-0.0067074624436390924,,1.0,1024,1023.9683808958655
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,1,0.01,2.0,-0.0067074624436390924,,1.0,1024,1023.9683808958655
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,1,0.01,4.0,-0.0067074624436390924,,1.0,1024,1023.9683808958655
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,1,0.01,6.0,-0.0067074624436390924,,1.0,1024,1023.9683808958655
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,1,0.01,8.0,-0.0067074624436390924,,1.0,1024,1023.9683808958655
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,1,0.01,inf,-0.0067074624436390924,-8.309965479688517,1.0,1024,1023.9683808958655
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,2,1.5,1.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,2,1.5,2.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,2,1.5,4.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,2,1.5,6.0,-21.926341269899424,,0.5845000733379263,540,535.0099598409669
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,2,1.5,8.0,-21.38934289730062,,1.0,1024,998.6817778424679
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,2,1.5,inf,-21.38934289730062,-27.37506234745682,1.0,1024,998.6817778424679
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,4,0.1,1.0,-7.441762520580976,,0.0016943860630711618,1,1.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,4,0.1,2.0,-1.0613277121415141,,1.0,1024,981.3896213762165
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,4,0.1,4.0,-1.0613277121415141,,1.0,1024,981.3896213762165
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,4,0.1,6.0,-1.0613277121415141,,1.0,1024,981.3896213762165
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,4,0.1,8.0,-1.0613277121415141,,1.0,1024,981.3896213762165
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,4,0.1,inf,-1.0613277121415141,-7.048847977823925,1.0,1024,981.3896213762165
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,5,2.5,1.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,5,2.5,2.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,5,2.5,4.0,-inf,,0.0,0,0.0
