eta,ref_id,radius,phi_energy_raw,d_phi_energy_raw_dd,d2_phi_energy_raw_dd2,positive_curvature
0.02,0,0.01,-0.0002551375962759,-0.0035689194876359,-0.23459686635416005,0.0
0.02,0,0.02,-0.0002908267911523,-0.0059148881511775,-0.4338502778008352,0.0
0.02,0,0.03,-0.0003734353592994,-0.0122459250436526,-0.8038463810704499,0.0
0.02,0,0.04,-0.0005357452920253,-0.0219918157725865,-1.1023501831928795,0.0
0.02,0,0.05,-0.0008132716747512,-0.0342929287075102,-1.3111530823897906,0.0
0.02,0,0.06,-0.0012216038661755,-0.0482148774203823,-1.403105167102565,0.0
0.02,0,0.07,-0.0017775692231588,-0.0623550320495615,-1.2319386480008299,0.0
0.02,0,0.08,-0.0024687045071667,-0.0728536503803989,-1.4149143641445558,0.0
0.02,0,0.09,-0.0032346422307668,-0.0906533193324526,-1.7886952032290342,0.0
0.02,0,0.1,-0.0042817708938158,-0.1086275544449796,-1.0676868838284932,0.0
0.02,0,0.11,-0.0054071933196664,-0.1120070570090225,0.2565457430211051,0.2565457430211051
0.02,0,0.12,-0.0065219120339962,-0.1034966395845575,-0.49398923650365756,0.0
0.02,0,0.13,-0.0074771261113575,-0.1218868417390957,-2.1859442284461936,0.0
0.02,0,0.14,-0.0089596488687782,-0.1472155241534814,-2.9662652972895733,0.0
0.02,0,0.15,-0.0104214365944272,-0.1812121476848871,-1.4125927282360609,0.0
0.02,0,0.16,-0.0125838918224759,-0.1754673787182025,1.9275961224509084,1.9275961224509084
0.02,0,0.17,-0.0139307841687912,-0.1426602252358689,6.496786168106047,6.496786168106047
0.02,0,0.18,-0.0154370963271933,-0.0455316553560818,-1.2049149384382858,0.0
0.02,0,0.19,-0.0148414172759129,-0.1667585240046352,-10.58679258910281,0.0
0.02,0,0.2,-0.018772266807286,-0.2572675071381382,-2.1905795192182467,0.0
0.02,0,0.21,-0.0199867674186756,-0.2105701143890005,3.0740052682166503,3.0740052682166503
0.02,0,0.22,-0.022983669095066,-0.1957874017738053,6.259952788408856,6.259952788408856
0.02,0,0.23,-0.0239025154541517,-0.0853710586208233,3.1223536062476986,3.1223536062476986
0.02,0,0.24,-0.0246910902674825,-0.1333403296488509,0.3683808261548056,0.3683808261548056
0.02,0,0.25,-0.0265693220471288,-0.0780034420977269,3.991540077399737,3.991540077399737
0.02,0,0.26,-0.026251159109437,-0.0535095281008561,-7.837941376042912,0.0
0.02,0,0.27,-0.0276395126091459,-0.2347622696185853,0.6340491044193941,0.6340491044193941
0.02,0,0.28,-0.0309464045018087,-0.0408285460124682,6.468091367984553,6.468091367984553
0.02,0,0.29,-0.0284560835293953,-0.105400442258893,-16.289266255096983,0.0
0.02,0,0.3,-0.0330544133469866,-0.3666138711144084,-1.0435051093526688,0.0
0.02,0,0.31,-0.0357883609516834,-0.1262705444459464,15.116302844283123,15.116302844283123
0.02,0,0.32,-0.0355798242359056,-0.0642878142287457,-3.564496189136297,0.0
0.02,0,0.33,-0.0370741172362584,-0.1975604682286724,-7.682366967740943,0.0
0.02,0,0.34,-0.039531033600479,-0.2179351535835647,6.989612662684902,6.989612662684902
0.02,0,0.35,-0.0414328203079297,-0.0577682149749756,8.9914356528226,8.9914356528226
0.02,0,0.36,-0.0406863978999785,-0.0381064405271138,-2.8754403568642526,0.0
0.02,0,0.37,-0.0421949491184719,-0.1152770221122607,-1.5690943448673187,0.0
0.02,0,0.38,-0.0429919383422237,-0.0694883274244602,0.20210662309607486,0.20210662309607486
0.02,0,0.39,-0.0435847156669611,-0.1112348896503392,-12.647341615917973,0.0
0.02,0,0.4,-0.0452166361352305,-0.3224351597428199,5.915229513135237,5.915229513135237
0.02,0,0.41,-0.0500334188618175,0.0070697006123623,13.375012748162625,13.375012748162625
0.02,0,0.42,-0.0450752421229832,-0.0549349047795701,-12.89477998373328,0.0
0.02,0,0.43,-0.0511321169574089,-0.2508258990623035,4.121621324612882,4.121621324612882
0.02,0,0.44,-0.0500917601042293,0.0274975217126876,11.30407891737336,11.30407891737336
0.02,0,0.45,-0.0505821665231552,-0.0247443207148361,-8.691682773334223,0.0
0.02,0,0.46,-0.050586646518526,-0.146336133753997,-6.6226906119549325,0.0
0.02,0,0.47,-0.0535088891982351,-0.1571981329539351,19.06556463296375,19.06556463296375
0.02,0,0.48,-0.0537306091776047,0.2349751589052795,1.2646974543410527,1.2646974543410527
0.02,0,0.49,-0.0488093860201295,-0.131904183867114,-34.979374897483275,0.0
0.02,0,0.5,-0.056368692854947,-0.4646123390443866,-2.787580225826563,0.0
0.02,0,0.51,-0.0581016328010172,-0.1876557883836453,25.717979839715845,25.717979839715845
0.02,0,0.52,-0.0601218086226199,0.0497472577499307,21.434871799437857,21.434871799437857
0.02,0,0.53,-0.0571066876460186,0.2410416476051122,-2.6452877021133125,0.0
0.02,0,0.54,-0.0553009756705176,-0.0031584962923356,-23.628249698239156,0.0
0.02,0,0.55,-0.0571698575718653,-0.2315233463596713,-6.167919204616539,0.0
0.02,0,0.56,-0.0599314425977111,-0.1265168803846665,10.818627792391588,10.818627792391588
0.02,0,0.57,-0.0597001951795587,-0.0151507905118406,4.972155173869886,4.972155173869886
0.02,0,0.58,-0.0602344584079479,-0.0270737769072706,-2.5539388121376776,0.0
0.02,0,0.59,-0.0602416707177041,-0.0662295667545942,-2.9410791877145774,0.0
0.02,0,0.6,-0.0615590497430398,-0.0858953606615622,-7.74758813209197,0.0
0.02,0,0.61,-0.0619595779309353,-0.2211813293964337,-0.07472143861260072,0.0
0.02,0,0.62,-0.0659826763309685,-0.0873897894338142,22.38988925487699,22.38988925487699
0.02,0,0.63,-0.0637073737196116,0.2266164557011065,3.935102526116372,3.935102526116372
0.02,0,0.64,-0.0614503472169463,-0.0086877389114867,-15.277159537450482,0.0
0.02,0,0.65,-0.0638811284978414,-0.0789267350479034,-6.939860671292324,0.0
0.02,0,0.66,-0.0630288819179044,-0.1474849523373333,-5.466277024495865,0.0
0.02,0,0.67,-0.066830827544588,-0.1882522755378208,6.519428211529169,6.519428211529169
0.02,0,0.68,-0.0667939274286608,-0.0170963881067498,7.9824811786064505,7.9824811786064505
0.02,0,0.69,-0.067172755306723,-0.0286026519656905,-0.5020901838149392,0.0
0.02,0,0.7,-0.0673659804679746,-0.0271381917830484,-2.245752890072428,0.0
0.02,0,0.71,-0.067715519142384,-0.0735177097671391,-1.2482516243303987,0.0
0.02,0,0.72,-0.0688363346633174,-0.0521032242696564,2.3407748684237433,2.3407748684237433
0.02,0,0.73,-0.0687575836277771,-0.0267022123986642,-5.013868727222132,0.0
0.02,0,0.74,-0.0693703789112907,-0.1523805988140991,-10.118276153263787,0.0
0.02,0,0.75,-0.0718051956040591,-0.2290677354639401,6.26625743084887,6.26625743084887
