rule_id,rule_name,rule_label,rule_order,nmstv_mean,radius,n_refs,dphi_dr_mean,dphi_dr_sem,positive_curvature_mean,dphi_dr_smooth_mean,dphi_dr_smooth_sem,derivative_source
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.36,30,-0.06802543464090154,0.000977579296525798,0.2135188297982166,-0.06802543464090154,0.000977579296525798,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.37,30,-0.06611000843970011,0.0010384114005190224,0.22958423522096005,-0.06611000843970011,0.0010384114005190224,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.38,30,-0.06525926194777605,0.000982856480796755,0.2697812920499278,-0.06525926194777605,0.000982856480796755,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.39,30,-0.06247996982424748,0.0008627622250099944,0.22780156300135304,-0.06247996982424748,0.0008627622250099944,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.4,30,-0.062000245689042194,0.001074959994854798,0.09551158051825344,-0.0620002456890422,0.001074959994854798,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.41,30,-0.06351402034390939,0.0008247068260944809,0.150401040496731,-0.06351402034390938,0.0008247068260944809,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.42,30,-0.06081556048167891,0.0009697977469165217,0.23304310674613007,-0.06081556048167892,0.0009697977469165217,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.43,30,-0.060129812300281055,0.000980680754896886,0.11731193090114524,-0.06012981230028105,0.000980680754896886,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.44,30,-0.06061019058729903,0.0006900318268775761,0.17504035210013874,-0.06061019058729904,0.0006900318268775761,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.45,30,-0.059242883009722754,0.0009277744376411695,0.21222494387044163,-0.05924288300972276,0.0009277744376411695,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.46,30,-0.057620178684285955,0.001115371971513192,0.1979071505646143,-0.057620178684285955,0.001115371971513192,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.47,30,-0.05735285347538228,0.00120840191446015,0.15118172828361842,-0.057352853475382264,0.00120840191446015,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.48,30,-0.05671024834520562,0.0007578246359192476,0.1632538341459872,-0.05671024834520562,0.0007578246359192476,sampling_time_direct_radial_score_derivative
