rule,ref_id,neighbor_rank,neighbor_rule,neighbor_ref_id,feature_distance
low_tv_spectral_teacher,0,1,real_even_odd,17,9.498756706580993
low_tv_spectral_teacher,0,2,low_tv_spectral_teacher,9,9.809647271500996
low_tv_spectral_teacher,0,3,real_even_odd,20,9.828430651008897
low_tv_spectral_teacher,0,4,low_tv_spectral_teacher,46,9.864493324175614
low_tv_spectral_teacher,0,5,real_even_odd,15,9.97989311864778
low_tv_spectral_teacher,1,1,real_even_odd,24,9.288294052566492
low_tv_spectral_teacher,1,2,low_tv_spectral_teacher,24,10.097361158196717
low_tv_spectral_teacher,1,3,real_even_odd,52,10.135135797791895
low_tv_spectral_teacher,1,4,low_tv_spectral_teacher,47,10.23226684736678
low_tv_spectral_teacher,1,5,low_tv_spectral_teacher,1000,10.456689602200099
low_tv_spectral_teacher,2,1,real_even_odd,1021,8.087484130393698
low_tv_spectral_teacher,2,2,low_tv_spectral_teacher,1018,8.73790556033633
low_tv_spectral_teacher,2,3,real_even_odd,16,8.793276529313198
low_tv_spectral_teacher,2,4,low_tv_spectral_teacher,1023,8.962320081196868
low_tv_spectral_teacher,2,5,low_tv_spectral_teacher,17,9.004583981408416
low_tv_spectral_teacher,3,1,real_even_odd,20,8.28007220499786
low_tv_spectral_teacher,3,2,low_tv_spectral_teacher,1029,9.2209474529602
low_tv_spectral_teacher,3,3,low_tv_spectral_teacher,29,9.649440453716881
low_tv_spectral_teacher,3,4,real_even_odd,1027,9.801907305982853
low_tv_spectral_teacher,3,5,low_tv_spectral_teacher,30,9.991161808720193
low_tv_spectral_teacher,4,1,real_even_odd,6,9.228618875946418
low_tv_spectral_teacher,4,2,real_even_odd,15,10.105033599722704
low_tv_spectral_teacher,4,3,real_even_odd,2,10.133089437113794
low_tv_spectral_teacher,4,4,real_even_odd,20,10.454719342835297
low_tv_spectral_teacher,4,5,low_tv_spectral_teacher,50,10.458861035520128
low_tv_spectral_teacher,5,1,low_tv_spectral_teacher,22,9.798293277310515
low_tv_spectral_teacher,5,2,real_even_odd,55,10.281010208892578
low_tv_spectral_teacher,5,3,real_even_odd,20,10.5389351754823
low_tv_spectral_teacher,5,4,real_even_odd,1004,10.628042060601704
low_tv_spectral_teacher,5,5,low_tv_spectral_teacher,21,10.640456140149809
low_tv_spectral_teacher,6,1,low_tv_spectral_teacher,1024,8.793715200327632
low_tv_spectral_teacher,6,2,low_tv_spectral_teacher,49,9.692477669827781
low_tv_spectral_teacher,6,3,low_tv_spectral_teacher,1002,9.94943792971124
low_tv_spectral_teacher,6,4,real_even_odd,41,10.048156183379643
low_tv_spectral_teacher,6,5,low_tv_spectral_teacher,27,10.091201835444156
low_tv_spectral_teacher,7,1,low_tv_spectral_teacher,29,9.726713619628748
low_tv_spectral_teacher,7,2,real_even_odd,42,10.064578670863673
low_tv_spectral_teacher,7,3,low_tv_spectral_teacher,1000,10.182510261375397
low_tv_spectral_teacher,7,4,real_even_odd,3,10.251120842220269
