rule,ref_id,example_kind,umap_1,umap_2,dist_to_rule_umap_centroid
low_tv_spectral_teacher,1013,centroid,16.92020606994629,1.0770361423492432,0.16238104992814822
low_tv_spectral_teacher,15,left_edge,15.673184394836426,0.2277962565422058,1.4460070685000481
low_tv_spectral_teacher,1021,right_edge,17.98733139038086,0.4654800593852997,1.1360521817159286
random_label,53,centroid,-9.818157196044922,5.711870193481445,0.11051878047048441
random_label,15,left_edge,-10.57265567779541,5.677635669708252,0.7207676379273344
random_label,31,right_edge,-9.05606460571289,5.444502830505371,0.8157238618811413
real_even_odd,17,centroid,16.95135498046875,1.1941115856170654,0.1578967213629016
real_even_odd,1015,left_edge,15.584535598754883,0.24646887183189392,1.5614333277634844
real_even_odd,1004,right_edge,18.053455352783203,1.4753546714782715,1.2050609767397875
teacher_nn,49,centroid,11.645904541015625,1.4304805994033813,0.10392401679532438
teacher_nn,34,left_edge,10.825299263000488,1.2086809873580933,0.8047514672635074
teacher_nn,46,right_edge,15.388158798217773,0.5845645666122437,3.840211464744446
