eta,ref_id,radius,phi_energy_raw
0.25,0,0.1,-0.0186102490507476
0.25,0,0.15,-0.0432253645770992
0.25,0,0.2,-0.0815698174839508
0.25,0,0.25,-0.0998774177744314
0.25,0,0.3,-0.1205449882028832
0.25,0,0.35,-0.1370268779084658
0.25,0,0.4,-0.1429467587385141
0.25,0,0.45,-0.1336318110649224
0.25,0,0.5,-0.1370942574681322
0.25,0,0.55,-0.1371280688606824
0.25,0,0.6,-0.1421919418207847
0.25,0,0.65,-0.1433511928277606
0.25,0,0.7,-0.1469703516195995
0.25,0,0.75,-0.1443865089243154
0.25,0,0.8,-0.1487870644417495
0.25,0,0.85,-0.1487905094774608
0.25,0,0.9,-0.1452708986457413
0.25,0,0.95,-0.1459636283541344
0.25,0,1.0,-0.1502502069268461
0.25,1,0.1,-0.0220177245170509
0.25,1,0.15,-0.050398582847369
0.25,1,0.2,-0.0735142442969845
0.25,1,0.25,-0.1025069001960575
0.25,1,0.3,-0.1134216507293353
0.25,1,0.35,-0.1228950156765224
0.25,1,0.4,-0.1320602360118955
0.25,1,0.45,-0.1341605980629788
0.25,1,0.5,-0.13234620840999
0.25,1,0.55,-0.1412466637886786
0.25,1,0.6,-0.1379835954037896
0.25,1,0.65,-0.1414704728641536
0.25,1,0.7,-0.1396910441478389
0.25,1,0.75,-0.1439636311647158
0.25,1,0.8,-0.1420850315144818
0.25,1,0.85,-0.1468818786668264
0.25,1,0.9,-0.1470602246258172
0.25,1,0.95,-0.1481804955540035
0.25,1,1.0,-0.1505210954091121
0.25,2,0.1,-0.0208360912466621
0.25,2,0.15,-0.0470331816709949
0.25,2,0.2,-0.0672074730763617
0.25,2,0.25,-0.09680132659598
0.25,2,0.3,-0.1117079965758806
0.25,2,0.35,-0.123808592704517
0.25,2,0.4,-0.1299701145987816
0.25,2,0.45,-0.1342590249003062
0.25,2,0.5,-0.1323584890713485
0.25,2,0.55,-0.1378476671260794
0.25,2,0.6,-0.1409763823291705
0.25,2,0.65,-0.1423763648260025
0.25,2,0.7,-0.1401758336001634
0.25,2,0.75,-0.1443991510128607
0.25,2,0.8,-0.1409031201588006
0.25,2,0.85,-0.1423941762535955
0.25,2,0.9,-0.1441699091209248
0.25,2,0.95,-0.1489798734419619
0.25,2,1.0,-0.1474581864777196
0.25,3,0.1,-0.0164714847787011
0.25,3,0.15,-0.038663253681686
0.25,3,0.2,-0.0679459692999859
0.25,3,0.25,-0.1020005514330236
0.25,3,0.3,-0.1129905738483614
0.25,3,0.35,-0.1289162591823994
0.25,3,0.4,-0.1360063434593456
0.25,3,0.45,-0.133977823989214
0.25,3,0.5,-0.1354302615087198
0.25,3,0.55,-0.1423699304114145
0.25,3,0.6,-0.135777769655779
0.25,3,0.65,-0.1427756409709709
0.25,3,0.7,-0.1408596338097429
0.25,3,0.75,-0.1440310453284218
0.25,3,0.8,-0.1447468420369976
0.25,3,0.85,-0.1455659752494326
0.25,3,0.9,-0.1455723357860956
0.25,3,0.95,-0.1510909182272652
0.25,3,1.0,-0.1500498065847628
0.25,4,0.1,-0.0219773186627083
0.25,4,0.15,-0.0463162367187682
0.25,4,0.2,-0.07995487800612
0.25,4,0.25,-0.1034267113588146
0.25,4,0.3,-0.121810160512146
0.25,4,0.35,-0.137750546973325
0.25,4,0.4,-0.1446020448693624
0.25,4,0.45,-0.1471047229465555
0.25,4,0.5,-0.1438031590653452
0.25,4,0.55,-0.15243502002938
0.25,4,0.6,-0.1467455179634096
0.25,4,0.65,-0.1496615554021379
0.25,4,0.7,-0.1526103216640859
0.25,4,0.75,-0.151455429287034
0.25,4,0.8,-0.1521370025053392
0.25,4,0.85,-0.1537947216896873
0.25,4,0.9,-0.1568994095695789
0.25,4,0.95,-0.1474115907487639
0.25,4,1.0,-0.1532445871251225
0.25,5,0.1,-0.0183073942873462
0.25,5,0.15,-0.0435040171201006
0.25,5,0.2,-0.0676189049102165
0.25,5,0.25,-0.1007407333754264
0.25,5,0.3,-0.1217101591428673
0.25,5,0.35,-0.1219906533338366
0.25,5,0.4,-0.1328159717435725
0.25,5,0.45,-0.1395075922947718
0.25,5,0.5,-0.1384225533874618
0.25,5,0.55,-0.1440847873900102
0.25,5,0.6,-0.1349289295696311
0.25,5,0.65,-0.1409449843761719
0.25,5,0.7,-0.1418966771782883
0.25,5,0.75,-0.1473715671321596
0.25,5,0.8,-0.1456581913492527
0.25,5,0.85,-0.1457345154729867
0.25,5,0.9,-0.1507737606698746
0.25,5,0.95,-0.1505939364102658
0.25,5,1.0,-0.1465941609604033
0.25,6,0.1,-0.0186287920298231
0.25,6,0.15,-0.0389573434346055
0.25,6,0.2,-0.0730310838424116
0.25,6,0.25,-0.0957063324612464
0.25,6,0.3,-0.1234537867487108
0.25,6,0.35,-0.1361733855989838
0.25,6,0.4,-0.1460127822925749
0.25,6,0.45,-0.1452946255229191
0.25,6,0.5,-0.149736907734776
0.25,6,0.55,-0.1433540439604289
0.25,6,0.6,-0.1492158612570778
0.25,6,0.65,-0.1468540641588368
0.25,6,0.7,-0.1493229613842807
0.25,6,0.75,-0.1446978271344193
0.25,6,0.8,-0.1474590802906866
0.25,6,0.85,-0.150970957933906
0.25,6,0.9,-0.1476800280540965
0.25,6,0.95,-0.1512852098488174
