rule,ref_id,radius,phi_energy_raw
very_low_tv_spectral_teacher,2,0.3,-0.0211067496924278
very_low_tv_spectral_teacher,2,0.35,-0.0248978432975768
very_low_tv_spectral_teacher,2,0.4,-0.0255379343724347
very_low_tv_spectral_teacher,2,0.45,-0.0302584370975876
very_low_tv_spectral_teacher,2,0.5,-0.0328338748477182
very_low_tv_spectral_teacher,2,0.55,-0.0368916019920742
very_low_tv_spectral_teacher,2,0.6,-0.0349969778659968
very_low_tv_spectral_teacher,2,0.65,-0.0423208618288119
very_low_tv_spectral_teacher,2,0.7,-0.038546039753947
very_low_tv_spectral_teacher,2,0.75,-0.0468960010235564
very_low_tv_spectral_teacher,2,0.8,-0.0491445421548948
very_low_tv_spectral_teacher,2,0.85,-0.0510557889697824
very_low_tv_spectral_teacher,2,0.9,-0.0459394491282249
very_low_tv_spectral_teacher,2,0.95,-0.0527400207433878
very_low_tv_spectral_teacher,2,1.0,-0.0564873047920321
very_low_tv_spectral_teacher,2,1.05,-0.0604194051922659
very_low_tv_spectral_teacher,2,1.1,-0.0626867149973199
very_low_tv_spectral_teacher,2,1.15,-0.0646613880192103
very_low_tv_spectral_teacher,2,1.2,-0.0610039692785637
very_low_tv_spectral_teacher,2,1.25,-0.0603645887069257
very_low_tv_spectral_teacher,2,1.3,-0.0672499702855284
very_low_tv_spectral_teacher,2,1.35,-0.0684391805566807
very_low_tv_spectral_teacher,2,1.4,-0.0712456234588925
very_low_tv_spectral_teacher,2,1.45,-0.0690187835952141
very_low_tv_spectral_teacher,2,1.5,-0.0680109655851358
very_low_tv_spectral_teacher,2,1.55,-0.0737427870987866
very_low_tv_spectral_teacher,2,1.6,-0.080086040726628
very_low_tv_spectral_teacher,2,1.65,-0.0825744462397574
very_low_tv_spectral_teacher,2,1.7,-0.0815589985260516
very_low_tv_spectral_teacher,2,1.75,-0.0807413178103015
very_low_tv_spectral_teacher,2,1.8,-0.0815690995359776
very_low_tv_spectral_teacher,2,1.85,-0.091230357134136
very_low_tv_spectral_teacher,2,1.9,-0.0839778677839631
very_low_tv_spectral_teacher,2,1.95,-0.0811158172132822
very_low_tv_spectral_teacher,2,2.0,-0.094282557021432
very_low_tv_spectral_teacher,2,2.05,-0.0894853982421758
very_low_tv_spectral_teacher,2,2.1,-0.0882299085097399
very_low_tv_spectral_teacher,2,2.15,-0.0927309118131988
very_low_tv_spectral_teacher,2,2.2,-0.091778160448818
very_low_tv_spectral_teacher,2,2.25,-0.0907936790817987
very_low_tv_spectral_teacher,2,2.3,-0.0988260196309618
very_low_tv_spectral_teacher,2,2.35,-0.09617128491178
very_low_tv_spectral_teacher,2,2.4,-0.1067396182871995
very_low_tv_spectral_teacher,2,2.45,-0.105791978810489
very_low_tv_spectral_teacher,2,2.5,-0.1020137321776773
very_low_tv_spectral_teacher,3,0.1,-0.0057404145200695
very_low_tv_spectral_teacher,3,0.15,-0.0093535331920593
very_low_tv_spectral_teacher,3,0.2,-0.0149340057368258
very_low_tv_spectral_teacher,3,0.25,-0.0195536653534422
very_low_tv_spectral_teacher,3,0.3,-0.0233860949937923
very_low_tv_spectral_teacher,3,0.35,-0.0260660354277374
very_low_tv_spectral_teacher,3,0.4,-0.0297646627031198
very_low_tv_spectral_teacher,3,0.45,-0.03151221114873
