run,cell_id,dataset_id,seed,beta,dataset_path,n_points,input_dim,label_mean,label_abs_mean,knn_k,knn_edge_count,knn_edge_agreement,knn_edge_disagreement,knn_label_autocorrelation,feature_label_linear_signal
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,15,1501234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_015_seed_1501234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2948.0,0.49830393487109903,0.501696065128901,-0.0033921302578018998,0.12774982044517919
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,16,1601234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_016_seed_1601234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2977.0,0.5267047363117232,0.4732952636882768,0.053409472623446426,0.10623791950942954
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,17,1701234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_017_seed_1701234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2986.0,0.5509042196918955,0.4490957803081045,0.10180843938379103,0.061321860091282966
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,18,1801234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_018_seed_1801234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2947.0,0.5212080081438751,0.47879199185612487,0.042416016287750255,0.07053443721264896
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,19,1901234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_019_seed_1901234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2950.0,0.5186440677966102,0.4813559322033898,0.03728813559322034,0.12019300432956617
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,20,2001234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_020_seed_2001234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2960.0,0.5023648648648649,0.49763513513513513,0.00472972972972973,0.004357662739156697
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,21,2101234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_021_seed_2101234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2927.0,0.5169115134950462,0.48308848650495384,0.03382302699009224,0.15067098809177293
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,22,2201234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_022_seed_2201234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2961.0,0.513677811550152,0.486322188449848,0.02735562310030395,0.047995073254410756
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,23,2301234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_023_seed_2301234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2965.0,0.5119730185497471,0.4880269814502529,0.023946037099494097,0.12506262409720176
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,24,2401234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_024_seed_2401234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2955.0,0.5272419627749577,0.4727580372250423,0.0544839255499154,0.017143540544625583
