source,group,label,nmstv,radius,phi_energy_raw_mean,phi_energy_raw_sem,n_units
advanced,very_low_tv_spectral_teacher,adv very low tv,0.3245703473792008,0.01,-0.0009585889851335,6.262227810788066e-05,30
advanced,very_low_tv_spectral_teacher,adv very low tv,0.3245703473792008,0.02,-0.0010372616699596,6.53797922422207e-05,30
advanced,very_low_tv_spectral_teacher,adv very low tv,0.3245703473792008,0.03,-0.0011831618979026,7.00649423514197e-05,30
advanced,very_low_tv_spectral_teacher,adv very low tv,0.3245703473792008,0.04,-0.0014106053197844,7.685341325696057e-05,30
advanced,very_low_tv_spectral_teacher,adv very low tv,0.3245703473792008,0.05,-0.0017256768795859,8.485689232269484e-05,30
advanced,very_low_tv_spectral_teacher,adv very low tv,0.3245703473792008,0.06,-0.0021311824160416,9.588241742317964e-05,30
advanced,very_low_tv_spectral_teacher,adv very low tv,0.3245703473792008,0.07,-0.0026172358973893,0.0001063688199034,30
advanced,very_low_tv_spectral_teacher,adv very low tv,0.3245703473792008,0.08,-0.0031677573943371,0.0001178463962372,30
advanced,very_low_tv_spectral_teacher,adv very low tv,0.3245703473792008,0.09,-0.0038118382640729,0.0001316868579576,30
advanced,very_low_tv_spectral_teacher,adv very low tv,0.3245703473792008,0.1,-0.0044822184970328,0.00014309799584,30
advanced,very_low_tv_spectral_teacher,adv very low tv,0.3245703473792008,0.11,-0.0052182171295091,0.0001543123204211,30
advanced,very_low_tv_spectral_teacher,adv very low tv,0.3245703473792008,0.12,-0.0059969036793187,0.0001601001737295,30
advanced,very_low_tv_spectral_teacher,adv very low tv,0.3245703473792008,0.13,-0.0067907374856293,0.0001759490562648,30
advanced,very_low_tv_spectral_teacher,adv very low tv,0.3245703473792008,0.14,-0.0076183570150842,0.0001973994908748,30
advanced,very_low_tv_spectral_teacher,adv very low tv,0.3245703473792008,0.15,-0.0084899788506985,0.0001892861354426,30
advanced,very_low_tv_spectral_teacher,adv very low tv,0.3245703473792008,0.16,-0.0093099127594824,0.0002057529736766,30
advanced,very_low_tv_spectral_teacher,adv very low tv,0.3245703473792008,0.17,-0.0102192670466778,0.0002142546399997,30
advanced,very_low_tv_spectral_teacher,adv very low tv,0.3245703473792008,0.18,-0.0111298721250739,0.0002441445374815,30
advanced,very_low_tv_spectral_teacher,adv very low tv,0.3245703473792008,0.19,-0.0119278852283403,0.0002445423830599,30
