rule,radius,d0,phi_energy_raw,delta_phi_energy,delta_phi_full,n_units,target_ref_count,sampling_status,qc_diagnostic_pass,d_phi_energy_raw_dd,d2_phi_energy_raw_dd2,d_delta_phi_energy_dd,d2_delta_phi_energy_dd2,d_delta_phi_full_dd,d2_delta_phi_full_dd2
low_tv_spectral_teacher,0.1,0.1,-0.005567337475627655,0.0,0.0,90,90,complete,True,-0.10976871231699119,-0.19643412040936814,-0.10976871231699113,-0.1964341204093698,7.996238325034363,-23.74346928617147
low_tv_spectral_teacher,0.15,0.1,-0.011055773091477213,-0.005488435615849555,0.3998119162517181,90,90,complete,True,-0.11959041833745959,-0.18171001980936796,-0.11959041833745962,-0.18171001980936863,6.8090648607257895,-30.179974848246218
low_tv_spectral_teacher,0.2,0.1,-0.017526379309373615,-0.011959041833745963,0.6809064860725789,90,90,complete,True,-0.127939714297928,-0.0510718053571404,-0.127939714297928,-0.05107180535713929,4.978240840209741,-28.807589409232847
low_tv_spectral_teacher,0.25,0.1,-0.023849744521270012,-0.018282407045642355,0.8976360002726923,90,90,complete,False,-0.12469759887317364,0.14455027572101553,-0.12469759887317355,0.1445502757210151,3.928305919802505,-17.283703782635527
low_tv_spectral_teacher,0.3,0.1,-0.029996139196690974,-0.024428801721063313,1.0737370780528293,90,90,complete,False,-0.11348468672582646,0.2258599398502823,-0.11348468672582651,0.2258599398502814,3.2498704619461893,-11.5476576430308
low_tv_spectral_teacher,0.35,0.1,-0.035198213193852655,-0.029630875718225,1.2226230464673111,90,90,complete,False,-0.10211160488814541,0.17036637749252403,-0.10211160488814541,0.17036637749252448,2.7735401554994255,-8.341954163635204
low_tv_spectral_teacher,0.4,0.1,-0.040207299685505515,-0.034639962209877855,1.3510910936027718,90,90,complete,False,-0.09644804897657405,0.16588036450410915,-0.09644804897657405,0.16588036450410804,2.4156750455826685,-6.285349298170626
low_tv_spectral_teacher,0.45,0.1,-0.04484301809151007,-0.039275680615882415,1.4641905510255782,90,90,complete,False,-0.08552356843773451,0.19726104103510456,-0.08552356843773462,0.19726104103510567,2.145005225682363,-4.86505438903956
low_tv_spectral_teacher,0.5,0.1,-0.048759656529278966,-0.04319231905365131,1.565591616171008,90,90,complete,False,-0.07672194487306361,0.17351122639610295,-0.0767219448730635,0.17351122639610406,1.9291696066787125,-3.907029469249
low_tv_spectral_teacher,0.55,0.1,-0.052515212578816424,-0.04694787510318876,1.6571075116934493,90,90,complete,False,-0.0681724457981242,0.10389577157921737,-0.0681724457981242,0.1038957715792157,1.7543022787574625,-3.256399334698866
