N,inv_N,rmse_to_theory,max_abs_error_to_theory,peak_radius_emp,peak_radius_theory,peak_radius_abs_diff
40,0.025000000000000001,0.064031672242700025,0.095155772601054123,1.3500000000000001,1.3999999999999999,0.049999999999999822
80,0.012500000000000001,0.031951795673863054,0.047605680841402043,1.3999999999999999,1.3999999999999999,0
160,0.0062500000000000003,0.0090763707766801892,0.011160990801606374,1.3999999999999999,1.3999999999999999,0
320,0.0031250000000000002,0.0018436169443736819,0.004076525187465041,1.3999999999999999,1.3999999999999999,0
