experiment_id,mode,split_id,rule,dataset_path,n_train,n_test,input_dim,train_pos_fraction,k,edge_count,sigma_k,tv,baseline,nmstv
mnist14_3rule_1024,final,2,random_label,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_002/random_label/dataset.npz,1024,2048,196,0.5,32,25454,9.806414242050344,0.5048473711007038,0.5,1.0096947422014075
mnist14_3rule_1024,final,3,real_even_odd,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_003/real_even_odd/dataset.npz,1024,2048,196,0.5,8,6241,8.620224442881035,0.15308074105933142,0.5,0.30616148211866284
mnist14_3rule_1024,final,3,real_even_odd,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_003/real_even_odd/dataset.npz,1024,2048,196,0.5,16,12630,9.293808275770761,0.19748295283872266,0.5,0.39496590567744533
mnist14_3rule_1024,final,3,real_even_odd,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_003/real_even_odd/dataset.npz,1024,2048,196,0.5,32,25795,9.986115627678416,0.25520295112129465,0.5,0.5104059022425893
mnist14_3rule_1024,final,3,teacher_nn,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_003/teacher_nn/dataset.npz,1024,2048,196,0.5,8,6241,8.620224442881035,0.2603331835601416,0.5,0.5206663671202832
mnist14_3rule_1024,final,3,teacher_nn,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_003/teacher_nn/dataset.npz,1024,2048,196,0.5,16,12630,9.293808275770761,0.286599432526789,0.5,0.573198865053578
mnist14_3rule_1024,final,3,teacher_nn,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_003/teacher_nn/dataset.npz,1024,2048,196,0.5,32,25795,9.986115627678416,0.33134703853298636,0.5,0.6626940770659727
mnist14_3rule_1024,final,3,random_label,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_003/random_label/dataset.npz,1024,2048,196,0.5,8,6241,8.620224442881035,0.5023743607541009,0.5,1.0047487215082018
mnist14_3rule_1024,final,3,random_label,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_003/random_label/dataset.npz,1024,2048,196,0.5,16,12630,9.293808275770761,0.500444614991709,0.5,1.000889229983418
mnist14_3rule_1024,final,3,random_label,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_003/random_label/dataset.npz,1024,2048,196,0.5,32,25795,9.986115627678416,0.4982457929994447,0.5,0.9964915859988894
mnist14_3rule_1024,final,4,real_even_odd,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_004/real_even_odd/dataset.npz,1024,2048,196,0.5,8,6276,8.669895865935462,0.13628919461916175,0.5,0.2725783892383235
mnist14_3rule_1024,final,4,real_even_odd,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_004/real_even_odd/dataset.npz,1024,2048,196,0.5,16,12617,9.267814758715334,0.18501308176678757,0.5,0.37002616353357515
mnist14_3rule_1024,final,4,real_even_odd,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_004/real_even_odd/dataset.npz,1024,2048,196,0.5,32,25532,9.964042064359777,0.2460026790810681,0.5,0.4920053581621362
mnist14_3rule_1024,final,4,teacher_nn,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_004/teacher_nn/dataset.npz,1024,2048,196,0.5,8,6276,8.669895865935462,0.27089078575734804,0.5,0.5417815715146961
mnist14_3rule_1024,final,4,teacher_nn,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_004/teacher_nn/dataset.npz,1024,2048,196,0.5,16,12617,9.267814758715334,0.29792846208984824,0.5,0.5958569241796965
mnist14_3rule_1024,final,4,teacher_nn,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_004/teacher_nn/dataset.npz,1024,2048,196,0.5,32,25532,9.964042064359777,0.3299365840721892,0.5,0.6598731681443784
mnist14_3rule_1024,final,4,random_label,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_004/random_label/dataset.npz,1024,2048,196,0.5,8,6276,8.669895865935462,0.5035964229491137,0.5,1.0071928458982273
mnist14_3rule_1024,final,4,random_label,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_004/random_label/dataset.npz,1024,2048,196,0.5,16,12617,9.267814758715334,0.5039602306873673,0.5,1.0079204613747346
mnist14_3rule_1024,final,4,random_label,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_004/random_label/dataset.npz,1024,2048,196,0.5,32,25532,9.964042064359777,0.4990371685659478,0.5,0.9980743371318956
mnist14_3rule_1024,final,5,real_even_odd,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_005/real_even_odd/dataset.npz,1024,2048,196,0.5,8,6275,8.634925426577333,0.14079420448799101,0.5,0.28158840897598203
mnist14_3rule_1024,final,5,real_even_odd,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_005/real_even_odd/dataset.npz,1024,2048,196,0.5,16,12659,9.242139000711706,0.18503879761222788,0.5,0.37007759522445577
mnist14_3rule_1024,final,5,real_even_odd,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_005/real_even_odd/dataset.npz,1024,2048,196,0.5,32,25553,9.871847752355434,0.2383546520661288,0.5,0.4767093041322576
mnist14_3rule_1024,final,5,teacher_nn,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_005/teacher_nn/dataset.npz,1024,2048,196,0.5,8,6275,8.634925426577333,0.2475111154467608,0.5,0.4950222308935216
mnist14_3rule_1024,final,5,teacher_nn,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_005/teacher_nn/dataset.npz,1024,2048,196,0.5,16,12659,9.242139000711706,0.2666235805514012,0.5,0.5332471611028023
mnist14_3rule_1024,final,5,teacher_nn,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_005/teacher_nn/dataset.npz,1024,2048,196,0.5,32,25553,9.871847752355434,0.2931499391556131,0.5,0.5862998783112262
mnist14_3rule_1024,final,5,random_label,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_005/random_label/dataset.npz,1024,2048,196,0.5,8,6275,8.634925426577333,0.5044391609735278,0.5,1.0088783219470556
mnist14_3rule_1024,final,5,random_label,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_005/random_label/dataset.npz,1024,2048,196,0.5,16,12659,9.242139000711706,0.4978728134385041,0.5,0.9957456268770082
mnist14_3rule_1024,final,5,random_label,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_005/random_label/dataset.npz,1024,2048,196,0.5,32,25553,9.871847752355434,0.4996559339341214,0.5,0.9993118678682428
mnist14_3rule_1024,final,6,real_even_odd,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_006/real_even_odd/dataset.npz,1024,2048,196,0.5,8,6228,8.760237349037364,0.15291756307425167,0.5,0.30583512614850333
mnist14_3rule_1024,final,6,real_even_odd,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_006/real_even_odd/dataset.npz,1024,2048,196,0.5,16,12573,9.397276898907311,0.1956991552618564,0.5,0.3913983105237128
mnist14_3rule_1024,final,6,real_even_odd,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_006/real_even_odd/dataset.npz,1024,2048,196,0.5,32,25736,10.110667449297559,0.2477421294862352,0.5,0.4954842589724704
mnist14_3rule_1024,final,6,teacher_nn,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_006/teacher_nn/dataset.npz,1024,2048,196,0.5,8,6228,8.760237349037364,0.285626065997116,0.5,0.571252131994232
mnist14_3rule_1024,final,6,teacher_nn,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_006/teacher_nn/dataset.npz,1024,2048,196,0.5,16,12573,9.397276898907311,0.30744188909741343,0.5,0.6148837781948269
mnist14_3rule_1024,final,6,teacher_nn,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_006/teacher_nn/dataset.npz,1024,2048,196,0.5,32,25736,10.110667449297559,0.3387485882075595,0.5,0.677497176415119
mnist14_3rule_1024,final,6,random_label,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_006/random_label/dataset.npz,1024,2048,196,0.5,8,6228,8.760237349037364,0.5134652676716303,0.5,1.0269305353432605
mnist14_3rule_1024,final,6,random_label,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_006/random_label/dataset.npz,1024,2048,196,0.5,16,12573,9.397276898907311,0.5084541569358244,0.5,1.0169083138716488
mnist14_3rule_1024,final,6,random_label,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_006/random_label/dataset.npz,1024,2048,196,0.5,32,25736,10.110667449297559,0.5053996644099543,0.5,1.0107993288199086
mnist14_3rule_1024,final,7,real_even_odd,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_007/real_even_odd/dataset.npz,1024,2048,196,0.5,8,6293,8.585884923352285,0.12416626466719234,0.5,0.24833252933438468
mnist14_3rule_1024,final,7,real_even_odd,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_007/real_even_odd/dataset.npz,1024,2048,196,0.5,16,12622,9.20294379570252,0.16669683239545952,0.5,0.33339366479091903
mnist14_3rule_1024,final,7,real_even_odd,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_007/real_even_odd/dataset.npz,1024,2048,196,0.5,32,25531,9.84520866824999,0.22267545020918514,0.5,0.4453509004183703
mnist14_3rule_1024,final,7,teacher_nn,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_007/teacher_nn/dataset.npz,1024,2048,196,0.5,8,6293,8.585884923352285,0.28108918506324715,0.5,0.5621783701264943
mnist14_3rule_1024,final,7,teacher_nn,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_007/teacher_nn/dataset.npz,1024,2048,196,0.5,16,12622,9.20294379570252,0.3170890959764632,0.5,0.6341781919529264
mnist14_3rule_1024,final,7,teacher_nn,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_007/teacher_nn/dataset.npz,1024,2048,196,0.5,32,25531,9.84520866824999,0.3535806975765096,0.5,0.7071613951530192
mnist14_3rule_1024,final,7,random_label,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_007/random_label/dataset.npz,1024,2048,196,0.5,8,6293,8.585884923352285,0.5054885323648253,0.5,1.0109770647296505
mnist14_3rule_1024,final,7,random_label,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_007/random_label/dataset.npz,1024,2048,196,0.5,16,12622,9.20294379570252,0.5062771462732345,0.5,1.012554292546469
mnist14_3rule_1024,final,7,random_label,02_dnn/08_mnist/runs/final/01_dataset_prepare/raw_datasets/split_007/random_label/dataset.npz,1024,2048,196,0.5,32,25531,9.84520866824999,0.5077086331701586,0.5,1.0154172663403171
