experiment_id,mode,split_id,rule,dataset_path,n_train,n_test,input_dim,train_pos_fraction,tv_mean,nmstv_mean,edge_count_min
mnist14_single_dataset_12x12_n_train_512_60ref_sparse_wide,final_single_dataset,0,low_tv_spectral_teacher,02_dnn/08_mnist/runs/final/single_dataset_12x12_n_train_512_60ref_sparse_wide_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,512,2048,196,0.5,0.189503047899547,0.379006095799094,3156
mnist14_single_dataset_12x12_n_train_512_60ref_sparse_wide,final_single_dataset,0,real_even_odd,02_dnn/08_mnist/runs/final/single_dataset_12x12_n_train_512_60ref_sparse_wide_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/real_even_odd/dataset.npz,512,2048,196,0.5,0.2534047822773401,0.5068095645546802,3156
mnist14_single_dataset_12x12_n_train_512_60ref_sparse_wide,final_single_dataset,0,teacher_nn,02_dnn/08_mnist/runs/final/single_dataset_12x12_n_train_512_60ref_sparse_wide_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/teacher_nn/dataset.npz,512,2048,196,0.5,0.34326725424883825,0.6865345084976765,3156
mnist14_single_dataset_12x12_n_train_512_60ref_sparse_wide,final_single_dataset,0,random_label,02_dnn/08_mnist/runs/final/single_dataset_12x12_n_train_512_60ref_sparse_wide_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/random_label/dataset.npz,512,2048,196,0.5,0.4910379615531902,0.9820759231063804,3156
