beta,cell_id,dataset_tag,dataset_id,ref_id,radius,H,logZ_H,logZ_H_full,R_H,gate_count,ess_H
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,0,0.5,1.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,0,0.5,2.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,0,0.5,4.0,-8.639842722165053,,0.6660156250000001,682,682.0000000000001
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,0,0.5,6.0,-8.233400574409062,,1.0,1024,1024.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,0,0.5,8.0,-8.233400574409062,,1.0,1024,1024.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,0,0.5,inf,-8.233400574409062,-12.163001383755269,1.0,1024,1024.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,2,0.01,1.0,-0.008006265653207948,,1.0,1024,1023.9549508914539
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,2,0.01,2.0,-0.008006265653207948,,1.0,1024,1023.9549508914539
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,2,0.01,4.0,-0.008006265653207948,,1.0,1024,1023.9549508914539
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,2,0.01,6.0,-0.008006265653207948,,1.0,1024,1023.9549508914539
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,2,0.01,8.0,-0.008006265653207948,,1.0,1024,1023.9549508914539
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,2,0.01,inf,-0.008006265653207948,-5.9937257158094095,1.0,1024,1023.9549508914539
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,3,1.5,1.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,3,1.5,2.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,3,1.5,4.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,3,1.5,6.0,-18.38411527350546,,0.9555013302550368,968,959.5127652259072
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,3,1.5,8.0,-18.33859615041099,,1.0,1024,1011.958881972895
