beta,cell_id,dataset_tag,dataset_id,ref_id,radius,H,logZ_H,logZ_H_full,R_H,gate_count,ess_H
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,0,1.5,1.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,0,1.5,2.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,0,1.5,4.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,0,1.5,6.0,-16.378377675255045,,0.9931640625,1017,1017.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,0,1.5,8.0,-16.371518265704154,,1.0,1024,1024.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,0,1.5,inf,-16.371518265704154,-20.301119075050362,1.0,1024,1024.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,2,0.1,1.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,2,0.1,2.0,-2.131177529197106,,0.7562433251111708,645,613.78070536382
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,2,0.1,4.0,-1.8517854332217898,,1.0,1024,911.63286943518
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,2,0.1,6.0,-1.8517854332217898,,1.0,1024,911.63286943518
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,2,0.1,8.0,-1.8517854332217898,,1.0,1024,911.63286943518
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,2,0.1,inf,-1.8517854332217898,-7.837504883377991,1.0,1024,911.63286943518
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,3,2.5,1.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,3,2.5,2.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,3,2.5,4.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,3,2.5,6.0,-24.54565695014118,,0.6669921875,683,683.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,3,2.5,8.0,-24.140680004112518,,1.0,1024,1024.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,3,2.5,inf,-24.140680004112518,-29.546764906427512,1.0,1024,1024.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,5,0.5,1.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,5,0.5,2.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,5,0.5,4.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,5,0.5,6.0,-12.662228508269452,,1.0,1024,940.7001756882954
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,5,0.5,8.0,-12.662228508269452,,1.0,1024,940.7001756882954
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,5,0.5,inf,-12.662228508269452,-18.607998927957496,1.0,1024,940.7001756882954
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,7,0.01,1.0,-0.008550500390095712,,1.0,1024,1023.9692419032658
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,7,0.01,2.0,-0.008550500390095712,,1.0,1024,1023.9692419032658
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,7,0.01,4.0,-0.008550500390095712,,1.0,1024,1023.9692419032658
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,7,0.01,6.0,-0.008550500390095712,,1.0,1024,1023.9692419032658
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,7,0.01,8.0,-0.008550500390095712,,1.0,1024,1023.9692419032658
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,7,0.01,inf,-0.008550500390095712,-4.973998063641379,1.0,1024,1023.9692419032658
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,8,1.5,1.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,8,1.5,2.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,8,1.5,4.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,8,1.5,6.0,-14.95914589031539,,0.9980468750000001,1022,1022.0000000000001
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,8,1.5,8.0,-14.957190855479586,,1.0,1024,1024.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,8,1.5,inf,-14.957190855479586,-19.652055130858894,1.0,1024,1024.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,10,0.1,1.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,10,0.1,2.0,-1.7416412092039812,,0.9040165799988644,847,791.2405963931698
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,10,0.1,4.0,-1.6407336311525405,,1.0,1024,919.7574333239995
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,10,0.1,6.0,-1.6407336311525405,,1.0,1024,919.7574333239995
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,10,0.1,8.0,-1.6407336311525405,,1.0,1024,919.7574333239995
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,10,0.1,inf,-1.6407336311525405,-7.999779310457097,1.0,1024,919.7574333239995
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,11,2.5,1.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,11,2.5,2.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,11,2.5,4.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,11,2.5,6.0,-30.471569804578294,,0.16139222284424545,94,90.48882843145913
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,11,2.5,8.0,-28.64765209467157,,1.0,1024,879.9406323658228
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,11,2.5,inf,-28.64765209467157,-34.993892153271425,1.0,1024,879.9406323658228
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,13,0.5,1.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,13,0.5,2.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,13,0.5,4.0,-9.180427489882552,,0.5478515624999998,561,560.9999999999998
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,13,0.5,6.0,-8.578676589805795,,1.0,1024,1024.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,13,0.5,8.0,-8.578676589805795,,1.0,1024,1024.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,13,0.5,inf,-8.578676589805795,-12.274164273884795,1.0,1024,1024.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,15,0.01,1.0,-0.035069305947990494,,1.0,1024,1023.0488394287795
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,15,0.01,2.0,-0.035069305947990494,,1.0,1024,1023.0488394287795
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,15,0.01,4.0,-0.035069305947990494,,1.0,1024,1023.0488394287795
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,15,0.01,6.0,-0.035069305947990494,,1.0,1024,1023.0488394287795
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,15,0.01,8.0,-0.035069305947990494,,1.0,1024,1023.0488394287795
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,15,0.01,inf,-0.035069305947990494,-7.98700149710282,1.0,1024,1023.0488394287795
