beta,cell_id,radius,ref_count,H_or_threshold,mode,Z_ratio,log_Z_ratio,ess_num,gate_count,weighted_error,weighted_h,dataset_tag,dataset_id,ref_id
0.05,cell_beta_0p05_p_0p00,2.5,1,1.0,absolute_h,0.0,-inf,0.0,0,0.47174644470214844,5.865870984156833,dataset_000_seed_001234,0,3
0.05,cell_beta_0p05_p_0p00,2.5,1,2.0,absolute_h,0.0,-inf,0.0,0,0.47174644470214844,5.865870984156833,dataset_000_seed_001234,0,3
0.05,cell_beta_0p05_p_0p00,2.5,1,4.0,absolute_h,0.0,-inf,0.0,0,0.47174644470214844,5.865870984156833,dataset_000_seed_001234,0,3
0.05,cell_beta_0p05_p_0p00,2.5,1,6.0,absolute_h,0.6669921875,-0.40497694602866297,683.0,683,0.47174644470214844,5.865870984156833,dataset_000_seed_001234,0,3
0.05,cell_beta_0p05_p_0p00,2.5,1,8.0,absolute_h,1.0,0.0,1024.0,1024,0.47174644470214844,5.865870984156833,dataset_000_seed_001234,0,3
0.05,cell_beta_0p05_p_0p00,2.5,1,0.25,delta_ce,0.0,-inf,0.0,0,0.47174644470214844,5.865870984156833,dataset_000_seed_001234,0,3
0.05,cell_beta_0p05_p_0p00,2.5,1,0.5,delta_ce,0.0,-inf,0.0,0,0.47174644470214844,5.865870984156833,dataset_000_seed_001234,0,3
0.05,cell_beta_0p05_p_0p00,2.5,1,1.0,delta_ce,0.0,-inf,0.0,0,0.47174644470214844,5.865870984156833,dataset_000_seed_001234,0,3
0.05,cell_beta_0p05_p_0p00,2.5,1,2.0,delta_ce,0.0,-inf,0.0,0,0.47174644470214844,5.865870984156833,dataset_000_seed_001234,0,3
0.05,cell_beta_0p05_p_0p00,2.5,1,4.0,delta_ce,0.0,-inf,0.0,0,0.47174644470214844,5.865870984156833,dataset_000_seed_001234,0,3
0.05,cell_beta_0p05_p_0p00,2.5,1,1.0,relative_delta_ce_to_ref_ce,0.0,-inf,0.0,0,0.47174644470214844,5.865870984156833,dataset_000_seed_001234,0,3
0.05,cell_beta_0p05_p_0p00,2.5,1,5.0,relative_delta_ce_to_ref_ce,0.0,-inf,0.0,0,0.47174644470214844,5.865870984156833,dataset_000_seed_001234,0,3
0.05,cell_beta_0p05_p_0p00,2.5,1,10.0,relative_delta_ce_to_ref_ce,0.0,-inf,0.0,0,0.47174644470214844,5.865870984156833,dataset_000_seed_001234,0,3
0.05,cell_beta_0p05_p_0p00,2.5,1,50.0,relative_delta_ce_to_ref_ce,0.0,-inf,0.0,0,0.47174644470214844,5.865870984156833,dataset_000_seed_001234,0,3
0.05,cell_beta_0p05_p_0p00,2.5,1,100.0,relative_delta_ce_to_ref_ce,0.0,-inf,0.0,0,0.47174644470214844,5.865870984156833,dataset_000_seed_001234,0,3
0.05,cell_beta_0p05_p_0p00,0.5,1,1.0,absolute_h,0.0,-inf,0.0,0,0.37204175448473453,4.811611165569273,dataset_000_seed_001234,0,5
0.05,cell_beta_0p05_p_0p00,0.5,1,2.0,absolute_h,0.0,-inf,0.0,0,0.37204175448473453,4.811611165569273,dataset_000_seed_001234,0,5
0.05,cell_beta_0p05_p_0p00,0.5,1,4.0,absolute_h,0.0,-inf,0.0,0,0.37204175448473453,4.811611165569273,dataset_000_seed_001234,0,5
0.05,cell_beta_0p05_p_0p00,0.5,1,6.0,absolute_h,1.0,0.0,940.7001756882954,1024,0.37204175448473453,4.811611165569273,dataset_000_seed_001234,0,5
0.05,cell_beta_0p05_p_0p00,0.5,1,8.0,absolute_h,1.0,0.0,940.7001756882954,1024,0.37204175448473453,4.811611165569273,dataset_000_seed_001234,0,5
0.05,cell_beta_0p05_p_0p00,0.5,1,0.25,delta_ce,0.0,-inf,0.0,0,0.37204175448473453,4.811611165569273,dataset_000_seed_001234,0,5
0.05,cell_beta_0p05_p_0p00,0.5,1,0.5,delta_ce,0.0,-inf,0.0,0,0.37204175448473453,4.811611165569273,dataset_000_seed_001234,0,5
0.05,cell_beta_0p05_p_0p00,0.5,1,1.0,delta_ce,0.0,-inf,0.0,0,0.37204175448473453,4.811611165569273,dataset_000_seed_001234,0,5
0.05,cell_beta_0p05_p_0p00,0.5,1,2.0,delta_ce,0.0,-inf,0.0,0,0.37204175448473453,4.811611165569273,dataset_000_seed_001234,0,5
0.05,cell_beta_0p05_p_0p00,0.5,1,4.0,delta_ce,0.0,-inf,0.0,0,0.37204175448473453,4.811611165569273,dataset_000_seed_001234,0,5
0.05,cell_beta_0p05_p_0p00,0.5,1,1.0,relative_delta_ce_to_ref_ce,0.0,-inf,0.0,0,0.37204175448473453,4.811611165569273,dataset_000_seed_001234,0,5
0.05,cell_beta_0p05_p_0p00,0.5,1,5.0,relative_delta_ce_to_ref_ce,0.0,-inf,0.0,0,0.37204175448473453,4.811611165569273,dataset_000_seed_001234,0,5
0.05,cell_beta_0p05_p_0p00,0.5,1,10.0,relative_delta_ce_to_ref_ce,0.0,-inf,0.0,0,0.37204175448473453,4.811611165569273,dataset_000_seed_001234,0,5
0.05,cell_beta_0p05_p_0p00,0.5,1,50.0,relative_delta_ce_to_ref_ce,0.0,-inf,0.0,0,0.37204175448473453,4.811611165569273,dataset_000_seed_001234,0,5
0.05,cell_beta_0p05_p_0p00,0.5,1,100.0,relative_delta_ce_to_ref_ce,0.0,-inf,0.0,0,0.37204175448473453,4.811611165569273,dataset_000_seed_001234,0,5
0.05,cell_beta_0p05_p_0p00,0.01,1,1.0,absolute_h,1.0,0.0,1023.9692419032658,1024,0.003502803671901413,0.09464442952290904,dataset_000_seed_001234,0,7
0.05,cell_beta_0p05_p_0p00,0.01,1,2.0,absolute_h,1.0,0.0,1023.9692419032658,1024,0.003502803671901413,0.09464442952290904,dataset_000_seed_001234,0,7
0.05,cell_beta_0p05_p_0p00,0.01,1,4.0,absolute_h,1.0,0.0,1023.9692419032658,1024,0.003502803671901413,0.09464442952290904,dataset_000_seed_001234,0,7
0.05,cell_beta_0p05_p_0p00,0.01,1,6.0,absolute_h,1.0,0.0,1023.9692419032658,1024,0.003502803671901413,0.09464442952290904,dataset_000_seed_001234,0,7
0.05,cell_beta_0p05_p_0p00,0.01,1,8.0,absolute_h,1.0,0.0,1023.9692419032658,1024,0.003502803671901413,0.09464442952290904,dataset_000_seed_001234,0,7
0.05,cell_beta_0p05_p_0p00,0.01,1,0.25,delta_ce,1.0,0.0,1023.9692419032658,1024,0.003502803671901413,0.09464442952290904,dataset_000_seed_001234,0,7
