beta,cell_id,dataset_tag,dataset_id,ref_id,radius,H,logZ_H,logZ_H_full,R_H,gate_count,ess_H
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,1,0.5,1.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,1,0.5,2.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,1,0.5,4.0,-17.2086011169105,,0.0028161378595235043,2,1.9994997371946803
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,1,0.5,6.0,-11.33621223082256,,1.0,1024,1004.8387055960713
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,1,0.5,8.0,-11.33621223082256,,1.0,1024,1004.8387055960713
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,1,0.5,inf,-11.33621223082256,-19.63947024806744,1.0,1024,1004.8387055960713
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,3,0.01,1.0,-0.005916510221888394,,1.0,1024,1023.976771118511
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,3,0.01,2.0,-0.005916510221888394,,1.0,1024,1023.976771118511
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,3,0.01,4.0,-0.005916510221888394,,1.0,1024,1023.976771118511
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,3,0.01,6.0,-0.005916510221888394,,1.0,1024,1023.976771118511
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,3,0.01,8.0,-0.005916510221888394,,1.0,1024,1023.976771118511
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,3,0.01,inf,-0.005916510221888394,-5.412001412536883,1.0,1024,1023.976771118511
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,4,1.5,1.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,4,1.5,2.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,4,1.5,4.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,4,1.5,6.0,-16.325474706294713,,0.9941406249999999,1018,1017.9999999999999
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,4,1.5,8.0,-16.319598097805727,,1.0,1024,1024.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,4,1.5,inf,-16.319598097805727,-22.307118363488136,1.0,1024,1024.0
