rule_id,rule_name,rule_label,rule_order,nmstv_mean,radius,n_units,d_delta_phi_energy_direct_dd_unit_mean,d_delta_phi_energy_direct_dd_unit_sem,d_phi_energy_direct_dd_unit_mean,d_phi_energy_direct_dd_unit_sem,derivative_source
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.32,30,-0.07146298660572754,0.000880320956671479,-0.07146298660572754,0.000880320956671479,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.33,30,-0.07122274353334486,0.0008149403378768181,-0.07122274353334486,0.0008149403378768181,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.34,30,-0.06910323136461123,0.0010940325265613535,-0.06910323136461123,0.0010940325265613535,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.35,30,-0.06766051622475026,0.0010494772855125848,-0.06766051622475026,0.0010494772855125848,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.36,30,-0.06802543464090154,0.000977579296525798,-0.06802543464090154,0.000977579296525798,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.37,30,-0.06611000843970011,0.0010384114005190224,-0.06611000843970011,0.0010384114005190224,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.38,30,-0.06525926194777605,0.000982856480796755,-0.06525926194777605,0.000982856480796755,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.39,30,-0.06247996982424748,0.0008627622250099944,-0.06247996982424748,0.0008627622250099944,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.4,30,-0.0620002456890422,0.001074959994854798,-0.0620002456890422,0.001074959994854798,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.41,30,-0.06351402034390938,0.0008247068260944809,-0.06351402034390938,0.0008247068260944809,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.42,30,-0.06081556048167892,0.0009697977469165217,-0.06081556048167892,0.0009697977469165217,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.43,30,-0.06012981230028105,0.000980680754896886,-0.06012981230028105,0.000980680754896886,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.44,30,-0.06061019058729904,0.0006900318268775761,-0.06061019058729904,0.0006900318268775761,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.45,30,-0.05924288300972276,0.0009277744376411695,-0.05924288300972276,0.0009277744376411695,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.46,30,-0.057620178684285955,0.001115371971513192,-0.057620178684285955,0.001115371971513192,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.47,30,-0.057352853475382264,0.00120840191446015,-0.057352853475382264,0.00120840191446015,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.48,30,-0.05671024834520562,0.0007578246359192476,-0.05671024834520562,0.0007578246359192476,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.49,30,-0.056758411662104144,0.0009669128603372053,-0.056758411662104144,0.0009669128603372053,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.5,30,-0.05542930862584739,0.001021379623430507,-0.05542930862584739,0.001021379623430507,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.51,30,-0.05520658277323703,0.0012946142689687261,-0.05520658277323703,0.0012946142689687261,sampling_time_direct_radial_score_derivative
