rule,radius,delta_phi_energy_mean,bootstrap_sd,ci95_low,ci95_high
low_tv_spectral_teacher,0.01,0.0,0.0,0.0,0.0
low_tv_spectral_teacher,0.011,-6.537784828122788e-06,6.086544938374715e-07,-7.730747636044232e-06,-5.344822020201345e-06
low_tv_spectral_teacher,0.012,-1.3302806667582187e-05,1.172637413480536e-06,-1.5601175998004038e-05,-1.1004437337160337e-05
low_tv_spectral_teacher,0.013,-2.117572294907376e-05,1.8478702971776665e-06,-2.4797548731541986e-05,-1.7553897166605536e-05
low_tv_spectral_teacher,0.014,-2.9385447941817676e-05,2.617312015238073e-06,-3.45153794916843e-05,-2.4255516391951054e-05
low_tv_spectral_teacher,0.016,-4.81559964851772e-05,4.331960000061943e-06,-5.664663808529861e-05,-3.966535488505579e-05
low_tv_spectral_teacher,0.018,-6.935777598768187e-05,5.701552294865208e-06,-8.053281848561768e-05,-5.8182733489746066e-05
low_tv_spectral_teacher,0.02,-9.415256508745334e-05,7.837361897584323e-06,-0.00010951379440671861,-7.879133576818807e-05
low_tv_spectral_teacher,0.025,-0.0001684141085543345,1.3271999380796931e-05,-0.00019442722734069648,-0.00014240098976797252
low_tv_spectral_teacher,0.03,-0.00026431170427475596,2.269875745971181e-05,-0.0003088012688957911,-0.00021982213965372082
low_tv_spectral_teacher,0.04,-0.0005264907257362377,3.977197942573366e-05,-0.0006044438054106757,-0.00044853764606179975
low_tv_spectral_teacher,0.05,-0.0008973311714724907,6.068033547815499e-05,-0.0010162646290096744,-0.0007783977139353069
low_tv_spectral_teacher,0.065,-0.0016690293834797688,0.00010095644283103725,-0.0018669040114286017,-0.001471154755530936
low_tv_spectral_teacher,0.08,-0.0026950720896897666,0.00013649956672394639,-0.002962611240468702,-0.0024275329389108315
