source,case_id,case_label,eta,nmstv,radius,n_refs,dphi_dr_smooth_mean,dphi_dr_smooth_sem,derivative_source
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.43,30,-0.0934544809985554,0.0025947928057799,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.44,30,-0.0889562212096198,0.0019983150861251,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.45,30,-0.0877302219583977,0.0019564329476365,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.46,30,-0.0851640521878894,0.0016649180414613,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.47,30,-0.0824318225308471,0.0017643936018965,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.48,30,-0.0791925345889032,0.0018385620130131,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.49,30,-0.0779977678801147,0.0021399140942871,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.5,30,-0.073657989300412,0.0017105687527327,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.51,30,-0.0722705772658596,0.0019363680963807,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.52,30,-0.0696884868392652,0.0015339040495352,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.53,30,-0.0676085324379972,0.001774942449911,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.54,30,-0.0649111577738559,0.0021698492175327,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.55,30,-0.0632333684731484,0.0017204532805428,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.56,30,-0.0633705313082644,0.0015014288189952,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.57,30,-0.0600103894000461,0.0015912396102444,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.58,30,-0.0591522030289476,0.0013183799905317,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.59,30,-0.0579925561977833,0.0014690117204307,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.6,30,-0.0581306195086604,0.0017505938079581,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.61,30,-0.0557188640450836,0.0012626906653388,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.62,30,-0.0548859985230497,0.0014066264572009,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.63,30,-0.0546993324552239,0.0019341131777199,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.64,30,-0.0542418768822892,0.0018982319729943,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.65,30,-0.0518170541153079,0.0016144087975592,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.66,30,-0.0503037841958405,0.0013292965490602,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.67,30,-0.046954291230766,0.001838764985283,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.68,30,-0.0493966759006266,0.0016532317682986,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.69,30,-0.0483679279008068,0.0019226400670919,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.7,30,-0.0461220593132474,0.0017199342154285,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.71,30,-0.0486103805975806,0.00165000840327,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.72,30,-0.0464070528435817,0.0012866335353295,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.73,30,-0.0431940678802159,0.0012174428455425,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.74,30,-0.0472917536908991,0.0013946213711321,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.75,30,-0.0445120663648257,0.0016000233602467,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.76,30,-0.0417513873643297,0.0012594148325085,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.77,30,-0.0435839218291808,0.0014540291770214,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.78,30,-0.0446844408197832,0.001943434641174,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.79,30,-0.0415562944854447,0.001389249817235,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.8,30,-0.0417677408646147,0.0012716430514556,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.81,30,-0.0431515086808157,0.0014211728427202,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.82,30,-0.0411513377513425,0.001321756944998,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.83,30,-0.0408200395453873,0.0013832968253874,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.84,30,-0.0398240824143714,0.0012044276283249,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.85,30,-0.0400714969699407,0.0015424986960505,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.86,30,-0.0391304527184001,0.0014326871738021,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.87,30,-0.0364065519466924,0.0012418694960284,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.88,30,-0.0367292275860137,0.0014898770948632,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.89,30,-0.0388191824661849,0.0011036586683884,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.9,30,-0.0366738481995806,0.0016535148816261,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.91,30,-0.0364026910549343,0.0012768243897604,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.92,30,-0.0378087192060333,0.0012259427462195,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.93,30,-0.0377990248031521,0.001286922737309,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.94,30,-0.036112914366845,0.001642311255118,sampling_time_direct_radial_score_derivative
