rule,radius,n_units,target_ref_count,sampling_status,qc_diagnostic_pass,d_phi_energy_raw_dd,d2_phi_energy_raw_dd2,d_delta_phi_energy_dd,d2_delta_phi_energy_dd2,d_delta_phi_full_dd,d2_delta_phi_full_dd2
real_even_odd,0.09,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.1,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.11,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.12,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.13,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.14,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.15,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.16,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.17,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.18,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.19,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.2,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.21,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.22,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.23,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.24,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.25,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.26,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.27,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.28,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.29,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.3,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.31,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.32,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.33,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.34,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.35,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.36,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.37,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.38,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.39,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.4,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.41,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.42,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.43,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.44,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.45,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.46,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.47,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.48,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.49,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.5,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.51,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.52,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.53,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.54,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.55,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.56,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.57,0,30,partial_missing_units,False,,,,,,
