pair_id,pair_label,pair_order,pair_rank_complexity_desc,complexity_mean,ref_id,attempt_seed,train_error,test_error,CE_mean_train,CE_mean_test,theta_norm,min_margin,q05_margin,median_margin,mean_margin,theta_path,dataset_path
pair_7_9,7/9,1,1,0.10546875,12,2717912,0.0,0.07177734375,0.0034534383773038657,0.3181465707709883,12.902277598848311,0.20445370959031117,4.541083702731371,7.907561686548632,7.4229598389969835,Complexity/03_dnn_mnist/digit_pairwise_complexity_dense/03_reference_search/raw_outputs/pair_7_9/ref_013/theta.npy,Complexity/03_dnn_mnist/digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_7_9/dataset.npz
pair_7_9,7/9,1,1,0.10546875,13,2717913,0.0,0.0703125,0.0013279870928820314,0.3517180302422904,13.201044756813642,1.509017333413668,5.536866326715171,9.196082909555798,8.628178540016542,Complexity/03_dnn_mnist/digit_pairwise_complexity_dense/03_reference_search/raw_outputs/pair_7_9/ref_014/theta.npy,Complexity/03_dnn_mnist/digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_7_9/dataset.npz
pair_7_9,7/9,1,1,0.10546875,14,2717914,0.0,0.07275390625,0.007068729911002452,0.28693115050319584,12.835109818568537,1.2001440963739356,3.526319208508031,7.3194873172135,6.760398438921654,Complexity/03_dnn_mnist/digit_pairwise_complexity_dense/03_reference_search/raw_outputs/pair_7_9/ref_015/theta.npy,Complexity/03_dnn_mnist/digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_7_9/dataset.npz
pair_7_9,7/9,1,1,0.10546875,15,2717915,0.0,0.07763671875,0.0025810277907510884,0.36343549444685996,12.10165583718353,1.2842544526622328,4.703713332497282,7.884375845960027,7.380800560640274,Complexity/03_dnn_mnist/digit_pairwise_complexity_dense/03_reference_search/raw_outputs/pair_7_9/ref_016/theta.npy,Complexity/03_dnn_mnist/digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_7_9/dataset.npz
pair_7_9,7/9,1,1,0.10546875,16,2717916,0.0,0.0751953125,0.0007192850470325184,0.36018208536474816,12.90351619699244,2.6247581005904452,5.927510066280445,8.731442305125562,8.353143436417868,Complexity/03_dnn_mnist/digit_pairwise_complexity_dense/03_reference_search/raw_outputs/pair_7_9/ref_017/theta.npy,Complexity/03_dnn_mnist/digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_7_9/dataset.npz
pair_7_9,7/9,1,1,0.10546875,17,2717917,0.0,0.0703125,0.001286589216200907,0.34518532858987866,13.793030529729565,0.7703125015843728,6.20158270695999,8.203436313326119,8.113928783057117,Complexity/03_dnn_mnist/digit_pairwise_complexity_dense/03_reference_search/raw_outputs/pair_7_9/ref_018/theta.npy,Complexity/03_dnn_mnist/digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_7_9/dataset.npz
pair_7_9,7/9,1,1,0.10546875,18,2717918,0.0,0.07421875,0.0012860348279718876,0.3518909601329309,13.3527601601254,1.9675452671526785,5.320129623918147,9.824522655142651,9.083863548115259,Complexity/03_dnn_mnist/digit_pairwise_complexity_dense/03_reference_search/raw_outputs/pair_7_9/ref_019/theta.npy,Complexity/03_dnn_mnist/digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_7_9/dataset.npz
pair_7_9,7/9,1,1,0.10546875,19,2717919,0.0,0.0751953125,0.001919720746030939,0.3668454020786907,13.838230546760318,1.6399967094638634,4.986654532740646,8.785436707866314,8.16675049807697,Complexity/03_dnn_mnist/digit_pairwise_complexity_dense/03_reference_search/raw_outputs/pair_7_9/ref_020/theta.npy,Complexity/03_dnn_mnist/digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_7_9/dataset.npz
pair_7_9,7/9,1,1,0.10546875,20,2717920,0.0,0.0751953125,0.0010675816873099942,0.3521982883796728,12.758715175038228,2.071052559636664,5.618200811446592,8.127732253570178,7.7563609204419945,Complexity/03_dnn_mnist/digit_pairwise_complexity_dense/03_reference_search/raw_outputs/pair_7_9/ref_021/theta.npy,Complexity/03_dnn_mnist/digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_7_9/dataset.npz
pair_7_9,7/9,1,1,0.10546875,21,2717921,0.0,0.0654296875,0.001853269428509892,0.32937782146723804,12.507374301891236,1.714105891244536,4.783011549244203,8.328046125684228,7.740330547044071,Complexity/03_dnn_mnist/digit_pairwise_complexity_dense/03_reference_search/raw_outputs/pair_7_9/ref_022/theta.npy,Complexity/03_dnn_mnist/digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_7_9/dataset.npz
pair_7_9,7/9,1,1,0.10546875,22,2717922,0.0,0.07470703125,0.001724116693638128,0.3842442978714143,12.398013380862736,1.0436605169496644,4.9595167706953385,9.420518110255244,8.71240853695425,Complexity/03_dnn_mnist/digit_pairwise_complexity_dense/03_reference_search/raw_outputs/pair_7_9/ref_023/theta.npy,Complexity/03_dnn_mnist/digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_7_9/dataset.npz
pair_7_9,7/9,1,1,0.10546875,23,2717923,0.0,0.078125,0.0007779226187489955,0.3791218961190047,13.281316881264228,2.978897478926203,5.513302152195382,9.740491670180315,9.017972515961343,Complexity/03_dnn_mnist/digit_pairwise_complexity_dense/03_reference_search/raw_outputs/pair_7_9/ref_024/theta.npy,Complexity/03_dnn_mnist/digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_7_9/dataset.npz
pair_7_9,7/9,1,1,0.10546875,24,2717924,0.0,0.072265625,0.003037464660065344,0.33101116251695795,14.168631370536431,0.2584445045160778,4.730983338047237,8.41388925784668,7.759368872963787,Complexity/03_dnn_mnist/digit_pairwise_complexity_dense/03_reference_search/raw_outputs/pair_7_9/ref_025/theta.npy,Complexity/03_dnn_mnist/digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_7_9/dataset.npz
pair_7_9,7/9,1,1,0.10546875,25,2717925,0.0,0.0751953125,0.001380837257381578,0.38436978176583936,12.123514467992068,2.168049114657775,5.09255443409125,8.206626342272202,7.770849746208161,Complexity/03_dnn_mnist/digit_pairwise_complexity_dense/03_reference_search/raw_outputs/pair_7_9/ref_026/theta.npy,Complexity/03_dnn_mnist/digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_7_9/dataset.npz
pair_7_9,7/9,1,1,0.10546875,26,2717926,0.0,0.0703125,0.00089538387994761,0.37607494066803016,12.77479000238295,2.6065065496296107,5.679513146440073,8.738475119202107,8.334887499579507,Complexity/03_dnn_mnist/digit_pairwise_complexity_dense/03_reference_search/raw_outputs/pair_7_9/ref_027/theta.npy,Complexity/03_dnn_mnist/digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_7_9/dataset.npz
pair_7_9,7/9,1,1,0.10546875,27,2717927,0.0,0.0751953125,0.0017184647699039486,0.3752713388053128,13.600219872551843,0.3264148759695412,5.745370627852917,9.425316244012075,8.966890162555975,Complexity/03_dnn_mnist/digit_pairwise_complexity_dense/03_reference_search/raw_outputs/pair_7_9/ref_028/theta.npy,Complexity/03_dnn_mnist/digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_7_9/dataset.npz
pair_7_9,7/9,1,1,0.10546875,28,2717928,0.0,0.072265625,0.0006706782351828056,0.39619947659639043,13.634377301322901,2.935023672743445,5.747277744804595,9.305951843551533,8.779072457558245,Complexity/03_dnn_mnist/digit_pairwise_complexity_dense/03_reference_search/raw_outputs/pair_7_9/ref_029/theta.npy,Complexity/03_dnn_mnist/digit_pairwise_complexity_dense/01_dataset/raw_outputs/pair_7_9/dataset.npz
