pair_id,pair_label,pair_order,pair_rank_complexity_desc,complexity_mean,ref_count,train_error_mean,test_error_mean,test_error_sem,CE_mean_train_mean,CE_mean_test_mean,theta_norm_mean,min_margin_mean,q05_margin_mean,median_margin_mean,mean_margin_mean
pair_7_9,7/9,1,1,0.10546875,30,0.0,0.07312825520833334,0.0005582910547562613,0.001830352121323793,0.35802966223842575,13.200957078454884,1.4762481259912656,5.293056392555948,8.692380398014027,8.206514848211835
pair_3_8,3/8,2,5,0.08984375,30,0.0,0.049820963541666666,0.00043828752000115703,0.002107330296807924,0.21998971070843665,12.679308025597292,1.38543564348194,5.479229260646312,8.128921252562495,7.9245009386180945
pair_8_9,8/9,3,9,0.042317708333333336,30,0.0,0.027164713541666666,0.00039068345841908786,0.001613032195321165,0.11878759317114265,12.48547836033219,1.0705604903946078,6.023838033340777,8.225893404537885,8.047288289858987
pair_4_5,4/5,4,13,0.033854166666666664,30,0.0,0.025130208333333334,0.00048756982415918185,0.0009083502965646,0.12575880865711944,11.181984856381893,3.6256933185973095,6.259149274128715,7.717618812098214,7.622521750362492
pair_3_9,3/9,5,17,0.029296875,30,0.0,0.030533854166666666,0.0004403149309567318,0.0032410225870871485,0.14591559639412263,11.651697720485602,1.832386177019103,5.3192138965052775,7.022200580886168,6.997855164436697
pair_0_2,0/2,6,21,0.024739583333333332,30,0.0,0.023046875,0.00032219248506057353,0.0011000884104962062,0.10863877731056154,11.155975063968425,2.9557787100719164,6.47418071990765,7.486869121070963,7.510997721036968
pair_1_4,1/4,7,25,0.022135416666666668,30,0.0,0.0146484375,0.00031583562361035746,0.0017360792259610537,0.05351096935525843,11.167253260773384,1.628705020475579,6.279946600670404,7.31402624580451,7.342901891534153
pair_5_7,5/7,8,29,0.018880208333333332,30,0.0,0.015738932291666667,0.00039222360943089174,0.001675307976673077,0.06852369285545039,11.472841504354202,2.2832543083539756,6.261929270092628,7.432402681412068,7.403392771772019
pair_1_5,1/5,9,33,0.015625,30,0.0,0.009830729166666666,0.00031298836734808006,0.0013595277608429513,0.0364235638932123,10.997511294574297,2.6836075100086347,6.316347014142441,7.258359239159129,7.278829545087734
pair_3_6,3/6,10,37,0.012369791666666666,30,0.0,0.008235677083333334,0.00019267556610205936,0.0006498371986248988,0.043959113514061475,11.232850279357459,5.173647911793527,7.150149895129709,7.495939897470852,7.520703064236587
pair_0_4,0/4,11,41,0.008463541666666666,30,0.0,0.016878255208333335,0.0003324760945923821,0.0016093344542240813,0.08602471758362545,11.29323670269408,1.2014023297813792,7.1400117263877,7.493169998099862,7.594379732220729
pair_6_7,6/7,12,45,0.00390625,30,0.0,0.009098307291666666,0.0002404458810819265,0.0007149328431319307,0.043841429404715714,11.049358821538323,5.698576386043679,7.186642165371465,7.318156520609105,7.329643796653557
