beta,radius,ref_count,dataset_count,delta_phi_full,delta_phi_energy,delta_phi_stripped_proxy,delta_phi_energy_stripped,delta_phi_reference_prior_correction,area_term,delta_phi_full_std,delta_phi_full_unit_sem,delta_phi_full_dataset_mean_std,delta_phi_full_sem,delta_phi_full_ci95_half_width,delta_phi_full_ci95_low,delta_phi_full_ci95_high,delta_phi_energy_std,delta_phi_energy_unit_sem,delta_phi_energy_dataset_mean_std,delta_phi_energy_sem,delta_phi_energy_ci95_half_width,delta_phi_energy_ci95_low,delta_phi_energy_ci95_high,delta_phi_stripped_proxy_std,delta_phi_stripped_proxy_unit_sem,delta_phi_stripped_proxy_dataset_mean_std,delta_phi_stripped_proxy_sem,delta_phi_stripped_proxy_ci95_half_width,delta_phi_stripped_proxy_ci95_low,delta_phi_stripped_proxy_ci95_high,delta_phi_energy_stripped_std,delta_phi_energy_stripped_unit_sem,delta_phi_energy_stripped_dataset_mean_std,delta_phi_energy_stripped_sem,delta_phi_energy_stripped_ci95_half_width,delta_phi_energy_stripped_ci95_low,delta_phi_energy_stripped_ci95_high,uncertainty_method,claim
0.05,0.01,900,30,-2.301002819145518,0.0006775252854654111,-2.301002819145518,0.0006775252854654111,0.0,-2.3016803444309835,0.00021611851612559786,7.203950537519929e-06,7.777315182659049e-05,1.4199369874565908e-05,2.903771139348728e-05,-2.3010318568569117,-2.3009737814341245,0.0002161185161256059,7.203950537520197e-06,7.777315182652714e-05,1.4199369874554342e-05,2.9037711393463628e-05,0.0006484875740719474,0.0007065629968588747,0.00021611851612559786,7.203950537519929e-06,7.777315182659049e-05,1.4199369874565908e-05,2.903771139348728e-05,-2.3010318568569117,-2.3009737814341245,0.0002161185161256059,7.203950537520197e-06,7.777315182652717e-05,1.4199369874554347e-05,2.9037711393463638e-05,0.0006484875740719474,0.0007065629968588747,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.02,900,30,-1.6081494343327434,0.0006560859943103124,-1.6081494343327434,0.0006560859943103124,0.0,-1.6088055203270537,0.00020440329193505458,6.81344306450182e-06,7.289660076134531e-05,1.3309037534145697e-05,2.721698175732795e-05,-1.6081766513145006,-1.6081222173509861,0.00020440329193505716,6.813443064501905e-06,7.289660076130653e-05,1.3309037534138618e-05,2.721698175731347e-05,0.0006288690125529989,0.0006833029760676259,0.00020440329193505458,6.81344306450182e-06,7.289660076134531e-05,1.3309037534145697e-05,2.721698175732795e-05,-1.6081766513145006,-1.6081222173509861,0.00020440329193505716,6.813443064501905e-06,7.289660076130655e-05,1.3309037534138621e-05,2.7216981757313478e-05,0.0006288690125529989,0.0006833029760676259,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.03,900,30,-1.2028862603658892,0.0006134701665986246,-1.2028862603658892,0.0006134701665986246,0.0,-1.2034997305324877,0.00018568824740832662,6.18960824694422e-06,6.539356162730547e-05,1.1939176272959815e-05,2.441561547820282e-05,-1.2029106759813675,-1.202861844750411,0.00018568824740832442,6.1896082469441474e-06,6.539356162735893e-05,1.1939176272969576e-05,2.4415615478222782e-05,0.0005890545511204018,0.0006378857820768474,0.00018568824740832675,6.189608246944225e-06,6.539356162730547e-05,1.1939176272959815e-05,2.441561547820282e-05,-1.2029106759813675,-1.202861844750411,0.00018568824740832445,6.189608246944148e-06,6.539356162735892e-05,1.1939176272969573e-05,2.4415615478222776e-05,0.0005890545511204018,0.0006378857820768474,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.04,900,30,-0.9153776964631268,0.0005529997599971011,-0.9153776964631268,0.0005529997599971013,-1.0842021724855044e-19,-0.915930696223124,0.00016289882536884036,5.429960845628012e-06,5.664876089665717e-05,1.0342601399271903e-05,2.115061986151104e-05,-0.9153988470829884,-0.9153565458432653,0.0001628988253688406,5.42996084562802e-06,5.664876089667139e-05,1.03426013992745e-05,2.1150619861516352e-05,0.0005318491401355848,0.0005741503798586175,0.00016289882536884036,5.429960845628012e-06,5.664876089665717e-05,1.0342601399271903e-05,2.115061986151104e-05,-0.9153988470829884,-0.9153565458432653,0.00016289882536884063,5.4299608456280206e-06,5.664876089667139e-05,1.03426013992745e-05,2.1150619861516352e-05,0.0005318491401355849,0.0005741503798586176,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.05,900,30,-0.6923960997565645,0.0004787243473651021,-0.6923960997565645,0.0004787243473651022,-1.0842021724855044e-19,-0.6928748241039295,0.00013770259551810734,4.590086517270245e-06,4.732226476161173e-05,8.639823960722192e-06,1.7668439999676882e-05,-0.6924137681965642,-0.6923784313165647,0.00013770259551810818,4.5900865172702726e-06,4.7322264761597824e-05,8.639823960719654e-06,1.766843999967169e-05,0.0004610559073654304,0.0004963927873647738,0.00013770259551810718,4.5900865172702395e-06,4.732226476161173e-05,8.639823960722192e-06,1.7668439999676882e-05,-0.6924137681965642,-0.6923784313165647,0.00013770259551810818,4.5900865172702726e-06,4.732226476159783e-05,8.639823960719654e-06,1.766843999967169e-05,0.0004610559073654305,0.0004963927873647739,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.06,900,30,-0.5102305875959495,0.00039431883260851637,-0.5102305875959495,0.00039431883260851626,1.0842021724855044e-19,-0.5106249064285581,0.00011120858486521099,3.706952828840366e-06,3.789845889260467e-05,6.919280276720612e-06,1.414992816589365e-05,-0.5102447375241154,-0.5102164376677837,0.00011120858486521013,3.706952828840338e-06,3.7898458892608255e-05,6.919280276721266e-06,1.4149928165894989e-05,0.0003801689044426214,0.00040846876077441134,0.00011120858486521107,3.7069528288403687e-06,3.789845889260467e-05,6.919280276720612e-06,1.414992816589365e-05,-0.5102447375241154,-0.5102164376677837,0.00011120858486521015,3.7069528288403382e-06,3.7898458892608255e-05,6.919280276721266e-06,1.4149928165894989e-05,0.0003801689044426213,0.00040846876077441123,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.07,900,30,-0.356232473942728,0.0003023226702916478,-0.356232473942728,0.0003023226702916478,0.0,-0.3565347966130196,8.393924546663038e-05,2.797974848887679e-06,2.8178481721600045e-05,5.144663358389118e-06,1.0520836567905746e-05,-0.3562429947792959,-0.3562219531061601,8.393924546663023e-05,2.7979748488876744e-06,2.8178481721603146e-05,5.144663358389684e-06,1.0520836567906903e-05,0.00029180183372374093,0.0003128435068595547,8.393924546663057e-05,2.7979748488876854e-06,2.8178481721600045e-05,5.144663358389118e-06,1.0520836567905746e-05,-0.3562429947792959,-0.3562219531061601,8.393924546663024e-05,2.797974848887675e-06,2.8178481721603152e-05,5.144663358389685e-06,1.0520836567906905e-05,0.00029180183372374093,0.0003128435068595547,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.08,900,30,-0.22285106701812346,0.00020480510107095533,-0.22285106701812346,0.00020480510107095533,0.0,-0.22305587211919442,5.632505179201665e-05,1.877501726400555e-06,1.8708236568926355e-05,3.4156410599813393e-06,6.984985967661838e-06,-0.22285805200409112,-0.2228440820321558,5.6325051792016666e-05,1.8775017264005555e-06,1.8708236568929815e-05,3.4156410599819707e-06,6.98498596766313e-06,0.0001978201151032922,0.00021179008703861845,5.632505179201653e-05,1.877501726400551e-06,1.8708236568926355e-05,3.4156410599813393e-06,6.984985967661838e-06,-0.22285805200409112,-0.2228440820321558,5.632505179201669e-05,1.8775017264005563e-06,1.870823656892982e-05,3.415641059981972e-06,6.984985967663132e-06,0.00019782011510329219,0.00021179008703861848,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.09,900,30,-0.10521542459039164,0.00010369204360063936,-0.10521542459039164,0.00010369204360063936,0.0,-0.10531911663399228,2.868571800880407e-05,9.56190600293469e-07,9.389803899224764e-06,1.7143358020517896e-06,3.5058167151959095e-06,-0.10521893040710684,-0.10521191877367644,2.868571800880422e-05,9.56190600293474e-07,9.389803899228814e-06,1.714335802052529e-06,3.505816715197422e-06,0.00010018622688544193,0.00010719786031583678,2.8685718008804164e-05,9.561906002934722e-07,9.389803899224764e-06,1.7143358020517896e-06,3.5058167151959095e-06,-0.10521893040710684,-0.10521191877367644,2.868571800880423e-05,9.561906002934743e-07,9.38980389922882e-06,1.71433580205253e-06,3.5058167151974236e-06,0.00010018622688544193,0.00010719786031583678,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.1,900,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,std_over_ref_units_sem_ci95_over_dataset_means,pass
